정답여부,문제번호,문제이름
true,1000,A+B
true,1001,A-B
true,1003,피보나치 함수
true,1008,A/B
true,1010,다리 놓기
true,1012,유기농 배추
true,1018,체스판 다시 칠하기
true,1049,기타줄
true,1057,토너먼트
true,1065,한수
true,1094,막대기
true,1100,하얀 칸
true,1110,더하기 사이클
true,1120,문자열
true,1138,한 줄로 서기
true,1141,접두사
true,1149,RGB거리
true,1152,단어의 개수
true,1157,단어 공부
true,1158,요세푸스 문제
true,1167,트리의 지름
true,1181,단어 정렬
true,1182,부분수열의 합
true,1237,정ㅋ벅ㅋ
true,1238,파티
true,1252,이진수 덧셈
true,1260,DFS와 BFS
true,1261,알고스팟
true,1300,K번째 수
true,1309,동물원
true,1316,그룹 단어 체커
true,1325,효율적인 해킹
true,1330,두 수 비교하기
true,1339,단어 수학
true,1342,행운의 문자열
true,1343,폴리오미노
true,1347,미로 만들기
true,1373,2진수 8진수
true,1406,에디터
true,1408,24
true,1427,소트인사이드
true,1439,뒤집기
true,1449,수리공 항승
true,1463,1로 만들기
true,1475,방 번호
true,1477,휴게소 세우기
true,1485,정사각형
true,1495,기타리스트
true,1504,특정한 최단 경로
true,1507,궁금한 민호
true,1516,게임 개발
true,1520,내리막 길
true,1541,잃어버린 괄호
true,1546,평균
true,1562,계단 수
true,1598,꼬리를 무는 숫자 나열
true,1613,역사
true,1620,나는야 포켓몬 마스터 이다솜
true,1644,소수의 연속합
true,1654,랜선 자르기
true,1655,가운데를 말해요
true,1676,팩토리얼 0의 개수
true,1697,숨바꼭질
true,1699,제곱수의 합
true,1707,이분 그래프
true,1708,볼록 껍질
true,1712,손익분기점
true,1717,집합의 표현
true,1725,히스토그램
true,1735,분수 합
true,1743,음식물 피하기
true,1744,수 묶기
true,1747,소수&팰린드롬
true,1748,수 이어 쓰기 1
true,1753,최단경로
true,1759,암호 만들기
true,1761,정점들의 거리
true,1764,듣보잡
true,1780,종이의 개수
true,1789,수들의 합
true,1806,부분합
true,1837,암호제작
true,1890,점프
true,1904,01타일
true,1912,연속합
true,1915,가장 큰 정사각형
true,1916,최소비용 구하기
true,1920,수 찾기
true,1922,네트워크 연결
true,1924,2007년
true,1927,최소 힙
true,1929,소수 구하기
true,1931,회의실배정
true,1932,정수 삼각형
true,1937,욕심쟁이 판다
true,1939,중량제한
true,1941,소문난 칠공주
true,1946,신입 사원
true,1963,소수 경로
true,1965,상자넣기
true,1966,프린터 큐
true,1967,트리의 지름
true,1969,DNA
true,1977,완전제곱수
true,1978,소수 찾기
true,1987,알파벳
true,1991,트리 순회
true,1992,쿼드트리
true,2003,수들의 합 2
true,2011,암호코드
true,2014,소수의 곱
true,2042,구간 합 구하기
true,2096,내려가기
true,2098,외판원 순회
true,2108,통계학
true,2110,공유기 설치
true,2133,타일 채우기
true,2146,다리 만들기
true,2156,포도주 시식
true,2162,선분 그룹
true,2163,초콜릿 자르기
true,2164,카드2
true,2166,다각형의 면적
true,2167,2차원 배열의 합
true,2169,로봇 조종하기
true,2178,미로 탐색
true,2193,이친수
true,2206,벽 부수고 이동하기
true,2212,센서
true,2217,로프
true,2225,합분해
true,2231,분해합
true,2240,자두나무
true,2252,줄 세우기
true,2292,벌집
true,2293,동전 1
true,2294,동전 2
true,2302,극장 좌석
true,2309,일곱 난쟁이
true,2331,반복수열
true,2343,기타 레슨
true,2352,반도체 설계
true,2357,최솟값과 최댓값
true,2407,조합
true,2437,저울
true,2438,별 찍기 - 1
true,2439,별 찍기 - 2
true,2440,별 찍기 - 3
true,2441,별 찍기 - 4
true,2442,별 찍기 - 5
true,2443,별 찍기 - 6
true,2444,별 찍기 - 7
true,2445,별 찍기 - 8
true,2446,별 찍기 - 9
true,2455,지능형 기차
true,2458,키 순서
true,2468,안전 영역
true,2475,검증수
true,2485,가로수
true,2493,탑
true,2502,떡 먹는 호랑이
true,2504,괄호의 값
true,2512,예산
true,2522,별 찍기 - 12
true,2557,Hello World
true,2558,A+B - 2
true,2559,수열
true,2562,최댓값
true,2565,전깃줄
true,2573,빙산
true,2576,홀수
true,2577,숫자의 개수
true,2579,계단 오르기
true,2581,소수
true,2583,영역 구하기
true,2588,곱셈
true,2589,보물섬
true,2606,바이러스
true,2624,동전 바꿔주기
true,2628,종이자르기
true,2631,줄세우기
true,2638,치즈
true,2644,촌수계산
true,2665,미로만들기
true,2667,단지번호붙이기
true,2675,문자열 반복
true,2688,줄어들지 않아
true,2739,구구단
true,2741,N 찍기
true,2742,기찍 N
true,2743,단어 길이 재기
true,2744,대소문자 바꾸기
true,2747,피보나치 수
true,2748,피보나치 수 2
true,2750,수 정렬하기
true,2751,수 정렬하기 2
true,2753,윤년
true,2776,암기왕
true,2792,보석 상자
true,2798,블랙잭
true,2805,나무 자르기
true,2839,설탕 배달
true,2842,집배원 한상덕
true,2857,FBI
true,2869,달팽이는 올라가고 싶다
true,2872,우리집엔 도서관이 있어
true,2875,대회 or 인턴
true,2884,알람 시계
true,2902,KMP는 왜 KMP일까?
true,2908,상수
true,2910,빈도 정렬
true,2920,음계
true,2935,소음
true,2941,크로아티아 알파벳
true,2953,나는 요리사다
true,2960,에라토스테네스의 체
true,2985,세 수
true,3009,네 번째 점
true,3020,개똥벌레
true,3046,R2
true,3052,나머지
true,3053,택시 기하학
true,3055,탈출
true,3085,사탕 게임
true,3190,뱀
true,3584,가장 가까운 공통 조상
true,3830,교수님은 기다리지 않는다
true,3955,캔디 분배
true,3986,좋은 단어
true,4101,크냐?
true,4153,직각삼각형
true,4179,불!
true,4195,친구 네트워크
true,4344,평균은 넘겠지
true,4375,1
true,4458,첫 글자를 대문자로
true,4485,녹색 옷 입은 애가 젤다지?
true,4673,셀프 넘버
true,4796,캠핑
true,4811,알약
true,4948,베르트랑 공준
true,4963,섬의 개수
true,5014,스타트링크
true,5052,전화번호 목록
true,5376,소수를 분수로
true,5427,불
true,5430,AC
true,5524,입실 관리
true,5545,최고의 피자
true,5549,행성 탐사
true,5557,1학년
true,5568,카드 놓기
true,5582,공통 부분 문자열
true,5585,거스름돈
true,5613,계산기 프로그램
true,5622,다이얼
true,5639,이진 검색 트리
true,5670,휴대폰 자판
true,6118,숨바꼭질
true,6236,용돈 관리
true,6359,만취한 상범
true,6416,트리인가?
true,6439,교차
true,6497,전력난
true,6588,골드바흐의 추측
true,6593,상범 빌딩
true,6603,로또
true,7287,등록
true,7453,합이 0인 네 정수
true,7568,덩치
true,7569,토마토
true,7576,토마토
true,7579,앱
true,7785,회사에 있는 사람
true,8393,합
true,8958,OX퀴즈
true,9012,괄호
true,9084,동전
true,9095,"1, 2, 3 더하기"
true,9205,맥주 마시면서 걸어가기
true,9251,LCS
true,9252,LCS 2
true,9461,파도반 수열
true,9465,스티커
true,9498,시험 성적
true,9507,Generations of Tribbles
true,9625,BABBA
true,9663,N-Queen
true,9987,포켓몬 마스터
true,10026,적록색약
true,10039,평균 점수
true,10159,저울
true,10164,격자상의 경로
true,10171,고양이
true,10172,개
true,10211,Maximum Subarray
true,10430,나머지
true,10448,유레카 이론
true,10451,순열 사이클
true,10539,수빈이와 수열
true,10546,배부른 마라토너
true,10610,30
true,10718,We love kriii
true,10757,큰 수 A+B
true,10773,제로
true,10775,공항
true,10797,10부제
true,10799,쇠막대기
true,10808,알파벳 개수
true,10809,알파벳 찾기
true,10815,숫자 카드
true,10816,숫자 카드 2
true,10817,세 수
true,10818,"최소, 최대"
true,10826,피보나치 수 4
true,10828,스택
true,10844,쉬운 계단 수
true,10845,큐
true,10866,덱
true,10868,최솟값
true,10869,사칙연산
true,10870,피보나치 수 5
true,10871,X보다 작은 수
true,10872,팩토리얼
true,10942,팰린드롬?
true,10943,랜덤 게임~
true,10950,A+B - 3
true,10951,A+B - 4
true,10952,A+B - 5
true,10953,A+B - 6
true,10974,모든 순열
true,10988,팰린드롬인지 확인하기
true,10989,수 정렬하기 3
true,10991,별 찍기 - 16
true,10992,별 찍기 - 17
true,10998,A×B
true,11003,최솟값 찾기
true,11021,A+B - 7
true,11022,A+B - 8
true,11047,동전 0
true,11048,이동하기
true,11049,행렬 곱셈 순서
true,11050,이항 계수 1
true,11051,이항 계수 2
true,11052,카드 구매하기
true,11053,가장 긴 증가하는 부분 수열
true,11055,가장 큰 증가 부분 수열
true,11057,오르막 수
true,11060,점프 점프
true,11066,파일 합치기
true,11179,2진수 뒤집기
true,11266,단절점
true,11279,최대 힙
true,11286,절댓값 힙
true,11365,!밀비 급일
true,11399,ATM
true,11403,경로 찾기
true,11404,플로이드
true,11437,LCA
true,11438,LCA 2
true,11441,합 구하기
true,11502,세 개의 소수 문제
true,11505,구간 곱 구하기
true,11559,Puyo Puyo
true,11568,민균이의 계략
true,11650,좌표 정렬하기
true,11651,좌표 정렬하기 2
true,11653,소인수분해
true,11654,아스키 코드
true,11656,접미사 배열
true,11659,구간 합 구하기 4
true,11660,구간 합 구하기 5
true,11718,그대로 출력하기
true,11719,그대로 출력하기 2
true,11720,숫자의 합
true,11721,열 개씩 끊어 출력하기
true,11722,가장 긴 감소하는 부분 수열
true,11723,집합
true,11724,연결 요소의 개수
true,11725,트리의 부모 찾기
true,11726,2×n 타일링
true,11727,2×n 타일링 2
true,11728,배열 합치기
true,11729,하노이 탑 이동 순서
true,11758,CCW
true,11812,K진 트리
true,11942,고려대는 사랑입니다
true,11943,파일 옮기기
true,11944,NN
true,11945,뜨거운 붕어빵
true,11969,Breed Counting
true,12015,가장 긴 증가하는 부분 수열 2
true,12100,2048 (Easy)
true,12738,가장 긴 증가하는 부분 수열 3
true,12851,숨바꼭질 2
true,12865,평범한 배낭
true,13301,타일 장식물
true,13414,수강신청
true,13459,구슬 탈출
true,13460,구슬 탈출 2
true,13904,과제
true,13913,숨바꼭질 4
true,14002,가장 긴 증가하는 부분 수열 4
true,14003,가장 긴 증가하는 부분 수열 5
true,14225,부분수열의 합
true,14425,문자열 집합
true,14442,벽 부수고 이동하기 2
true,14500,테트로미노
true,14501,퇴사
true,14502,연구소
true,14503,로봇 청소기
true,14645,와이버스 부릉부릉
true,14646,욱제는 결정장애야!!
true,14647,준오는 조류혐오야!!
true,14648,쿼리 맛보기
true,14889,스타트와 링크
true,14890,경사로
true,14918,더하기
true,15552,빠른 A+B
true,15559,내 선물을 받아줘
true,15596,정수 N개의 합
true,15649,N과 M (1)
true,15686,치킨 배달
true,15873,공백 없는 A+B
true,15969,행복
true,15988,"1, 2, 3 더하기 3"
true,15990,"1, 2, 3 더하기 5"
true,16165,걸그룹 마스터 준석이
true,16234,인구 이동
true,16236,아기 상어
true,16394,홍익대학교
true,16396,선 그리기
true,16507,어두운 건 무서워
true,16562,친구비
true,16918,봄버맨
true,16922,로마 숫자 만들기
true,16931,겉넓이 구하기
true,16948,데스 나이트
true,16953,A → B
true,16988,Baaaaaaaaaduk2 (Easy)
true,17070,파이프 옮기기 1
true,17127,벚꽃이 정보섬에 피어난 이유
true,17135,캐슬 디펜스
true,17142,연구소 3
true,17144,미세먼지 안녕!
true,17269,이름궁합 테스트
true,17389,보너스 점수
true,17406,배열 돌리기 4
true,17822,원판 돌리기
true,17951,흩날리는 시험지 속에서 내 평점이 느껴진거야
false,1062,가르침
false,1197,최소 스패닝 트리
false,1436,영화감독 숌
false,1629,곱셈
false,1700,멀티탭 스케줄링
false,1793,타일링
false,1976,여행 가자
false,2449,전구
false,2517,달리기
false,2568,전깃줄 - 2
false,2824,최대공약수
false,3079,입국심사
false,4256,트리
false,4991,로봇 청소기
false,5550,헌책방
false,10255,교차점
false,11004,K번째 수
false,11561,징검다리
false,11652,카드
false,11657,타임머신
false,12094,2048 (Hard)
false,14594,동방 프로젝트 (Small)
false,15802,타노스
false,16500,문자열 판별
false,17136,색종이 붙이기
