정답여부,문제번호,문제이름
true,1000,A+B
true,1001,A-B
true,1002,터렛
true,1003,피보나치 함수
true,1004,어린 왕자
true,1005,ACM Craft
true,1008,A/B
true,1009,분산처리
true,1010,다리 놓기
true,1011,Fly me to the Alpha Centauri
true,1012,유기농 배추
true,1015,수열 정렬
true,1016,제곱 ㄴㄴ 수
true,1018,체스판 다시 칠하기
true,1021,회전하는 큐
true,1024,수열의 합
true,1026,보물
true,1032,명령 프롬프트
true,1037,약수
true,1049,기타줄
true,1051,숫자 정사각형
true,1057,토너먼트
true,1058,친구
true,1064,평행사변형
true,1065,한수
true,1067,이동
true,1068,트리
true,1072,게임
true,1074,Z
true,1075,나누기
true,1076,저항
true,1085,직사각형에서 탈출
true,1094,막대기
true,1100,하얀 칸
true,1107,리모컨
true,1110,더하기 사이클
true,1132,합
true,1138,한 줄로 서기
true,1149,RGB거리
true,1152,단어의 개수
true,1157,단어 공부
true,1158,요세푸스 문제
true,1159,농구 경기
true,1167,트리의 지름
true,1181,단어 정렬
true,1182,부분수열의 합
true,1193,분수찾기
true,1197,최소 스패닝 트리
true,1205,등수 구하기
true,1212,8진수 2진수
true,1225,이상한 곱셈
true,1226,국회
true,1237,정ㅋ벅ㅋ
true,1252,이진수 덧셈
true,1256,사전
true,1260,DFS와 BFS
true,1269,대칭 차집합
true,1280,나무 심기
true,1285,동전 뒤집기
true,1289,트리의 가중치
true,1292,쉽게 푸는 문제
true,1302,베스트셀러
true,1309,동물원
true,1316,그룹 단어 체커
true,1330,두 수 비교하기
true,1357,뒤집힌 덧셈
true,1371,가장 많은 글자
true,1373,2진수 8진수
true,1389,케빈 베이컨의 6단계 법칙
true,1406,에디터
true,1427,소트인사이드
true,1463,1로 만들기
true,1475,방 번호
true,1476,날짜 계산
true,1495,기타리스트
true,1520,내리막 길
true,1546,평균
true,1550,16진수
true,1551,수열의 변화
true,1605,반복 부분문자열
true,1620,나는야 포켓몬 마스터 이다솜
true,1629,곱셈
true,1652,누울 자리를 찾아라
true,1654,랜선 자르기
true,1676,팩토리얼 0의 개수
true,1697,숨바꼭질
true,1699,제곱수의 합
true,1707,이분 그래프
true,1711,직각삼각형
true,1717,집합의 표현
true,1725,히스토그램
true,1731,추론
true,1735,분수 합
true,1753,최단경로
true,1758,알바생 강호
true,1759,암호 만들기
true,1761,정점들의 거리
true,1777,순열복원
true,1780,종이의 개수
true,1786,찾기
true,1822,차집합
true,1864,문어 숫자
true,1871,좋은 자동차 번호판
true,1874,스택 수열
true,1890,점프
true,1911,흙길 보수하기
true,1912,연속합
true,1915,가장 큰 정사각형
true,1916,최소비용 구하기
true,1920,수 찾기
true,1922,네트워크 연결
true,1924,2007년
true,1927,최소 힙
true,1929,소수 구하기
true,1931,회의실배정
true,1932,정수 삼각형
true,1934,최소공배수
true,1937,욕심쟁이 판다
true,1939,중량제한
true,1965,상자넣기
true,1966,프린터 큐
true,1967,트리의 지름
true,1977,완전제곱수
true,1978,소수 찾기
true,1987,알파벳
true,1991,트리 순회
true,1992,쿼드트리
true,2003,수들의 합 2
true,2010,플러그
true,2011,암호코드
true,2014,소수의 곱
true,2033,반올림
true,2042,구간 합 구하기
true,2083,럭비 클럽
true,2098,외판원 순회
true,2108,통계학
true,2133,타일 채우기
true,2150,Strongly Connected Component
true,2156,포도주 시식
true,2163,초콜릿 자르기
true,2166,다각형의 면적
true,2167,2차원 배열의 합
true,2178,미로 탐색
true,2188,축사 배정
true,2193,이친수
true,2217,로프
true,2231,분해합
true,2240,자두나무
true,2250,트리의 높이와 너비
true,2252,줄 세우기
true,2254,감옥 건설
true,2268,수들의 합
true,2292,벌집
true,2293,동전 1
true,2294,동전 2
true,2309,일곱 난쟁이
true,2357,최솟값과 최댓값
true,2407,조합
true,2420,사파리월드
true,2438,별 찍기 - 1
true,2439,별 찍기 - 2
true,2440,별 찍기 - 3
true,2441,별 찍기 - 4
true,2442,별 찍기 - 5
true,2443,별 찍기 - 6
true,2444,별 찍기 - 7
true,2445,별 찍기 - 8
true,2446,별 찍기 - 9
true,2448,별 찍기 - 11
true,2455,지능형 기차
true,2468,안전 영역
true,2475,검증수
true,2476,주사위 게임
true,2480,주사위 세개
true,2490,윷놀이
true,2493,탑
true,2501,약수 구하기
true,2504,괄호의 값
true,2506,점수계산
true,2522,별 찍기 - 12
true,2523,별 찍기 - 13
true,2525,오븐 시계
true,2530,인공지능 시계
true,2555,생일 출력하기
true,2556,별 찍기 - 14
true,2557,Hello World
true,2558,A+B - 2
true,2562,최댓값
true,2576,홀수
true,2577,숫자의 개수
true,2579,계단 오르기
true,2580,스도쿠
true,2581,소수
true,2583,영역 구하기
true,2587,대표값2
true,2588,곱셈
true,2589,보물섬
true,2605,줄 세우기
true,2606,바이러스
true,2607,비슷한 단어
true,2608,로마 숫자
true,2609,최대공약수와 최소공배수
true,2610,회의준비
true,2611,자동차경주
true,2621,카드게임
true,2631,줄세우기
true,2644,촌수계산
true,2667,단지번호붙이기
true,2670,연속부분최대곱
true,2675,문자열 반복
true,2739,구구단
true,2741,N 찍기
true,2742,기찍 N
true,2743,단어 길이 재기
true,2744,대소문자 바꾸기
true,2747,피보나치 수
true,2748,피보나치 수 2
true,2749,피보나치 수 3
true,2750,수 정렬하기
true,2751,수 정렬하기 2
true,2752,세수정렬
true,2753,윤년
true,2775,부녀회장이 될테야
true,2777,숫자 놀이
true,2799,블라인드
true,2805,나무 자르기
true,2839,설탕 배달
true,2851,슈퍼 마리오
true,2864,5와 6의 차이
true,2869,달팽이는 올라가고 싶다
true,2902,KMP는 왜 KMP일까?
true,2908,상수
true,2914,저작권
true,2920,음계
true,2941,크로아티아 알파벳
true,2947,나무 조각
true,2953,나는 요리사다
true,2957,이진 탐색 트리
true,2960,에라토스테네스의 체
true,2965,캥거루 세마리
true,2975,Transactions
true,2998,8진수
true,3009,네 번째 점
true,3015,오아시스 재결합
true,3033,가장 긴 문자열
true,3040,백설 공주와 일곱 난쟁이
true,3046,R2
true,3047,ABC
true,3052,나머지
true,3053,택시 기하학
true,3060,욕심쟁이 돼지
true,3062,수 뒤집기
true,3063,게시판
true,3076,상근이의 체스판
true,3163,떨어지는 개미
true,3174,나누기
true,3190,뱀
true,3295,단방향 링크 네트워크
true,3908,서로 다른 소수의 합
true,3978,Hacking
true,3986,좋은 단어
true,4101,크냐?
true,4195,친구 네트워크
true,4196,도미노
true,4344,평균은 넘겠지
true,4593,"Rock, Paper, Scissors"
true,4613,Quicksum
true,4673,셀프 넘버
true,4766,일반 화학 실험
true,4948,베르트랑 공준
true,4963,섬의 개수
true,4999,아!
true,5014,스타트링크
true,5052,전화번호 목록
true,5337,웰컴
true,5338,마이크로소프트 로고
true,5339,콜센터
true,5361,전투 드로이드 가격
true,5532,방학 숙제
true,5543,상근날드
true,5554,심부름 가는 길
true,5557,1학년
true,5565,영수증
true,5567,결혼식
true,5575,타임 카드
true,5585,거스름돈
true,5597,과제 안 내신 분..?
true,5622,다이얼
true,5648,역원소 정렬
true,5670,휴대폰 자판
true,5692,팩토리얼 진법
true,5719,거의 최단 경로
true,6064,카잉 달력
true,6131,완전 제곱수
true,6359,만취한 상범
true,6376,e 계산
true,6549,히스토그램에서 가장 큰 직사각형
true,6588,골드바흐의 추측
true,6589,Heavy Cargo
true,6591,이항 쇼다운
true,6603,로또
true,6850,Cows
true,7287,등록
true,7361,Currency Exchange
true,7420,맹독 방벽
true,7562,나이트의 이동
true,7567,그릇
true,7568,덩치
true,7569,토마토
true,7570,줄 세우기
true,7576,토마토
true,7578,공장
true,7800,The Chosen Sub Matrix
true,7916,Cross Spider
true,8393,합
true,8892,팰린드롬
true,8896,가위 바위 보
true,8901,화학 제품
true,8949,대충 더해
true,8958,OX퀴즈
true,9012,괄호
true,9015,정사각형
true,9020,골드바흐의 추측
true,9081,단어 맞추기
true,9085,더하기
true,9086,문자열
true,9095,"1, 2, 3 더하기"
true,9251,LCS
true,9323,무임승차
true,9325,얼마?
true,9370,미확인 도착지
true,9455,박스
true,9461,파도반 수열
true,9465,스티커
true,9466,텀 프로젝트
true,9498,시험 성적
true,9506,약수들의 합
true,9507,Generations of Tribbles
true,9613,GCD 합
true,9653,스타워즈 로고
true,9654,나부 함대 데이터
true,9655,돌 게임
true,9663,N-Queen
true,9934,완전 이진 트리
true,9999,구구
true,10026,적록색약
true,10039,평균 점수
true,10101,삼각형 외우기
true,10156,과자
true,10162,전자레인지
true,10170,NFC West vs North
true,10171,고양이
true,10172,개
true,10205,헤라클레스와 히드라
true,10250,ACM 호텔
true,10251,운전 면허 시험
true,10360,The Mountain of Gold?
true,10430,나머지
true,10448,유레카 이론
true,10451,순열 사이클
true,10546,배부른 마라토너
true,10699,오늘 날짜
true,10718,We love kriii
true,10757,큰 수 A+B
true,10797,10부제
true,10798,세로읽기
true,10799,쇠막대기
true,10800,컬러볼
true,10801,카드게임
true,10808,알파벳 개수
true,10809,알파벳 찾기
true,10814,나이순 정렬
true,10815,숫자 카드
true,10817,세 수
true,10818,"최소, 최대"
true,10819,차이를 최대로
true,10820,문자열 분석
true,10822,더하기
true,10824,네 수
true,10828,스택
true,10833,사과
true,10844,쉬운 계단 수
true,10845,큐
true,10859,뒤집어진 소수
true,10867,중복 빼고 정렬하기
true,10868,최솟값
true,10869,사칙연산
true,10870,피보나치 수 5
true,10871,X보다 작은 수
true,10872,팩토리얼
true,10886,0 = not cute / 1 = cute
true,10926,??!
true,10942,팰린드롬?
true,10950,A+B - 3
true,10951,A+B - 4
true,10952,A+B - 5
true,10953,A+B - 6
true,10971,외판원 순회 2
true,10972,다음 순열
true,10974,모든 순열
true,10987,모음의 개수
true,10988,팰린드롬인지 확인하기
true,10989,수 정렬하기 3
true,10990,별 찍기 - 15
true,10991,별 찍기 - 16
true,10992,별 찍기 - 17
true,10995,별 찍기 - 20
true,10998,A×B
true,11003,최솟값 찾기
true,11004,K번째 수
true,11021,A+B - 7
true,11022,A+B - 8
true,11047,동전 0
true,11048,이동하기
true,11050,이항 계수 1
true,11051,이항 계수 2
true,11052,카드 구매하기
true,11053,가장 긴 증가하는 부분 수열
true,11054,가장 긴 바이토닉 부분 수열
true,11055,가장 큰 증가 부분 수열
true,11057,오르막 수
true,11060,점프 점프
true,11066,파일 합치기
true,11068,회문인 수
true,11231,Word Ladder
true,11279,최대 힙
true,11286,절댓값 힙
true,11332,시간초과
true,11382,꼬마 정민
true,11399,ATM
true,11403,경로 찾기
true,11404,플로이드
true,11405,책 구매하기
true,11407,책 구매하기 3
true,11409,열혈강호 6
true,11438,LCA 2
true,11447,Colby’s Costly Collectibles
true,11502,세 개의 소수 문제
true,11505,구간 곱 구하기
true,11506,占쏙옙
true,11563,연돌이와 고잠녀
true,11575,Affine Cipher
true,11576,Base Conversion
true,11580,Footprint
true,11586,지영 공주님의 마법 거울
true,11648,지속
true,11650,좌표 정렬하기
true,11651,좌표 정렬하기 2
true,11652,카드
true,11653,소인수분해
true,11654,아스키 코드
true,11655,ROT13
true,11656,접미사 배열
true,11659,구간 합 구하기 4
true,11718,그대로 출력하기
true,11719,그대로 출력하기 2
true,11720,숫자의 합
true,11721,열 개씩 끊어 출력하기
true,11722,가장 긴 감소하는 부분 수열
true,11723,집합
true,11724,연결 요소의 개수
true,11726,2×n 타일링
true,11727,2×n 타일링 2
true,11728,배열 합치기
true,11729,하노이 탑 이동 순서
true,11740,Froggy Ford
true,11741,Generators
true,11758,CCW
true,11779,최소비용 구하기 2
true,11781,퇴근 시간
true,11816,"8진수, 10진수, 16진수"
true,11866,요세푸스 문제 0
true,11929,발렌타인 데이
true,11931,수 정렬하기 4
true,11942,고려대는 사랑입니다
true,11945,뜨거운 붕어빵
true,12087,첫 제출
true,12090,초성 변환
true,12096,
true,12097,1과 2
true,12100,2048 (Easy)
true,12741,쓰담쓰담
true,12778,CTP공국으로 이민 가자
true,12788,제 2회 IUPC는 잘 개최될 수 있을까?
true,12790,Mini Fantasy War
true,12791,Starman
true,12995,트리나라
true,13147,Dwarves
true,13277,큰 수 곱셈
true,13300,방 배정
true,13311,행운의 편지
true,13326,Diameter
true,13333,Q-인덱스
true,13334,철로
true,13335,트럭
true,13399,Rearranging a Sequence
true,13458,시험 감독
true,13460,구슬 탈출 2
true,13561,House Rental
true,13703,물벼룩의 생존확률
true,13905,세부
true,13962,Performance Review
true,14443,채점 소수 번호
true,14487,욱제는 효도쟁이야!!
true,14490,백대열
true,14491,9진수
true,14499,주사위 굴리기
true,14500,테트로미노
true,14501,퇴사
true,14502,연구소
true,14503,로봇 청소기
