정답여부,문제번호,문제이름
true,1000,A+B
true,1001,A-B
true,1003,피보나치 함수
true,1008,A/B
true,1012,유기농 배추
true,1014,컨닝
true,1016,제곱 ㄴㄴ 수
true,1018,체스판 다시 칠하기
true,1021,회전하는 큐
true,1023,괄호 문자열
true,1026,보물
true,1039,교환
true,1067,이동
true,1068,트리
true,1074,Z
true,1102,발전소
true,1149,RGB거리
true,1150,백업
true,1158,요세푸스 문제
true,1166,선물
true,1168,요세푸스 문제 2
true,1179,마지막 요세푸스 문제
true,1182,부분수열의 합
true,1194,"달이 차오른다, 가자."
true,1197,최소 스패닝 트리
true,1199,오일러 회로
true,1201,NMK
true,1256,사전
true,1260,DFS와 BFS
true,1261,알고스팟
true,1269,대칭 차집합
true,1273,샷
true,1275,커피숍2
true,1280,나무 심기
true,1285,동전 뒤집기
true,1300,K번째 수
true,1305,광고
true,1309,동물원
true,1327,소트 게임
true,1328,고층 빌딩
true,1339,단어 수학
true,1351,무한 수열
true,1365,꼬인 전깃줄
true,1389,케빈 베이컨의 6단계 법칙
true,1396,크루스칼의 공
true,1405,미친 로봇
true,1406,에디터
true,1420,학교 가지마!
true,1438,가장 작은 직사각형
true,1449,수리공 항승
true,1456,거의 소수
true,1463,1로 만들기
true,1493,박스 채우기
true,1495,기타리스트
true,1509,팰린드롬 분할
true,1516,게임 개발
true,1520,내리막 길
true,1525,퍼즐
true,1535,안녕
true,1562,계단 수
true,1620,나는야 포켓몬 마스터 이다솜
true,1629,곱셈
true,1648,격자판 채우기
true,1654,랜선 자르기
true,1676,팩토리얼 0의 개수
true,1688,지민이의 테러
true,1697,숨바꼭질
true,1699,제곱수의 합
true,1700,멀티탭 스케줄링
true,1701,Cubeditor
true,1707,이분 그래프
true,1708,볼록 껍질
true,1715,카드 정렬하기
true,1717,집합의 표현
true,1725,히스토그램
true,1734,교통 체계
true,1743,음식물 피하기
true,1753,최단경로
true,1759,암호 만들기
true,1780,종이의 개수
true,1786,찾기
true,1799,비숍
true,1867,돌멩이 제거
true,1874,스택 수열
true,1890,점프
true,1904,01타일
true,1912,연속합
true,1916,최소비용 구하기
true,1918,후위 표기식
true,1922,네트워크 연결
true,1927,최소 힙
true,1931,회의실배정
true,1932,정수 삼각형
true,1934,최소공배수
true,1935,후위 표기식2
true,1939,중량제한
true,1946,신입 사원
true,1948,임계경로
true,1949,우수 마을
true,1966,프린터 큐
true,1967,트리의 지름
true,1969,DNA
true,1976,여행 가자
true,1978,소수 찾기
true,1987,알파벳
true,1992,쿼드트리
true,2001,보석 줍기
true,2014,소수의 곱
true,2042,구간 합 구하기
true,2056,작업
true,2075,N번째 큰 수
true,2098,외판원 순회
true,2104,부분배열 고르기
true,2110,공유기 설치
true,2133,타일 채우기
true,2146,다리 만들기
true,2150,Strongly Connected Component
true,2156,포도주 시식
true,2162,선분 그룹
true,2164,카드2
true,2166,다각형의 면적
true,2178,미로 탐색
true,2193,이친수
true,2201,이친수 찾기
true,2206,벽 부수고 이동하기
true,2207,가위바위보
true,2212,센서
true,2213,트리의 독립집합
true,2217,로프
true,2225,합분해
true,2228,구간 나누기
true,2243,사탕상자
true,2248,이진수 찾기
true,2250,트리의 높이와 너비
true,2252,줄 세우기
true,2261,가장 가까운 두 점
true,2266,금고 테스트
true,2268,수들의 합
true,2287,모노디지털 표현
true,2291,Sequence
true,2294,동전 2
true,2309,일곱 난쟁이
true,2316,도시 왕복하기 2
true,2331,반복수열
true,2336,굉장한 학생
true,2337,트리 자르기
true,2339,석판 자르기
true,2343,기타 레슨
true,2346,풍선 터뜨리기
true,2357,최솟값과 최댓값
true,2365,숫자판 만들기
true,2437,저울
true,2447,별 찍기 - 10
true,2466,책장
true,2468,안전 영역
true,2494,숫자 맞추기
true,2503,숫자 야구
true,2504,괄호의 값
true,2512,예산
true,2516,원숭이
true,2531,회전 초밥
true,2533,사회망 서비스(SNS)
true,2543,초고속철도
true,2557,Hello World
true,2558,A+B - 2
true,2580,스도쿠
true,2582,동전 뒤집기 2
true,2583,영역 구하기
true,2586,소방차
true,2630,색종이 만들기
true,2644,촌수계산
true,2661,좋은수열
true,2667,단지번호붙이기
true,2696,중앙값 구하기
true,2747,피보나치 수
true,2750,수 정렬하기
true,2751,수 정렬하기 2
true,2805,나무 자르기
true,2820,자동차 공장
true,2840,행운의 바퀴
true,2841,외계인의 기타 연주
true,2866,문자열 잘라내기
true,2875,대회 or 인턴
true,2904,수학은 너무 쉬워
true,2912,백설공주와 난쟁이
true,2917,늑대 사냥꾼
true,2960,에라토스테네스의 체
true,2969,메뚜기
true,3006,터보소트
true,3041,N-퍼즐
true,3055,탈출
true,3078,좋은 친구
true,3080,아름다운 이름
true,3085,사탕 게임
true,3172,현주와 윤주의 재미있는 단어 게임
true,3190,뱀
true,3392,화성 지도
true,3482,Labyrinth
true,3653,영화 수집
true,3682,동치 증명
true,3687,성냥개비
true,3745,오름세
true,3747,완벽한 선거!
true,3780,네트워크 연결
true,3789,Hidden Password
true,3896,소수 사이 수열
true,3954,Brainf**k 인터프리터
true,3980,선발 명단
true,3986,좋은 단어
true,4013,ATM
true,4195,친구 네트워크
true,4219,커피 전문점
true,4222,Mining Your Own Business
true,4256,트리
true,4485,녹색 옷 입은 애가 젤다지?
true,4673,셀프 넘버
true,4796,캠핑
true,4803,트리
true,4948,베르트랑 공준
true,4963,섬의 개수
true,5012,불만 정렬
true,5052,전화번호 목록
true,5076,Web Pages
true,5397,키로거
true,5406,"No Smoking, Please"
true,5427,불
true,5430,AC
true,5461,고용
true,5465,곰돌이
true,5480,전함
true,5547,일루미네이션
true,5582,공통 부분 문자열
true,5585,거스름돈
true,5676,음주 코딩
true,5699,문자열 농장
true,5820,경주
true,5861,First!
true,5878,Bookshelf
true,5891,Flowerpot
true,5892,Landscaping
true,5900,Cow IDs
true,5905,악당 로봇
true,5907,Bovine Alliance
true,5933,Buying Feed
true,5937,Chocolate Milk
true,5969,Brownie Slicing
true,5973,Bovine Bridge Battle
true,5977,Mowing the Lawn
true,5981,Cow Checkers
true,5998,Lights
true,6006,Dizzy Cows
true,6236,용돈 관리
true,6549,히스토그램에서 가장 큰 직사각형
true,6588,골드바흐의 추측
true,6593,상범 빌딩
true,7017,Biased Dice
true,7469,K번째 수
true,7532,Dart Scoring
true,7562,나이트의 이동
true,7576,토마토
true,7577,탐사
true,7578,공장
true,7966,Template
true,8172,Elephants
true,8201,Pilots
true,8213,Dynamite
true,8215,Inspection
true,8217,유성
true,8230,Squarks
true,8233,Minimalist Security
true,8234,Warehouse Store
true,8393,합
true,8476,Highways
true,9007,카누 선수
true,9012,괄호
true,9019,DSLR
true,9084,동전
true,9095,"1, 2, 3 더하기"
true,9248,Suffix Array
true,9250,문자열 집합 판별
true,9252,LCS 2
true,9318,위성 사진
true,9345,디지털 비디오 디스크(DVDs)
true,9421,소수상근수
true,9461,파도반 수열
true,9465,스티커
true,9466,텀 프로젝트
true,9543,Crane
true,9572,Pogo-Cow
true,9655,돌 게임
true,9663,N-Queen
true,9877,Ski Course Rating
true,9938,방 청소
true,10018,The Lazy Cow
true,10026,적록색약
true,10129,작은 새
true,10167,금광
true,10211,Maximum Subarray
true,10255,교차점
true,10256,돌연변이
true,10265,MT
true,10448,유레카 이론
true,10451,순열 사이클
true,10455,Torus
true,10531,Golf Bot
true,10538,빅 픽쳐
true,10597,순열장난
true,10745,Censoring
true,10747,Censoring
true,10750,Censoring
true,10775,공항
true,10816,숫자 카드 2
true,10828,스택
true,10830,행렬 제곱
true,10844,쉬운 계단 수
true,10845,큐
true,10866,덱
true,10871,X보다 작은 수
true,10942,팰린드롬?
true,10950,A+B - 3
true,10986,나머지 합
true,10998,A×B
true,11000,강의실 배정
true,11025,요세푸스 문제 3
true,11047,동전 0
true,11048,이동하기
true,11051,이항 계수 2
true,11052,카드 구매하기
true,11053,가장 긴 증가하는 부분 수열
true,11054,가장 긴 바이토닉 부분 수열
true,11055,가장 큰 증가 부분 수열
true,11057,오르막 수
true,11066,파일 합치기
true,11097,도시 계획
true,11266,단절점
true,11277,2-SAT - 1
true,11278,2-SAT - 2
true,11279,최대 힙
true,11280,2-SAT - 3
true,11281,2-SAT - 4
true,11286,절댓값 힙
true,11375,열혈강호
true,11399,ATM
true,11400,단절선
true,11403,경로 찾기
true,11404,플로이드
true,11405,책 구매하기
true,11408,열혈강호 5
true,11409,열혈강호 6
true,11438,LCA 2
true,11441,합 구하기
true,11479,서로 다른 부분 문자열의 개수 2
true,11505,구간 곱 구하기
true,11512,UZASTOPNI
true,11555,CLARKSON
true,11563,연돌이와 고잠녀
true,11591,VUDU
true,11658,구간 합 구하기 3
true,11659,구간 합 구하기 4
true,11660,구간 합 구하기 5
true,11677,Promotions
true,11678,Black Vienna
true,11722,가장 긴 감소하는 부분 수열
true,11723,집합
true,11724,연결 요소의 개수
true,11725,트리의 부모 찾기
true,11726,2×n 타일링
true,11727,2×n 타일링 2
true,11728,배열 합치기
true,11729,하노이 탑 이동 순서
true,11758,CCW
true,11779,최소비용 구하기 2
true,11873,최대 직사각형
true,11932,트리와 K번째 수
true,11962,Counting Haybales
true,11969,Breed Counting
true,11985,오렌지 출하
true,11990,Load Balancing (Platinum)
true,11997,Load Balancing (Silver)
true,12008,262144
true,12010,Landscaping
true,12013,248 게임
true,12015,가장 긴 증가하는 부분 수열 2
true,12016,라운드 로빈 스케줄러
true,12749,Bosses
true,12837,가계부 (Hard)
true,12995,트리나라
true,13331,Planar Drawing
true,13486,Cezar
true,13576,Prefix와 Suffix
true,13713,문자열과 쿼리
true,13904,과제
true,13960,Dinner Bet
true,14500,테트로미노
true,14897,서로 다른 수와 쿼리 1
true,14939,불 끄기
true,14942,개미
true,14946,누가 크리스마스 소리를 내었는가
true,14949,외계 미생물
true,15326,Usmjeri
true,15352,욱제와 그의 팬들
true,15501,부당한 퍼즐
true,15502,K-균등 문자열
true,15503,레벨 배치하기
true,15504,프로그래밍 대결
true,15505,아름다운 퍼즐 만들기
true,15506,정원사
true,15507,연산 최적화
true,15576,큰 수 곱셈 (2)
true,15732,도토리 숨기기
true,15748,Rest Stops
true,15953,상금 헌터
true,15954,인형들
true,15955,부스터
true,15957,음악 추천
true,15979,스승님 찾기
true,15980,명상 방해꾼
true,15981,상자 열기
true,15982,국제 소 줄서기 사진 콘테스트
true,15984,유물 도둑
true,15985,모든 결말을 보고 싶어
true,15997,승부 예측
true,15998,카카오머니
true,15999,뒤집기
true,16000,섬
true,16234,인구 이동
true,16235,나무 재테크
true,16236,아기 상어
true,16397,탈출
true,16434,드래곤 앤 던전
true,16437,양 구출 작전
true,16491,대피소 찾기
true,16500,문자열 판별
true,16507,어두운 건 무서워
true,16562,친구비
true,16713,Generic Queries
false,1301,비즈 공예
false,1849,순열
false,1865,웜홀
false,2011,암호코드
false,5014,스타트링크
false,6086,최대 유량
false,11049,행렬 곱셈 순서
false,11385,씽크스몰
false,11657,타임머신
false,15983,순간이동 발판
