정답여부,문제번호,문제이름
true,1000,A+B
true,1001,A-B
true,1003,피보나치 함수
true,1005,ACM Craft
true,1008,A/B
true,1010,다리 놓기
true,1012,유기농 배추
true,1016,제곱 ㄴㄴ 수
true,1018,체스판 다시 칠하기
true,1021,회전하는 큐
true,1027,고층 건물
true,1036,36진수
true,1037,약수
true,1038,감소하는 수
true,1039,교환
true,1043,거짓말
true,1057,토너먼트
true,1059,수2
true,1062,가르침
true,1065,한수
true,1074,Z
true,1079,마피아
true,1103,게임
true,1110,더하기 사이클
true,1111,IQ Test
true,1113,수영장 만들기
true,1120,문자열
true,1149,RGB거리
true,1152,단어의 개수
true,1157,단어 공부
true,1175,배달
true,1194,"달이 차오른다, 가자."
true,1197,최소 스패닝 트리
true,1202,보석 도둑
true,1219,오민식의 고민
true,1237,정ㅋ벅ㅋ
true,1238,파티
true,1248,맞춰봐
true,1254,팰린드롬 만들기
true,1256,사전
true,1260,DFS와 BFS
true,1261,알고스팟
true,1275,커피숍2
true,1306,달려라 홍준
true,1309,동물원
true,1322,X와 K
true,1324,젠장
true,1325,효율적인 해킹
true,1330,두 수 비교하기
true,1339,단어 수학
true,1389,케빈 베이컨의 6단계 법칙
true,1398,동전 문제
true,1405,미친 로봇
true,1422,숫자의 신
true,1436,영화감독 숌
true,1449,수리공 항승
true,1463,1로 만들기
true,1476,날짜 계산
true,1495,기타리스트
true,1504,특정한 최단 경로
true,1507,궁금한 민호
true,1516,게임 개발
true,1520,내리막 길
true,1525,퍼즐
true,1526,가장 큰 금민수
true,1546,평균
true,1547,공
true,1550,16진수
true,1561,놀이 공원
true,1572,중앙값
true,1600,말이 되고픈 원숭이
true,1613,역사
true,1644,소수의 연속합
true,1647,도시 분할 계획
true,1654,랜선 자르기
true,1655,가운데를 말해요
true,1660,캡틴 이다솜
true,1695,팰린드롬 만들기
true,1697,숨바꼭질
true,1699,제곱수의 합
true,1707,이분 그래프
true,1717,집합의 표현
true,1720,타일 코드
true,1726,로봇
true,1753,최단경로
true,1759,암호 만들기
true,1774,우주신과의 교감
true,1786,찾기
true,1799,비숍
true,1806,부분합
true,1826,연료 채우기
true,1890,점프
true,1904,01타일
true,1912,연속합
true,1915,가장 큰 정사각형
true,1917,정육면체 전개도
true,1920,수 찾기
true,1922,네트워크 연결
true,1929,소수 구하기
true,1931,회의실배정
true,1932,정수 삼각형
true,1937,욕심쟁이 판다
true,1938,통나무 옮기기
true,1939,중량제한
true,1941,소문난 칠공주
true,1958,LCS 3
true,1963,소수 경로
true,1965,상자넣기
true,1966,프린터 큐
true,1978,소수 찾기
true,1981,배열에서 이동
true,1983,숫자 박스
true,1987,알파벳
true,1991,트리 순회
true,2002,추월
true,2003,수들의 합 2
true,2011,암호코드
true,2023,신기한 소수
true,2042,구간 합 구하기
true,2056,작업
true,2096,내려가기
true,2098,외판원 순회
true,2109,순회강연
true,2116,주사위 쌓기
true,2130,수조
true,2133,타일 채우기
true,2146,다리 만들기
true,2151,거울 설치
true,2156,포도주 시식
true,2161,카드1
true,2164,카드2
true,2167,2차원 배열의 합
true,2178,미로 탐색
true,2186,문자판
true,2193,이친수
true,2206,벽 부수고 이동하기
true,2210,숫자판 점프
true,2217,로프
true,2225,합분해
true,2231,분해합
true,2234,성곽
true,2240,자두나무
true,2251,물통
true,2252,줄 세우기
true,2261,가장 가까운 두 점
true,2268,수들의 합
true,2293,동전 1
true,2294,동전 2
true,2302,극장 좌석
true,2352,반도체 설계
true,2357,최솟값과 최댓값
true,2381,최대 거리
true,2407,조합
true,2410,2의 멱수의 합
true,2438,별 찍기 - 1
true,2439,별 찍기 - 2
true,2440,별 찍기 - 3
true,2441,별 찍기 - 4
true,2467,용액
true,2468,안전 영역
true,2475,검증수
true,2493,탑
true,2557,Hello World
true,2558,A+B - 2
true,2562,최댓값
true,2568,전깃줄 - 2
true,2573,빙산
true,2577,숫자의 개수
true,2579,계단 오르기
true,2580,스도쿠
true,2589,보물섬
true,2602,돌다리 건너기
true,2606,바이러스
true,2624,동전 바꿔주기
true,2629,양팔저울
true,2630,색종이 만들기
true,2631,줄세우기
true,2635,수 이어가기
true,2636,치즈
true,2638,치즈
true,2644,촌수계산
true,2661,좋은수열
true,2662,기업투자
true,2667,단지번호붙이기
true,2675,문자열 반복
true,2688,줄어들지 않아
true,2698,인접한 비트의 개수
true,2739,구구단
true,2741,N 찍기
true,2742,기찍 N
true,2747,피보나치 수
true,2748,피보나치 수 2
true,2749,피보나치 수 3
true,2753,윤년
true,2798,블랙잭
true,2805,나무 자르기
true,2839,설탕 배달
true,2842,집배원 한상덕
true,2884,알람 시계
true,2908,상수
true,2920,음계
true,2931,가스관
true,2933,미네랄
true,2941,크로아티아 알파벳
true,2957,이진 탐색 트리
true,2960,에라토스테네스의 체
true,2979,트럭 주차
true,2982,국왕의 방문
true,3052,나머지
true,3055,탈출
true,3109,빵집
true,3128,Hangman Game
true,3184,양
true,3187,양치기 꿍
true,3190,뱀
true,3197,백조의 호수
true,3665,최종 순위
true,3671,산업 스파이의 편지
true,3933,라그랑주의 네 제곱수 정리
true,3955,캔디 분배
true,3967,매직 스타
true,3985,롤 케이크
true,4179,불!
true,4320,완전 P제곱수
true,4485,녹색 옷 입은 애가 젤다지?
true,4574,스도미노쿠
true,4781,사탕 가게
true,4796,캠핑
true,4883,삼각 그래프
true,4949,균형잡힌 세상
true,4991,로봇 청소기
true,5014,스타트링크
true,5052,전화번호 목록
true,5086,배수와 약수
true,5213,과외맨
true,5214,환승
true,5337,웰컴
true,5338,마이크로소프트 로고
true,5373,큐빙
true,5397,키로거
true,5427,불
true,5522,카드 게임
true,5532,방학 숙제
true,5557,1학년
true,5582,공통 부분 문자열
true,5676,음주 코딩
true,5719,거의 최단 경로
true,6087,레이저 통신
true,6118,숨바꼭질
true,6359,만취한 상범
true,6593,상범 빌딩
true,6603,로또
true,6987,월드컵
true,7287,등록
true,7562,나이트의 이동
true,7568,덩치
true,7569,토마토
true,7576,토마토
true,7579,앱
true,8393,합
true,8595,히든 넘버
true,8958,OX퀴즈
true,9012,괄호
true,9019,DSLR
true,9084,동전
true,9095,"1, 2, 3 더하기"
true,9205,맥주 마시면서 걸어가기
true,9207,페그 솔리테어
true,9251,LCS
true,9252,LCS 2
true,9328,열쇠
true,9370,미확인 도착지
true,9372,상근이의 여행
true,9376,탈옥
true,9398,A Password Policy Requirement
true,9426,중앙값 측정
true,9461,파도반 수열
true,9465,스티커
true,9466,텀 프로젝트
true,9470,Strahler 순서
true,9498,시험 성적
true,9507,Generations of Tribbles
true,9655,돌 게임
true,9663,N-Queen
true,9935,문자열 폭발
true,9999,구구
true,10026,적록색약
true,10039,평균 점수
true,10164,격자상의 경로
true,10171,고양이
true,10172,개
true,10216,Count Circle Groups
true,10430,나머지
true,10451,순열 사이클
true,10473,인간 대포
true,10610,30
true,10718,We love kriii
true,10757,큰 수 A+B
true,10773,제로
true,10809,알파벳 찾기
true,10816,숫자 카드 2
true,10817,세 수
true,10818,"최소, 최대"
true,10836,여왕벌
true,10844,쉬운 계단 수
true,10868,최솟값
true,10869,사칙연산
true,10871,X보다 작은 수
true,10872,팩토리얼
true,10926,??!
true,10942,팰린드롬?
true,10950,A+B - 3
true,10951,A+B - 4
true,10952,A+B - 5
true,10998,A×B
true,10999,구간 합 구하기 2
true,11003,최솟값 찾기
true,11021,A+B - 7
true,11022,A+B - 8
true,11047,동전 0
true,11048,이동하기
true,11049,행렬 곱셈 순서
true,11051,이항 계수 2
true,11052,카드 구매하기
true,11053,가장 긴 증가하는 부분 수열
true,11054,가장 긴 바이토닉 부분 수열
true,11055,가장 큰 증가 부분 수열
true,11057,오르막 수
true,11060,점프 점프
true,11066,파일 합치기
true,11266,단절점
true,11279,최대 힙
true,11399,ATM
true,11403,경로 찾기
true,11404,플로이드
true,11505,구간 곱 구하기
true,11559,Puyo Puyo
true,11648,지속
true,11654,아스키 코드
true,11657,타임머신
true,11658,구간 합 구하기 3
true,11689,"GCD(n, k) = 1"
true,11718,그대로 출력하기
true,11720,숫자의 합
true,11722,가장 긴 감소하는 부분 수열
true,11726,2×n 타일링
true,11727,2×n 타일링 2
true,11758,CCW
true,11866,요세푸스 문제 0
true,11868,님 게임 2
true,11869,님블
true,11942,고려대는 사랑입니다
true,12015,가장 긴 증가하는 부분 수열 2
true,12025,장난꾸러기 영훈
true,12100,2048 (Easy)
true,12101,"1, 2, 3 더하기 2"
true,12761,돌다리
true,12764,싸지방에 간 준하
true,12865,평범한 배낭
true,12869,뮤탈리스크
true,12904,A와 B
true,12906,새로운 하노이 탑
true,12970,AB
true,13325,이진 트리
true,13333,Q-인덱스
true,13335,트럭
true,13398,연속합 2
true,13458,시험 감독
true,13460,구슬 탈출 2
true,13505,두 수 XOR
true,14245,XOR
true,14395,4연산
true,14442,벽 부수고 이동하기 2
true,14499,주사위 굴리기
true,14500,테트로미노
true,14501,퇴사
true,14502,연구소
true,14503,로봇 청소기
true,14600,샤워실 바닥 깔기 (Small)
true,14753,MultiMax
true,14754,Pizza Boxes
true,14888,연산자 끼워넣기
true,14889,스타트와 링크
true,14890,경사로
true,14891,톱니바퀴
true,14918,더하기
true,15552,빠른 A+B
true,15643,Yee
true,15644,구슬 탈출 3
true,15683,감시
true,15684,사다리 조작
true,15685,드래곤 커브
true,15686,치킨 배달
true,15733,나는 누구인가
true,15802,타노스
true,15808,주말 여행 계획
true,15894,수학은 체육과목 입니다
true,15962,새로운 시작
true,15964,이상한 기호
true,16000,섬
true,16120,PPAP
true,16234,인구 이동
true,16235,나무 재테크
true,16236,아기 상어
true,16394,홍익대학교
true,16397,탈출
true,16430,제리와 톰
true,16437,양 구출 작전
true,16637,괄호 추가하기
true,16638,괄호 추가하기 2
true,16916,부분 문자열
true,16929,Two Dots
true,16933,벽 부수고 이동하기 3
true,16959,체스판 여행 1
true,16987,계란으로 계란치기
true,17070,파이프 옮기기 1
true,17071,숨바꼭질 5
true,17072,아스키 아트
true,17135,캐슬 디펜스
true,17136,색종이 붙이기
true,17140,이차원 배열과 연산
true,17142,연구소 3
true,17143,낚시왕
true,17144,미세먼지 안녕!
true,17244,아맞다우산
true,17281,⚾
true,17406,배열 돌리기 4
true,17413,단어 뒤집기 2
true,17471,게리맨더링
true,17472,다리 만들기 2
true,17505,링고와 순열
true,17779,게리맨더링 2
true,17822,원판 돌리기
true,17825,주사위 윷놀이
true,17831,대기업 승범이네
true,17837,새로운 게임 2
true,17842,버스 노선
true,18122,색깔 하노이 탑
true,18783,Swapity Swapity Swap
true,18808,스티커 붙이기
true,18809,Gaaaaaaaaaarden
false,1327,소트 게임
false,1781,컵라면
false,1850,최대공약수
false,2517,달리기
false,2553,마지막 팩토리얼 수
false,8611,팰린드롬 숫자
false,11062,카드 게임
false,11694,님 게임
false,13706,제곱근
false,14748,Flow Graph Complexity
false,14958,Rock Paper Scissors
false,16639,괄호 추가하기 3
false,18500,미네랄 2
