정답여부,문제번호,문제이름
true,1000,A+B
true,1001,A-B
true,1002,터렛
true,1003,피보나치 함수
true,1004,어린 왕자
true,1005,ACM Craft
true,1006,습격자 초라기
true,1008,A/B
true,1009,분산처리
true,1010,다리 놓기
true,1011,Fly me to the Alpha Centauri
true,1012,유기농 배추
true,1015,수열 정렬
true,1018,체스판 다시 칠하기
true,1021,회전하는 큐
true,1022,소용돌이 예쁘게 출력하기
true,1024,수열의 합
true,1026,보물
true,1037,약수
true,1041,주사위
true,1057,토너먼트
true,1065,한수
true,1072,게임
true,1085,직사각형에서 탈출
true,1094,막대기
true,1102,발전소
true,1110,더하기 사이클
true,1111,IQ Test
true,1149,RGB거리
true,1152,단어의 개수
true,1157,단어 공부
true,1158,요세푸스 문제
true,1181,단어 정렬
true,1193,분수찾기
true,1197,최소 스패닝 트리
true,1205,등수 구하기
true,1237,정ㅋ벅ㅋ
true,1249,워드똑똑
true,1256,사전
true,1260,DFS와 BFS
true,1275,커피숍2
true,1309,동물원
true,1316,그룹 단어 체커
true,1330,두 수 비교하기
true,1427,소트인사이드
true,1436,영화감독 숌
true,1460,진욱이의 농장
true,1463,1로 만들기
true,1475,방 번호
true,1476,날짜 계산
true,1484,다이어트
true,1485,정사각형
true,1516,게임 개발
true,1520,내리막 길
true,1535,안녕
true,1546,평균
true,1600,말이 되고픈 원숭이
true,1644,소수의 연속합
true,1652,누울 자리를 찾아라
true,1676,팩토리얼 0의 개수
true,1693,트리 색칠하기
true,1697,숨바꼭질
true,1708,볼록 껍질
true,1712,손익분기점
true,1717,집합의 표현
true,1722,순열의 순서
true,1725,히스토그램
true,1735,분수 합
true,1739,도로 정비하기
true,1747,소수&팰린드롬
true,1749,점수따먹기
true,1753,최단경로
true,1759,암호 만들기
true,1786,찾기
true,1806,부분합
true,1837,암호제작
true,1850,최대공약수
true,1854,K번째 최단경로 찾기
true,1874,스택 수열
true,1890,점프
true,1912,연속합
true,1915,가장 큰 정사각형
true,1920,수 찾기
true,1922,네트워크 연결
true,1924,2007년
true,1929,소수 구하기
true,1931,회의실배정
true,1932,정수 삼각형
true,1934,최소공배수
true,1939,중량제한
true,1946,신입 사원
true,1958,LCS 3
true,1965,상자넣기
true,1966,프린터 큐
true,1967,트리의 지름
true,1978,소수 찾기
true,1987,알파벳
true,1991,트리 순회
true,1992,쿼드트리
true,2003,수들의 합 2
true,2004,조합 0의 개수
true,2014,소수의 곱
true,2042,구간 합 구하기
true,2096,내려가기
true,2098,외판원 순회
true,2108,통계학
true,2116,주사위 쌓기
true,2125,좀
true,2133,타일 채우기
true,2143,두 배열의 합
true,2150,Strongly Connected Component
true,2156,포도주 시식
true,2162,선분 그룹
true,2166,다각형의 면적
true,2167,2차원 배열의 합
true,2178,미로 탐색
true,2193,이친수
true,2201,이친수 찾기
true,2206,벽 부수고 이동하기
true,2207,가위바위보
true,2231,분해합
true,2232,지뢰
true,2240,자두나무
true,2243,사탕상자
true,2251,물통
true,2252,줄 세우기
true,2262,토너먼트 만들기
true,2292,벌집
true,2293,동전 1
true,2294,동전 2
true,2306,유전자
true,2309,일곱 난쟁이
true,2322,아령
true,2342,Dance Dance Revolution
true,2357,최솟값과 최댓값
true,2358,평행선
true,2382,키워드 매칭
true,2399,거리의 합
true,2407,조합
true,2410,2의 멱수의 합
true,2420,사파리월드
true,2433,The Sound of Silence
true,2435,기상청 인턴 신현수
true,2438,별 찍기 - 1
true,2439,별 찍기 - 2
true,2440,별 찍기 - 3
true,2441,별 찍기 - 4
true,2442,별 찍기 - 5
true,2447,별 찍기 - 10
true,2448,별 찍기 - 11
true,2449,전구
true,2455,지능형 기차
true,2458,키 순서
true,2460,지능형 기차 2
true,2463,비용
true,2490,윷놀이
true,2504,괄호의 값
true,2517,달리기
true,2525,오븐 시계
true,2529,부등호
true,2530,인공지능 시계
true,2533,사회망 서비스(SNS)
true,2555,생일 출력하기
true,2556,별 찍기 - 14
true,2557,Hello World
true,2558,A+B - 2
true,2560,짚신벌레
true,2562,최댓값
true,2568,전깃줄 - 2
true,2569,짐정리
true,2576,홀수
true,2577,숫자의 개수
true,2579,계단 오르기
true,2580,스도쿠
true,2581,소수
true,2583,영역 구하기
true,2588,곱셈
true,2606,바이러스
true,2607,비슷한 단어
true,2609,최대공약수와 최소공배수
true,2616,소형기관차
true,2618,경찰차
true,2621,카드게임
true,2644,촌수계산
true,2659,십자카드 문제
true,2662,기업투자
true,2667,단지번호붙이기
true,2668,숫자고르기
true,2670,연속부분최대곱
true,2673,교차하지 않는 원의 현들의 최대집합
true,2675,문자열 반복
true,2691,UPC 바코드 읽기
true,2718,타일 채우기
true,2725,보이는 점의 개수
true,2739,구구단
true,2741,N 찍기
true,2742,기찍 N
true,2743,단어 길이 재기
true,2747,피보나치 수
true,2748,피보나치 수 2
true,2749,피보나치 수 3
true,2750,수 정렬하기
true,2751,수 정렬하기 2
true,2752,세수정렬
true,2753,윤년
true,2775,부녀회장이 될테야
true,2798,블랙잭
true,2800,괄호 제거
true,2805,나무 자르기
true,2824,최대공약수
true,2836,수상 택시
true,2839,설탕 배달
true,2842,집배원 한상덕
true,2853,배
true,2869,달팽이는 올라가고 싶다
true,2884,알람 시계
true,2887,행성 터널
true,2905,홍준이와 울타리
true,2908,상수
true,2920,음계
true,2934,LRH 식물
true,2941,크로아티아 알파벳
true,2960,에라토스테네스의 체
true,2981,검문
true,2986,파스칼
true,3009,네 번째 점
true,3020,개똥벌레
true,3033,가장 긴 문자열
true,3036,링
true,3052,나머지
true,3053,택시 기하학
true,3058,짝수를 찾아라
true,3079,입국심사
true,3090,차이를 최소로
true,3176,도로 네트워크
true,3186,소변기
true,3190,뱀
true,3392,화성 지도
true,3649,로봇 프로젝트
true,3653,영화 수집
true,3679,단순 다각형
true,3830,교수님은 기다리지 않는다
true,3860,할로윈 묘지
true,3878,점 분리
true,3933,라그랑주의 네 제곱수 정리
true,3991,한번 쏘면 멈출 수 없어
true,4101,크냐?
true,4153,직각삼각형
true,4276,0이 몇 개?
true,4344,평균은 넘겠지
true,4458,첫 글자를 대문자로
true,4673,셀프 넘버
true,4929,수열 걷기
true,4948,베르트랑 공준
true,5015,ls
true,5044,코드 절도
true,5052,전화번호 목록
true,5086,배수와 약수
true,5337,웰컴
true,5338,마이크로소프트 로고
true,5339,콜센터
true,5361,전투 드로이드 가격
true,5377,승혁이의 과외돌이네 집 탈출하기
true,5430,AC
true,5475,Miners
true,5485,평균값 수열
true,5496,Utopia Divided
true,5525,IOIOI
true,5557,1학년
true,5568,카드 놓기
true,5569,출근 경로
true,5573,산책
true,5576,콘테스트
true,5582,공통 부분 문자열
true,5586,JOI와 IOI
true,5612,터널의 입구와 출구
true,5622,다이얼
true,5626,제단
true,5639,이진 검색 트리
true,5719,거의 최단 경로
true,5823,코끼리
true,6064,카잉 달력
true,6101,식당
true,6131,완전 제곱수
true,6362,Unimodal Palindromic Decompositions
true,6416,트리인가?
true,6439,교차
true,6588,골드바흐의 추측
true,6591,이항 쇼다운
true,6679,싱기한 네자리 숫자
true,6996,애너그램
true,7287,등록
true,7453,합이 0인 네 정수
true,7512,연속하는 소수의 합
true,7562,나이트의 이동
true,7567,그릇
true,7568,덩치
true,7576,토마토
true,7578,공장
true,7579,앱
true,8320,직사각형을 만드는 방법
true,8393,합
true,8595,히든 넘버
true,8611,팰린드롬 숫자
true,8741,이진수 합
true,8873,미술 시간
true,8958,OX퀴즈
true,8983,사냥꾼
true,9012,괄호
true,9020,골드바흐의 추측
true,9076,점수 집계
true,9085,더하기
true,9095,"1, 2, 3 더하기"
true,9240,로버트 후드
true,9248,Suffix Array
true,9249,최장 공통 부분 문자열
true,9251,LCS
true,9252,LCS 2
true,9325,얼마?
true,9375,패션왕 신해빈
true,9461,파도반 수열
true,9498,시험 성적
true,9610,사분면
true,9653,스타워즈 로고
true,9654,나부 함대 데이터
true,9663,N-Queen
true,9999,구구
true,10026,적록색약
true,10039,평균 점수
true,10090,Counting Inversions
true,10093,숫자
true,10156,과자
true,10159,저울
true,10170,NFC West vs North
true,10171,고양이
true,10172,개
true,10250,ACM 호텔
true,10254,고속도로
true,10255,교차점
true,10430,나머지
true,10438,페리 수열의 합
true,10699,오늘 날짜
true,10714,케이크 자르기 2
true,10718,We love kriii
true,10768,특별한 날
true,10800,컬러볼
true,10804,카드 역배치
true,10809,알파벳 찾기
true,10817,세 수
true,10818,"최소, 최대"
true,10819,차이를 최대로
true,10828,스택
true,10844,쉬운 계단 수
true,10845,큐
true,10866,덱
true,10868,최솟값
true,10869,사칙연산
true,10870,피보나치 수 5
true,10871,X보다 작은 수
true,10872,팩토리얼
true,10889,Ancient symbol
true,10942,팰린드롬?
true,10950,A+B - 3
true,10951,A+B - 4
true,10952,A+B - 5
true,10989,수 정렬하기 3
true,10998,A×B
true,10999,구간 합 구하기 2
true,11003,최솟값 찾기
true,11004,K번째 수
true,11021,A+B - 7
true,11022,A+B - 8
true,11049,행렬 곱셈 순서
true,11050,이항 계수 1
true,11051,이항 계수 2
true,11053,가장 긴 증가하는 부분 수열
true,11055,가장 큰 증가 부분 수열
true,11060,점프 점프
true,11062,카드 게임
true,11066,파일 합치기
true,11266,단절점
true,11280,2-SAT - 3
true,11332,시간초과
true,11375,열혈강호
true,11376,열혈강호 2
true,11400,단절선
true,11401,이항 계수 3
true,11403,경로 찾기
true,11404,플로이드
true,11437,LCA
true,11438,LCA 2
true,11478,서로 다른 부분 문자열의 개수
true,11506,占쏙옙
true,11650,좌표 정렬하기
true,11651,좌표 정렬하기 2
true,11653,소인수분해
true,11654,아스키 코드
true,11658,구간 합 구하기 3
true,11659,구간 합 구하기 4
true,11660,구간 합 구하기 5
true,11687,팩토리얼 0의 개수
true,11718,그대로 출력하기
true,11719,그대로 출력하기 2
true,11720,숫자의 합
true,11721,열 개씩 끊어 출력하기
true,11723,집합
true,11724,연결 요소의 개수
true,11726,2×n 타일링
true,11729,하노이 탑 이동 순서
true,11758,CCW
true,11861,Maximal Area
true,11866,요세푸스 문제 0
true,11942,고려대는 사랑입니다
true,12096,
true,12117,Costly Binary Search (Small)
true,12118,Costly Binary Search (Large)
true,12119,Campinatorics (Small)
true,12120,Campinatorics (Large)
true,12429,생존자 (Small)
true,12430,생존자 (Large)
true,12662,Juice (Large)
true,13131,HicCup
true,13241,최소공배수
true,13251,조약돌 꺼내기
true,13277,큰 수 곱셈
true,13460,구슬 탈출 2
true,14003,가장 긴 증가하는 부분 수열 5
true,14388,Fractiles (Large)
true,14437,준오는 심술쟁이!!
true,14443,채점 소수 번호
true,14645,와이버스 부릉부릉
true,14681,사분면 고르기
true,15552,빠른 A+B
true,15596,정수 N개의 합
true,15649,N과 M (1)
true,15650,N과 M (2)
true,15651,N과 M (3)
true,15652,N과 M (4)
true,15678,연세워터파크
false,1016,제곱 ㄴㄴ 수
false,1103,게임
false,1219,오민식의 고민
false,1626,두 번째로 작은 스패닝 트리
false,2076,2차원 벡터
false,2307,도로검문
false,2417,정수 제곱근
false,2486,그레이 코드
false,2532,먹이사슬
false,2671,잠수함식별
false,2904,수학은 너무 쉬워
false,3770,대한민국
false,3955,캔디 분배
false,4196,도미노
false,4354,문자열 제곱
false,6116,케이크
false,7770,아즈텍 피라미드
false,9318,위성 사진
false,10566,도장 도장
false,11377,열혈강호 3
false,11657,타임머신
false,12792,주작 주 주작
false,14367,Fashion Police (Small)
false,14368,Fashion Police (Large)
