정답여부,문제번호,문제이름
true,1000,A+B
true,1001,A-B
true,1002,터렛
true,1003,피보나치 함수
true,1004,어린 왕자
true,1008,A/B
true,1010,다리 놓기
true,1012,유기농 배추
true,1024,수열의 합
true,1026,보물
true,1051,숫자 정사각형
true,1065,한수
true,1068,트리
true,1085,직사각형에서 탈출
true,1100,하얀 칸
true,1106,호텔
true,1107,리모컨
true,1110,더하기 사이클
true,1120,문자열
true,1138,한 줄로 서기
true,1149,RGB거리
true,1152,단어의 개수
true,1157,단어 공부
true,1158,요세푸스 문제
true,1167,트리의 지름
true,1181,단어 정렬
true,1182,부분수열의 합
true,1189,컴백홈
true,1193,분수찾기
true,1213,팰린드롬 만들기
true,1219,오민식의 고민
true,1237,정ㅋ벅ㅋ
true,1254,팰린드롬 만들기
true,1260,DFS와 BFS
true,1269,대칭 차집합
true,1302,베스트셀러
true,1303,전쟁 - 전투
true,1309,동물원
true,1316,그룹 단어 체커
true,1325,효율적인 해킹
true,1327,소트 게임
true,1330,두 수 비교하기
true,1339,단어 수학
true,1377,버블 소트
true,1389,케빈 베이컨의 6단계 법칙
true,1406,에디터
true,1427,소트인사이드
true,1436,영화감독 숌
true,1439,뒤집기
true,1463,1로 만들기
true,1475,방 번호
true,1497,기타콘서트
true,1520,내리막 길
true,1527,금민수의 개수
true,1535,안녕
true,1541,잃어버린 괄호
true,1546,평균
true,1600,말이 되고픈 원숭이
true,1620,나는야 포켓몬 마스터 이다솜
true,1655,가운데를 말해요
true,1660,캡틴 이다솜
true,1676,팩토리얼 0의 개수
true,1697,숨바꼭질
true,1699,제곱수의 합
true,1712,손익분기점
true,1743,음식물 피하기
true,1747,소수&팰린드롬
true,1748,수 이어 쓰기 1
true,1753,최단경로
true,1759,암호 만들기
true,1764,듣보잡
true,1788,피보나치 수의 확장
true,1789,수들의 합
true,1790,수 이어 쓰기 2
true,1793,타일링
true,1850,최대공약수
true,1874,스택 수열
true,1890,점프
true,1904,01타일
true,1912,연속합
true,1915,가장 큰 정사각형
true,1916,최소비용 구하기
true,1920,수 찾기
true,1924,2007년
true,1926,그림
true,1927,최소 힙
true,1929,소수 구하기
true,1932,정수 삼각형
true,1963,소수 경로
true,1965,상자넣기
true,1967,트리의 지름
true,1977,완전제곱수
true,1978,소수 찾기
true,1987,알파벳
true,2004,조합 0의 개수
true,2010,플러그
true,2011,암호코드
true,2075,N번째 큰 수
true,2108,통계학
true,2110,공유기 설치
true,2133,타일 채우기
true,2156,포도주 시식
true,2163,초콜릿 자르기
true,2164,카드2
true,2167,2차원 배열의 합
true,2170,선 긋기
true,2178,미로 탐색
true,2193,이친수
true,2206,벽 부수고 이동하기
true,2210,숫자판 점프
true,2217,로프
true,2225,합분해
true,2226,이진수
true,2229,조 짜기
true,2231,분해합
true,2234,성곽
true,2251,물통
true,2292,벌집
true,2293,동전 1
true,2294,동전 2
true,2302,극장 좌석
true,2309,일곱 난쟁이
true,2346,풍선 터뜨리기
true,2407,조합
true,2435,기상청 인턴 신현수
true,2438,별 찍기 - 1
true,2439,별 찍기 - 2
true,2440,별 찍기 - 3
true,2441,별 찍기 - 4
true,2455,지능형 기차
true,2458,키 순서
true,2468,안전 영역
true,2482,색상환
true,2491,수열
true,2502,떡 먹는 호랑이
true,2512,예산
true,2529,부등호
true,2553,마지막 팩토리얼 수
true,2557,Hello World
true,2558,A+B - 2
true,2559,수열
true,2562,최댓값
true,2563,색종이
true,2565,전깃줄
true,2573,빙산
true,2577,숫자의 개수
true,2579,계단 오르기
true,2581,소수
true,2583,영역 구하기
true,2588,곱셈
true,2589,보물섬
true,2591,숫자카드
true,2606,바이러스
true,2609,최대공약수와 최소공배수
true,2611,자동차경주
true,2615,오목
true,2631,줄세우기
true,2636,치즈
true,2644,촌수계산
true,2667,단지번호붙이기
true,2668,숫자고르기
true,2670,연속부분최대곱
true,2675,문자열 반복
true,2688,줄어들지 않아
true,2698,인접한 비트의 개수
true,2739,구구단
true,2741,N 찍기
true,2742,기찍 N
true,2748,피보나치 수 2
true,2750,수 정렬하기
true,2751,수 정렬하기 2
true,2752,세수정렬
true,2753,윤년
true,2775,부녀회장이 될테야
true,2798,블랙잭
true,2805,나무 자르기
true,2810,컵홀더
true,2812,크게 만들기
true,2839,설탕 배달
true,2847,게임을 만든 동준이
true,2869,달팽이는 올라가고 싶다
true,2875,대회 or 인턴
true,2884,알람 시계
true,2908,상수
true,2910,빈도 정렬
true,2920,음계
true,2941,크로아티아 알파벳
true,2960,에라토스테네스의 체
true,3009,네 번째 점
true,3020,개똥벌레
true,3024,마라톤 틱택토
true,3036,링
true,3047,ABC
true,3052,나머지
true,3053,택시 기하학
true,3055,탈출
true,3184,양
true,3190,뱀
true,3663,고득점
true,4153,직각삼각형
true,4344,평균은 넘겠지
true,4485,녹색 옷 입은 애가 젤다지?
true,4620,Pascal's Travels
true,4673,셀프 넘버
true,4796,캠핑
true,4883,삼각 그래프
true,4948,베르트랑 공준
true,4949,균형잡힌 세상
true,4963,섬의 개수
true,4991,로봇 청소기
true,5014,스타트링크
true,5052,전화번호 목록
true,5086,배수와 약수
true,5567,결혼식
true,5585,거스름돈
true,5586,JOI와 IOI
true,5622,다이얼
true,5639,이진 검색 트리
true,5972,택배 배송
true,6087,레이저 통신
true,6118,숨바꼭질
true,6603,로또
true,7287,등록
true,7562,나이트의 이동
true,7568,덩치
true,7576,토마토
true,7785,회사에 있는 사람
true,8393,합
true,8394,악수
true,8958,OX퀴즈
true,9012,괄호
true,9020,골드바흐의 추측
true,9084,동전
true,9093,단어 뒤집기
true,9095,"1, 2, 3 더하기"
true,9184,신나는 함수 실행
true,9251,LCS
true,9372,상근이의 여행
true,9375,패션왕 신해빈
true,9461,파도반 수열
true,9465,스티커
true,9498,시험 성적
true,9507,Generations of Tribbles
true,9655,돌 게임
true,9656,돌 게임 2
true,9657,돌 게임 3
true,9658,돌 게임 4
true,9663,N-Queen
true,9934,완전 이진 트리
true,10026,적록색약
true,10039,평균 점수
true,10164,격자상의 경로
true,10171,고양이
true,10172,개
true,10211,Maximum Subarray
true,10250,ACM 호텔
true,10430,나머지
true,10434,행복한 소수
true,10451,순열 사이클
true,10546,배부른 마라토너
true,10610,30
true,10703,유성
true,10718,We love kriii
true,10773,제로
true,10798,세로읽기
true,10799,쇠막대기
true,10809,알파벳 찾기
true,10814,나이순 정렬
true,10815,숫자 카드
true,10816,숫자 카드 2
true,10817,세 수
true,10818,"최소, 최대"
true,10819,차이를 최대로
true,10820,문자열 분석
true,10824,네 수
true,10826,피보나치 수 4
true,10828,스택
true,10836,여왕벌
true,10845,큐
true,10867,중복 빼고 정렬하기
true,10869,사칙연산
true,10870,피보나치 수 5
true,10871,X보다 작은 수
true,10872,팩토리얼
true,10886,0 = not cute / 1 = cute
true,10917,Your life
true,10950,A+B - 3
true,10951,A+B - 4
true,10952,A+B - 5
true,10972,다음 순열
true,10973,이전 순열
true,10974,모든 순열
true,10989,수 정렬하기 3
true,10998,A×B
true,11021,A+B - 7
true,11022,A+B - 8
true,11047,동전 0
true,11048,이동하기
true,11050,이항 계수 1
true,11051,이항 계수 2
true,11052,카드 구매하기
true,11053,가장 긴 증가하는 부분 수열
true,11054,가장 긴 바이토닉 부분 수열
true,11055,가장 큰 증가 부분 수열
true,11057,오르막 수
true,11058,크리보드
true,11060,점프 점프
true,11123,양 한마리... 양 두마리...
true,11279,최대 힙
true,11286,절댓값 힙
true,11365,!밀비 급일
true,11399,ATM
true,11403,경로 찾기
true,11404,플로이드
true,11441,합 구하기
true,11565,바이너리 게임
true,11650,좌표 정렬하기
true,11651,좌표 정렬하기 2
true,11652,카드
true,11653,소인수분해
true,11654,아스키 코드
true,11656,접미사 배열
true,11657,타임머신
true,11658,구간 합 구하기 3
true,11659,구간 합 구하기 4
true,11660,구간 합 구하기 5
true,11718,그대로 출력하기
true,11719,그대로 출력하기 2
true,11720,숫자의 합
true,11721,열 개씩 끊어 출력하기
true,11722,가장 긴 감소하는 부분 수열
true,11724,연결 요소의 개수
true,11725,트리의 부모 찾기
true,11726,2×n 타일링
true,11727,2×n 타일링 2
true,11866,요세푸스 문제 0
true,12761,돌다리
true,12851,숨바꼭질 2
true,12852,1로 만들기 2
true,12865,평범한 배낭
true,12869,뮤탈리스크
true,13023,ABCDE
true,13241,최소공배수
true,13398,연속합 2
true,13549,숨바꼭질 3
true,13565,침투
true,13699,점화식
true,13908,비밀번호
true,13913,숨바꼭질 4
true,14002,가장 긴 증가하는 부분 수열 4
true,14225,부분수열의 합
true,14226,이모티콘
true,14241,슬라임 합치기
true,14248,점프 점프
true,14430,자원 캐기
true,14495,피보나치 비스무리한 수열
true,14500,테트로미노
true,14501,퇴사
true,14502,연구소
true,14606,피자 (Small)
true,14716,현수막
true,14888,연산자 끼워넣기
true,14916,거스름돈
true,14940,쉬운 최단거리
true,15242,Knight
true,15483,최소 편집
true,15486,퇴사 2
true,15552,빠른 A+B
true,15596,정수 N개의 합
true,15649,N과 M (1)
true,15650,N과 M (2)
true,15651,N과 M (3)
true,15652,N과 M (4)
true,15654,N과 M (5)
true,15655,N과 M (6)
true,15656,N과 M (7)
true,15657,N과 M (8)
true,15658,연산자 끼워넣기 (2)
true,15663,N과 M (9)
true,15664,N과 M (10)
true,15665,N과 M (11)
true,15666,N과 M (12)
true,15683,감시
true,15724,주지수
true,15965,K번째 소수
true,15988,"1, 2, 3 더하기 3"
true,15990,"1, 2, 3 더하기 5"
true,16165,걸그룹 마스터 준석이
true,16194,카드 구매하기 2
true,16197,두 동전
true,16198,에너지 모으기
true,16236,아기 상어
true,16507,어두운 건 무서워
true,16940,BFS 스페셜 저지
true,16943,숫자 재배치
true,16948,데스 나이트
true,16953,A → B
true,16964,DFS 스페셜 저지
true,17086,아기 상어 2
true,17087,숨바꼭질 6
true,17135,캐슬 디펜스
true,17175,피보나치는 지겨웡~
true,17206,준석이의 수학 숙제
true,17212,달나라 토끼를 위한 구매대금 지불 도우미
true,17245,서버실
true,17391,무한부스터
true,18245,이상한 나라의 암호
true,18258,큐 2
true,18352,특정 거리의 도시 찾기
true,18353,병사 배치하기
true,18404,현명한 나이트
false,1005,ACM Craft
false,1300,K번째 수
false,1566,P배열
false,1722,순열의 순서
false,1865,웜홀
false,2240,자두나무
false,2655,가장높은탑쌓기
false,2957,이진 탐색 트리
false,2981,검문
false,9466,텀 프로젝트
false,9935,문자열 폭발
false,14629,숫자 조각
false,16500,문자열 판별
false,16909,카드 구매하기 3
false,18241,문자열 게임
false,18405,경쟁적 전염
