정답여부,문제번호,문제이름
true,1000,A+B
true,1005,ACM Craft
true,1008,A/B
true,1012,유기농 배추
true,1026,보물
true,1051,숫자 정사각형
true,1065,한수
true,1080,행렬
true,1085,직사각형에서 탈출
true,1094,막대기
true,1100,하얀 칸
true,1110,더하기 사이클
true,1120,문자열
true,1149,RGB거리
true,1157,단어 공부
true,1159,농구 경기
true,1173,운동
true,1182,부분수열의 합
true,1197,최소 스패닝 트리
true,1212,8진수 2진수
true,1225,이상한 곱셈
true,1238,파티
true,1244,스위치 켜고 끄기
true,1260,DFS와 BFS
true,1261,알고스팟
true,1267,핸드폰 요금
true,1275,커피숍2
true,1309,동물원
true,1316,그룹 단어 체커
true,1325,효율적인 해킹
true,1330,두 수 비교하기
true,1342,행운의 문자열
true,1347,미로 만들기
true,1356,유진수
true,1357,뒤집힌 덧셈
true,1373,2진수 8진수
true,1389,케빈 베이컨의 6단계 법칙
true,1406,에디터
true,1408,24
true,1427,소트인사이드
true,1431,시리얼 번호
true,1453,피시방 알바
true,1463,1로 만들기
true,1500,최대 곱
true,1504,특정한 최단 경로
true,1526,가장 큰 금민수
true,1527,금민수의 개수
true,1531,투명
true,1535,안녕
true,1547,공
true,1550,16진수
true,1551,수열의 변화
true,1598,꼬리를 무는 숫자 나열
true,1600,말이 되고픈 원숭이
true,1647,도시 분할 계획
true,1676,팩토리얼 0의 개수
true,1681,줄 세우기
true,1707,이분 그래프
true,1717,집합의 표현
true,1718,암호
true,1722,순열의 순서
true,1731,추론
true,1747,소수&팰린드롬
true,1748,수 이어 쓰기 1
true,1753,최단경로
true,1759,암호 만들기
true,1764,듣보잡
true,1822,차집합
true,1850,최대공약수
true,1855,암호
true,1871,좋은 자동차 번호판
true,1890,점프
true,1912,연속합
true,1916,최소비용 구하기
true,1919,애너그램 만들기
true,1920,수 찾기
true,1922,네트워크 연결
true,1924,2007년
true,1926,그림
true,1927,최소 힙
true,1932,정수 삼각형
true,1940,주몽
true,1953,팀배분
true,1965,상자넣기
true,1967,트리의 지름
true,1969,DNA
true,1976,여행 가자
true,1977,완전제곱수
true,1987,알파벳
true,1991,트리 순회
true,1996,지뢰 찾기
true,2003,수들의 합 2
