정답여부,문제번호,문제이름
true,1000,A+B
true,1001,A-B
true,1002,터렛
true,1003,피보나치 함수
true,1005,ACM Craft
true,1008,A/B
true,1010,다리 놓기
true,1011,Fly me to the Alpha Centauri
true,1012,유기농 배추
true,1019,책 페이지
true,1022,소용돌이 예쁘게 출력하기
true,1026,보물
true,1032,명령 프롬프트
true,1038,감소하는 수
true,1039,교환
true,1043,거짓말
true,1058,친구
true,1062,가르침
true,1065,한수
true,1068,트리
true,1074,Z
true,1086,박성원
true,1102,발전소
true,1103,게임
true,1107,리모컨
true,1109,섬
true,1110,더하기 사이클
true,1114,통나무 자르기
true,1135,뉴스 전하기
true,1149,RGB거리
true,1152,단어의 개수
true,1157,단어 공부
true,1158,요세푸스 문제
true,1167,트리의 지름
true,1175,배달
true,1182,부분수열의 합
true,1188,음식 평론가
true,1194,"달이 차오른다, 가자."
true,1197,최소 스패닝 트리
true,1202,보석 도둑
true,1205,등수 구하기
true,1213,팰린드롬 만들기
true,1222,홍준 프로그래밍 대회
true,1238,파티
true,1253,좋다
true,1256,사전
true,1259,팰린드롬수
true,1260,DFS와 BFS
true,1298,노트북의 주인을 찾아서
true,1305,광고
true,1306,달려라 홍준
true,1309,동물원
true,1321,군인
true,1330,두 수 비교하기
true,1339,단어 수학
true,1365,꼬인 전깃줄
true,1389,케빈 베이컨의 6단계 법칙
true,1393,음하철도 구구팔
true,1405,미친 로봇
true,1463,1로 만들기
true,1486,등산
true,1504,특정한 최단 경로
true,1507,궁금한 민호
true,1516,게임 개발
true,1517,버블 소트
true,1520,내리막 길
true,1525,퍼즐
true,1541,잃어버린 괄호
true,1562,계단 수
true,1572,중앙값
true,1577,도로의 개수
true,1602,도망자 원숭이
true,1620,나는야 포켓몬 마스터 이다솜
true,1629,곱셈
true,1647,도시 분할 계획
true,1655,가운데를 말해요
true,1670,정상 회담 2
true,1695,팰린드롬 만들기
true,1697,숨바꼭질
true,1699,제곱수의 합
true,1700,멀티탭 스케줄링
true,1701,Cubeditor
true,1707,이분 그래프
true,1708,볼록 껍질
true,1715,카드 정렬하기
true,1717,집합의 표현
true,1725,히스토그램
true,1726,로봇
true,1744,수 묶기
true,1748,수 이어 쓰기 1
true,1753,최단경로
true,1759,암호 만들기
true,1761,정점들의 거리
true,1764,듣보잡
true,1766,문제집
true,1780,종이의 개수
true,1786,찾기
true,1806,부분합
true,1816,암호 키
true,1865,웜홀
true,1866,택배
true,1874,스택 수열
true,1890,점프
true,1904,01타일
true,1912,연속합
true,1913,달팽이
true,1915,가장 큰 정사각형
true,1918,후위 표기식
true,1920,수 찾기
true,1922,네트워크 연결
true,1924,2007년
true,1927,최소 힙
true,1931,회의실배정
true,1932,정수 삼각형
true,1937,욕심쟁이 판다
true,1948,임계경로
true,1958,LCS 3
true,1965,상자넣기
true,1966,프린터 큐
true,1967,트리의 지름
true,1976,여행 가자
true,1978,소수 찾기
true,1987,알파벳
true,1991,트리 순회
true,1992,쿼드트리
true,2002,추월
true,2004,조합 0의 개수
true,2011,암호코드
true,2042,구간 합 구하기
true,2056,작업
true,2096,내려가기
true,2098,외판원 순회
true,2108,통계학
true,2132,나무 위의 벌레
true,2133,타일 채우기
true,2150,Strongly Connected Component
true,2156,포도주 시식
true,2163,초콜릿 자르기
true,2166,다각형의 면적
true,2167,2차원 배열의 합
true,2170,선 긋기
true,2174,로봇 시뮬레이션
true,2188,축사 배정
true,2193,이친수
true,2206,벽 부수고 이동하기
true,2210,숫자판 점프
true,2211,네트워크 복구
true,2225,합분해
true,2231,분해합
true,2234,성곽
true,2239,스도쿠
true,2252,줄 세우기
true,2261,가장 가까운 두 점
true,2263,트리의 순회
true,2293,동전 1
true,2294,동전 2
true,2302,극장 좌석
true,2309,일곱 난쟁이
true,2339,석판 자르기
true,2343,기타 레슨
true,2352,반도체 설계
true,2357,최솟값과 최댓값
true,2381,최대 거리
true,2437,저울
true,2439,별 찍기 - 2
true,2446,별 찍기 - 9
true,2447,별 찍기 - 10
true,2449,전구
true,2455,지능형 기차
true,2463,비용
true,2473,세 용액
true,2482,색상환
true,2492,보석
true,2514,자동분무기
true,2529,부등호
true,2533,사회망 서비스(SNS)
true,2536,버스 갈아타기
true,2549,루빅의 사각형
true,2557,Hello World
true,2565,전깃줄
true,2568,전깃줄 - 2
true,2579,계단 오르기
true,2580,스도쿠
true,2588,곱셈
true,2590,색종이
true,2591,숫자카드
true,2593,엘리베이터
true,2594,놀이공원
true,2605,줄 세우기
true,2606,바이러스
true,2607,비슷한 단어
true,2608,로마 숫자
true,2609,최대공약수와 최소공배수
true,2610,회의준비
true,2611,자동차경주
true,2612,DNA 유사도
true,2613,숫자구슬
true,2623,음악프로그램
true,2629,양팔저울
true,2630,색종이 만들기
true,2631,줄세우기
true,2661,좋은수열
true,2667,단지번호붙이기
true,2668,숫자고르기
true,2688,줄어들지 않아
true,2696,중앙값 구하기
true,2739,구구단
true,2747,피보나치 수
true,2748,피보나치 수 2
true,2749,피보나치 수 3
true,2750,수 정렬하기
true,2751,수 정렬하기 2
true,2753,윤년
true,2798,블랙잭
true,2812,크게 만들기
true,2828,사과 담기 게임
true,2839,설탕 배달
true,2869,달팽이는 올라가고 싶다
true,2884,알람 시계
true,2910,빈도 정렬
true,2933,미네랄
true,2941,크로아티아 알파벳
true,2986,파스칼
true,3015,오아시스 재결합
true,3033,가장 긴 문자열
true,3053,택시 기하학
true,3085,사탕 게임
true,3111,검열
true,3117,YouTube
true,3197,백조의 호수
true,3653,영화 수집
true,3665,최종 순위
true,3693,컨테이너
true,3745,오름세
true,3770,대한민국
true,3780,네트워크 연결
true,3830,교수님은 기다리지 않는다
true,3954,Brainf**k 인터프리터
true,3980,선발 명단
true,3985,롤 케이크
true,4195,친구 네트워크
true,4198,열차정렬
true,4276,0이 몇 개?
true,4307,개미
true,4342,유클리드 게임
true,4358,생태학
true,4485,녹색 옷 입은 애가 젤다지?
true,4811,알약
true,4913,페르마의 크리스마스 정리
true,4963,섬의 개수
true,5014,스타트링크
true,5052,전화번호 목록
true,5116,Water?
true,5214,환승
true,5430,AC
true,5525,IOIOI
true,5557,1학년
true,5558,チーズ
true,5567,결혼식
true,5582,공통 부분 문자열
true,5598,카이사르 암호
true,5620,가장 가까운 두 점의 거리
true,5666,Hot Dogs
true,5719,거의 최단 경로
true,5766,할아버지는 유명해!
true,6064,카잉 달력
true,6086,최대 유량
true,6118,숨바꼭질
true,6359,만취한 상범
true,6523,요세푸스 한 번 더!
true,6549,히스토그램에서 가장 큰 직사각형
true,6588,골드바흐의 추측
true,6603,로또
true,6850,Cows
true,7287,등록
true,7453,합이 0인 네 정수
true,7569,토마토
true,7578,공장
true,7579,앱
true,8983,사냥꾼
true,9019,DSLR
true,9046,복호화
true,9095,"1, 2, 3 더하기"
true,9205,맥주 마시면서 걸어가기
true,9250,문자열 집합 판별
true,9251,LCS
true,9252,LCS 2
true,9328,열쇠
true,9376,탈옥
true,9461,파도반 수열
true,9465,스티커
true,9498,시험 성적
true,9517,아이 러브 크로아티아
true,9576,책 나눠주기
true,9655,돌 게임
true,9663,N-Queen
true,9935,문자열 폭발
true,10171,고양이
true,10172,개
true,10430,나머지
true,10451,순열 사이클
true,10610,30
true,10718,We love kriii
true,10775,공항
true,10809,알파벳 찾기
true,10814,나이순 정렬
true,10815,숫자 카드
true,10816,숫자 카드 2
true,10817,세 수
true,10825,국영수
true,10826,피보나치 수 4
true,10828,스택
true,10830,행렬 제곱
true,10835,카드게임
true,10836,여왕벌
true,10837,동전 게임
true,10838,트리
true,10840,구간 성분
true,10844,쉬운 계단 수
true,10845,큐
true,10868,최솟값
true,10869,사칙연산
true,10871,X보다 작은 수
true,10872,팩토리얼
true,10875,뱀
true,10881,프로도의 선물 포장
true,10885,수열의 장인
true,10942,팰린드롬?
true,10950,A+B - 3
true,10951,A+B - 4
true,10952,A+B - 5
true,10989,수 정렬하기 3
true,10998,A×B
true,10999,구간 합 구하기 2
true,11003,최솟값 찾기
true,11047,동전 0
true,11048,이동하기
true,11049,행렬 곱셈 순서
true,11051,이항 계수 2
true,11052,카드 구매하기
true,11053,가장 긴 증가하는 부분 수열
true,11054,가장 긴 바이토닉 부분 수열
true,11055,가장 큰 증가 부분 수열
true,11057,오르막 수
true,11062,카드 게임
true,11066,파일 합치기
true,11266,단절점
true,11279,최대 힙
true,11286,절댓값 힙
true,11375,열혈강호
true,11399,ATM
true,11401,이항 계수 3
true,11404,플로이드
true,11505,구간 곱 구하기
true,11563,연돌이와 고잠녀
true,11651,좌표 정렬하기 2
true,11654,아스키 코드
true,11657,타임머신
true,11659,구간 합 구하기 4
true,11660,구간 합 구하기 5
true,11722,가장 긴 감소하는 부분 수열
true,11723,집합
true,11726,2×n 타일링
true,11727,2×n 타일링 2
true,11729,하노이 탑 이동 순서
true,11779,최소비용 구하기 2
true,12015,가장 긴 증가하는 부분 수열 2
true,12100,2048 (Easy)
true,12728,n제곱 계산
true,12738,가장 긴 증가하는 부분 수열 3
true,12844,XOR
true,12851,숨바꼭질 2
true,12852,1로 만들기 2
true,12865,평범한 배낭
true,13252,카지노
true,13302,리조트
true,13306,트리
true,13334,철로
true,13397,구간 나누기 2
true,13398,연속합 2
true,13418,학교 탐방하기
true,13460,구슬 탈출 2
true,13537,수열과 쿼리 1
true,13549,숨바꼭질 3
true,13913,숨바꼭질 4
true,13977,이항 계수와 쿼리
true,14002,가장 긴 증가하는 부분 수열 4
true,14003,가장 긴 증가하는 부분 수열 5
true,14226,이모티콘
true,14256,SSR
true,14267,내리 칭찬
true,14425,문자열 집합
true,14427,수열과 쿼리 15
true,14428,수열과 쿼리 16
true,14466,소가 길을 건너간 이유 6
true,14499,주사위 굴리기
true,14500,테트로미노
true,14501,퇴사
true,14502,연구소
true,14503,로봇 청소기
true,14565,역원(Inverse) 구하기
true,14681,사분면 고르기
true,14725,개미굴
true,14740,Highway Track
true,14888,연산자 끼워넣기
true,14889,스타트와 링크
true,14890,경사로
true,14891,톱니바퀴
true,14920,3n+1 수열
true,15106,Fear Factoring
true,15596,정수 N개의 합
true,15652,N과 M (4)
true,15683,감시
true,15685,드래곤 커브
true,15686,치킨 배달
true,15712,등비수열
true,15802,타노스
true,15803,PLAYERJINAH’S BOTTLEGROUNDS
true,15804,저거 못 타면 지각이야!!
true,15805,트리 나라 관광 가이드
true,15806,영우의 기숙사 청소
true,15808,주말 여행 계획
true,15809,전국시대
true,15810,풍선 공장
true,15811,복면산?!
true,15812,침략자 진아
true,15813,너의 이름은 몇 점이니?
true,15814,야바위 대장
true,15815,천재 수학자 성필
true,15816,퀘스트 중인 모험가
true,15817,배수 공사
true,15890,전국 대학생 프로그래밍 대회 동아리 연합 여름 대회 2018
true,15892,사탕 줍는 로봇
true,15894,수학은 체육과목 입니다
true,15897,잘못 구현한 에라토스테네스의 체
true,15898,피아의 아틀리에 ~신비한 대회의 연금술사~
true,15899,트리와 색깔
true,15900,나무 탈출
true,15903,카드 합체 놀이
true,15904,UCPC는 무엇의 약자일까?
true,15953,상금 헌터
true,15954,인형들
true,15971,두 로봇
true,15998,카카오머니
true,15999,뒤집기
true,16287,Parcel
true,16402,제국
true,16404,주식회사 승범이네
true,16440,제이크와 케이크
true,16461,듀얼 채널 VHF 무전기
true,16464,가주아
true,16465,Bookend
true,16470,A Homogeneous Country
true,16471,작은 수 내기
true,16472,고냥이
true,16561,3의 배수
true,16562,친구비
true,16563,어려운 소인수분해
true,16564,히오스 프로게이머
true,16566,카드 게임
true,16567,바이너리 왕국
true,16568,엔비스카의 영혼
true,16571,알파 틱택토
true,16639,괄호 추가하기 3
true,16946,벽 부수고 이동하기 4
true,16953,A → B
true,16954,움직이는 미로 탈출
true,17070,파이프 옮기기 1
true,17103,골드바흐 파티션
true,17135,캐슬 디펜스
true,17136,색종이 붙이기
true,17143,낚시왕
true,17234,Scoring Hack
true,17249,태보태보 총난타
true,17250,은하철도
true,17251,힘 겨루기
true,17267,상남자
true,17298,오큰수
true,17362,수학은 체육과목 입니다 2
true,17367,공교육 도박
true,17370,육각형 우리 속의 개미
true,17371,이사
true,17413,단어 뒤집기 2
true,17435,합성함수와 쿼리
true,17450,과자 사기
true,17451,평행 우주
true,17452,Christmalo.win
true,17453,두 개의 문
true,17480,개구쟁이 준석이
true,17487,타자 연습
true,17488,수강 바구니
true,17489,보물 찾기
true,17549,Hexagonal Rooks
true,17659,Cap Size
true,17660,First-Name Basis
true,17661,Mangling Names
true,17662,GPA
true,17826,나의 학점은?
true,17827,달팽이 리스트
true,17828,문자열 화폐
true,17829,222-풀링
