정답여부,문제번호,문제이름
true,1000,A+B
true,1001,A-B
true,1002,터렛
true,1008,A/B
true,1012,유기농 배추
true,1026,보물
true,1037,약수
true,1062,가르침
true,1065,한수
true,1085,직사각형에서 탈출
true,1100,하얀 칸
true,1107,리모컨
true,1110,더하기 사이클
true,1145,적어도 대부분의 배수
true,1152,단어의 개수
true,1157,단어 공부
true,1181,단어 정렬
true,1182,부분수열의 합
true,1193,분수찾기
true,1208,부분수열의 합 2
true,1212,8진수 2진수
true,1237,정ㅋ벅ㅋ
true,1248,맞춰봐
true,1254,팰린드롬 만들기
true,1259,팰린드롬수
true,1260,DFS와 BFS
true,1261,알고스팟
true,1292,쉽게 푸는 문제
true,1316,그룹 단어 체커
true,1330,두 수 비교하기
true,1339,단어 수학
true,1373,2진수 8진수
true,1389,케빈 베이컨의 6단계 법칙
true,1427,소트인사이드
true,1463,1로 만들기
true,1476,날짜 계산
true,1525,퍼즐
true,1526,가장 큰 금민수
true,1535,안녕
true,1546,평균
true,1550,16진수
true,1568,새
true,1600,말이 되고픈 원숭이
true,1644,소수의 연속합
true,1697,숨바꼭질
true,1699,제곱수의 합
true,1712,손익분기점
true,1748,수 이어 쓰기 1
true,1759,암호 만들기
true,1764,듣보잡
true,1806,부분합
true,1890,점프
true,1904,01타일
true,1912,연속합
true,1913,달팽이
true,1920,수 찾기
true,1924,2007년
true,1929,소수 구하기
true,1932,정수 삼각형
true,1934,최소공배수
true,1937,욕심쟁이 판다
true,1940,주몽
true,1949,우수 마을
true,1952,달팽이2
true,1977,완전제곱수
true,1978,소수 찾기
true,1987,알파벳
true,2003,수들의 합 2
true,2010,플러그
true,2018,수들의 합 5
true,2023,신기한 소수
true,2083,럭비 클럽
true,2133,타일 채우기
true,2143,두 배열의 합
true,2146,다리 만들기
true,2156,포도주 시식
true,2163,초콜릿 자르기
true,2164,카드2
true,2167,2차원 배열의 합
true,2178,미로 탐색
true,2193,이친수
true,2206,벽 부수고 이동하기
true,2217,로프
true,2225,합분해
true,2231,분해합
true,2251,물통
true,2292,벌집
true,2293,동전 1
true,2294,동전 2
true,2309,일곱 난쟁이
true,2438,별 찍기 - 1
true,2439,별 찍기 - 2
true,2440,별 찍기 - 3
true,2441,별 찍기 - 4
true,2442,별 찍기 - 5
true,2443,별 찍기 - 6
true,2444,별 찍기 - 7
true,2445,별 찍기 - 8
true,2446,별 찍기 - 9
true,2455,지능형 기차
true,2468,안전 영역
true,2475,검증수
true,2476,주사위 게임
true,2480,주사위 세개
true,2484,주사위 네개
true,2490,윷놀이
true,2491,수열
true,2495,연속구간
true,2501,약수 구하기
true,2506,점수계산
true,2522,별 찍기 - 12
true,2523,별 찍기 - 13
true,2525,오븐 시계
true,2529,부등호
true,2556,별 찍기 - 14
true,2557,Hello World
true,2558,A+B - 2
true,2562,최댓값
true,2566,최댓값
true,2576,홀수
true,2577,숫자의 개수
true,2578,빙고
true,2579,계단 오르기
true,2580,스도쿠
true,2581,소수
true,2583,영역 구하기
true,2587,대표값2
true,2588,곱셈
true,2589,보물섬
true,2592,대표값
true,2606,바이러스
true,2609,최대공약수와 최소공배수
true,2644,촌수계산
true,2665,미로만들기
true,2667,단지번호붙이기
true,2675,문자열 반복
true,2696,중앙값 구하기
true,2720,세탁소 사장 동혁
true,2738,행렬 덧셈
true,2739,구구단
true,2740,행렬 곱셈
true,2741,N 찍기
true,2742,기찍 N
true,2743,단어 길이 재기
true,2747,피보나치 수
true,2748,피보나치 수 2
true,2750,수 정렬하기
true,2751,수 정렬하기 2
true,2753,윤년
true,2754,학점계산
true,2775,부녀회장이 될테야
true,2798,블랙잭
true,2839,설탕 배달
true,2864,5와 6의 차이
true,2869,달팽이는 올라가고 싶다
true,2884,알람 시계
true,2908,상수
true,2920,음계
true,2921,도미노
true,2941,크로아티아 알파벳
true,2947,나무 조각
true,2960,에라토스테네스의 체
true,2992,크면서 작은 수
true,2997,네 번째 수
true,3009,네 번째 점
true,3036,링
true,3040,백설 공주와 일곱 난쟁이
true,3047,ABC
true,3049,다각형의 대각선
true,3052,나머지
true,3053,택시 기하학
true,3055,탈출
true,3184,양
true,3187,양치기 꿍
true,3460,이진수
true,4153,직각삼각형
true,4344,평균은 넘겠지
true,4458,첫 글자를 대문자로
true,4592,중복을 없애자
true,4948,베르트랑 공준
true,4963,섬의 개수
true,4991,로봇 청소기
true,4999,아!
true,5014,스타트링크
true,5086,배수와 약수
true,5217,쌍의 합
true,5347,LCM
true,5354,J박스
true,5522,카드 게임
true,5523,경기 결과
true,5532,방학 숙제
true,5543,상근날드
true,5554,심부름 가는 길
true,5565,영수증
true,5585,거스름돈
true,5596,시험 점수
true,5598,카이사르 암호
true,5618,공약수
true,5622,다이얼
true,5656,비교 연산자
true,5691,평균 중앙값 문제
true,5717,상근이의 친구들
true,5724,파인만
true,5800,성적 통계
true,5988,홀수일까 짝수일까
true,6064,카잉 달력
true,6087,레이저 통신
true,6588,골드바흐의 추측
true,6593,상범 빌딩
true,6603,로또
true,7287,등록
true,7453,합이 0인 네 정수
true,7562,나이트의 이동
true,7567,그릇
true,7569,토마토
true,7576,토마토
true,8111,0과 1
true,8393,합
true,8595,히든 넘버
true,8958,OX퀴즈
true,9012,괄호
true,9019,DSLR
true,9020,골드바흐의 추측
true,9076,점수 집계
true,9079,동전 게임
true,9085,더하기
true,9086,문자열
true,9095,"1, 2, 3 더하기"
true,9295,주사위
true,9316,Hello Judge
true,9325,얼마?
true,9328,열쇠
true,9366,삼각형 분류
true,9376,탈옥
true,9461,파도반 수열
true,9465,스티커
true,9498,시험 성적
true,9506,약수들의 합
true,9507,Generations of Tribbles
true,9613,GCD 합
true,9655,돌 게임
true,9656,돌 게임 2
true,9663,N-Queen
true,9713,Sum of Odd Sequence
true,10026,적록색약
true,10039,평균 점수
true,10101,삼각형 외우기
true,10102,개표
true,10103,주사위 게임
true,10156,과자
true,10162,전자레인지
true,10178,할로윈의 사탕
true,10214,Baseball
true,10250,ACM 호텔
true,10430,나머지
true,10539,수빈이와 수열
true,10569,다면체
true,10699,오늘 날짜
true,10718,We love kriii
true,10773,제로
true,10797,10부제
true,10798,세로읽기
true,10801,카드게임
true,10807,개수 세기
true,10809,알파벳 찾기
true,10814,나이순 정렬
true,10815,숫자 카드
true,10816,숫자 카드 2
true,10817,세 수
true,10818,"최소, 최대"
true,10819,차이를 최대로
true,10822,더하기
true,10828,스택
true,10829,이진수 변환
true,10833,사과
true,10844,쉬운 계단 수
true,10845,큐
true,10866,덱
true,10867,중복 빼고 정렬하기
true,10869,사칙연산
true,10870,피보나치 수 5
true,10871,X보다 작은 수
true,10872,팩토리얼
true,10874,이교수님의 시험
true,10886,0 = not cute / 1 = cute
true,10926,??!
true,10942,팰린드롬?
true,10950,A+B - 3
true,10952,A+B - 5
true,10953,A+B - 6
true,10971,외판원 순회 2
true,10972,다음 순열
true,10973,이전 순열
true,10974,모든 순열
true,10987,모음의 개수
true,10988,팰린드롬인지 확인하기
true,10990,별 찍기 - 15
true,10991,별 찍기 - 16
true,10992,별 찍기 - 17
true,10995,별 찍기 - 20
true,10996,별 찍기 - 21
true,10998,A×B
true,11004,K번째 수
true,11021,A+B - 7
true,11022,A+B - 8
true,11047,동전 0
true,11048,이동하기
true,11050,이항 계수 1
true,11051,이항 계수 2
true,11052,카드 구매하기
true,11053,가장 긴 증가하는 부분 수열
true,11054,가장 긴 바이토닉 부분 수열
true,11055,가장 큰 증가 부분 수열
true,11057,오르막 수
true,11058,크리보드
true,11399,ATM
true,11403,경로 찾기
true,11441,합 구하기
true,11580,Footprint
true,11650,좌표 정렬하기
true,11651,좌표 정렬하기 2
true,11653,소인수분해
true,11654,아스키 코드
true,11655,ROT13
true,11656,접미사 배열
true,11659,구간 합 구하기 4
true,11660,구간 합 구하기 5
true,11720,숫자의 합
true,11721,열 개씩 끊어 출력하기
true,11722,가장 긴 감소하는 부분 수열
true,11724,연결 요소의 개수
true,11726,2×n 타일링
true,11727,2×n 타일링 2
true,11728,배열 합치기
true,11866,요세푸스 문제 0
true,11931,수 정렬하기 4
true,11942,고려대는 사랑입니다
true,11945,뜨거운 붕어빵
true,11966,2의 제곱인가?
true,12813,이진수 연산
true,12851,숨바꼭질 2
true,12852,1로 만들기 2
true,13015,별 찍기 - 23
true,13241,최소공배수
true,13398,연속합 2
true,13549,숨바꼭질 3
true,13699,점화식
true,13752,히스토그램
true,13866,팀 나누기
true,13913,숨바꼭질 4
true,14002,가장 긴 증가하는 부분 수열 4
true,14225,부분수열의 합
true,14226,이모티콘
true,14391,종이 조각
true,14442,벽 부수고 이동하기 2
true,14489,치킨 두 마리 (...)
true,14490,백대열
true,14495,피보나치 비스무리한 수열
true,14500,테트로미노
true,14501,퇴사
true,14502,연구소
true,14503,로봇 청소기
true,14581,팬들에게 둘러싸인 홍준
true,14681,사분면 고르기
true,14888,연산자 끼워넣기
true,14889,스타트와 링크
true,14918,더하기
true,15489,파스칼 삼각형
true,15552,빠른 A+B
true,15558,점프 게임
true,15649,N과 M (1)
true,15650,N과 M (2)
true,15651,N과 M (3)
true,15652,N과 M (4)
true,15654,N과 M (5)
true,15655,N과 M (6)
true,15656,N과 M (7)
true,15657,N과 M (8)
true,15663,N과 M (9)
true,15664,N과 M (10)
true,15665,N과 M (11)
true,15666,N과 M (12)
true,15680,연세대학교
true,15722,빙글빙글 스네일
true,15734,명장 남정훈
true,15780,멀티탭 충분하니?
true,15781,헬멧과 조끼
true,15784,질투진서
true,15890,전국 대학생 프로그래밍 대회 동아리 연합 여름 대회 2018
true,15894,수학은 체육과목 입니다
true,15897,잘못 구현한 에라토스테네스의 체
true,15903,카드 합체 놀이
true,15947,아기 석환 뚜루루 뚜루
true,15953,상금 헌터
true,15954,인형들
true,15962,새로운 시작
true,15963,CASIO
true,15969,행복
true,15970,화살표 그리기
true,15988,"1, 2, 3 더하기 3"
true,15989,"1, 2, 3 더하기 4"
true,15990,"1, 2, 3 더하기 5"
true,16194,카드 구매하기 2
true,16212,정열적인 정렬
true,16394,홍익대학교
true,16395,파스칼의 삼각형
true,16397,탈출
true,16430,제리와 톰
true,16483,접시 안의 원
true,16486,운동장 한 바퀴
true,17094,Serious Problem
true,17103,골드바흐 파티션
true,17127,벚꽃이 정보섬에 피어난 이유
true,17141,연구소 2
true,17173,배수들의 합
true,17174,전체 계산 횟수
true,17213,과일 서리
true,17247,택시 거리
true,17256,달달함이 넘쳐흘러
true,17263,Sort 마스터 배지훈
true,17295,엔드게임 스포일러
true,17350,2루수 이름이 뭐야
true,17356,욱 제
true,17362,수학은 체육과목 입니다 2
true,17388,와글와글 숭고한
true,17608,막대기
true,17614,369
true,17618,신기한 수
true,17826,나의 학점은?
true,17836,공주님을 구해라!
true,18108,1998년생인 내가 태국에서는 2541년생?!
true,18301,Rats
true,18428,감시 피하기
true,19532,수학은 비대면강의입니다
false,1003,피보나치 함수
false,1039,교환
false,1081,합
false,1138,한 줄로 서기
false,1175,배달
false,1252,이진수 덧셈
false,1256,사전
false,1271,엄청난 부자2
false,1300,K번째 수
false,1334,다음 팰린드롬 수
false,1351,무한 수열
false,1406,에디터
false,1492,합
false,1520,내리막 길
false,1629,곱셈
false,1722,순열의 순서
false,1731,추론
false,1747,소수&팰린드롬
false,1769,3의 배수
false,1822,차집합
false,1850,최대공약수
false,1927,최소 힙
false,1964,"오각형, 오각형, 오각형…"
false,2013,선그리기
false,2042,구간 합 구하기
false,2261,가장 가까운 두 점
false,2355,시그마
false,2407,조합
false,2417,정수 제곱근
false,2436,공약수
false,2485,가로수
false,2493,탑
false,2526,싸이클
false,2548,대표 자연수
false,2573,빙산
false,2605,줄 세우기
false,2981,검문
false,3079,입국심사
false,4384,공평하게 팀 나누기
false,5032,탄산 음료
false,5427,불
false,10610,30
false,10989,수 정렬하기 3
false,11046,팰린드롬??
false,11279,최대 힙
false,11401,이항 계수 3
false,11723,집합
false,12015,가장 긴 증가하는 부분 수열 2
false,12789,도키도키 간식드리미
false,12886,돌 그룹
false,13439,팩토리얼과 점화식
false,14582,오늘도 졌다
false,14852,타일 채우기 3
false,15658,연산자 끼워넣기 (2)
false,15688,수 정렬하기 5
false,15904,UCPC는 무엇의 약자일까?
false,16916,부분 문자열
false,16933,벽 부수고 이동하기 3
false,17104,골드바흐 파티션 2
false,17128,소가 정보섬에 올라온 이유
false,17369,유령의 집
false,17609,회문
false,17951,흩날리는 시험지 속에서 내 평점이 느껴진거야
false,18258,큐 2
false,18790,N의 배수 (1)
false,18821,홀수와 짝수의 대결
