정답여부,문제번호,문제이름
true,1000,A+B
true,1001,A-B
true,1002,터렛
true,1010,다리 놓기
true,1012,유기농 배추
true,1016,제곱 ㄴㄴ 수
true,1018,체스판 다시 칠하기
true,1023,괄호 문자열
true,1049,기타줄
true,1057,토너먼트
true,1062,가르침
true,1074,Z
true,1080,행렬
true,1094,막대기
true,1099,알 수 없는 문장
true,1107,리모컨
true,1120,문자열
true,1138,한 줄로 서기
true,1149,RGB거리
true,1158,요세푸스 문제
true,1167,트리의 지름
true,1182,부분수열의 합
true,1197,최소 스패닝 트리
true,1201,NMK
true,1202,보석 도둑
true,1208,부분수열의 합 2
true,1234,크리스마스 트리
true,1248,맞춰봐
true,1256,사전
true,1260,DFS와 BFS
true,1261,알고스팟
true,1285,동전 뒤집기
true,1300,K번째 수
true,1301,비즈 공예
true,1305,광고
true,1309,동물원
true,1325,효율적인 해킹
true,1330,두 수 비교하기
true,1339,단어 수학
true,1351,무한 수열
true,1406,에디터
true,1413,박스 안의 열쇠
true,1449,수리공 항승
true,1463,1로 만들기
true,1476,날짜 계산
true,1495,기타리스트
true,1517,버블 소트
true,1525,퍼즐
true,1541,잃어버린 괄호
true,1543,문서 검색
true,1557,제곱 ㄴㄴ
true,1561,놀이 공원
true,1600,말이 되고픈 원숭이
true,1620,나는야 포켓몬 마스터 이다솜
true,1629,곱셈
true,1644,소수의 연속합
true,1654,랜선 자르기
true,1655,가운데를 말해요
true,1689,겹치는 선분
true,1695,팰린드롬 만들기
true,1697,숨바꼭질
true,1699,제곱수의 합
true,1700,멀티탭 스케줄링
true,1701,Cubeditor
true,1707,이분 그래프
true,1708,볼록 껍질
true,1717,집합의 표현
true,1744,수 묶기
true,1748,수 이어 쓰기 1
true,1750,서로소의 개수
true,1759,암호 만들기
true,1764,듣보잡
true,1766,문제집
true,1767,N-Rook II
true,1780,종이의 개수
true,1783,병든 나이트
true,1786,찾기
true,1790,수 이어 쓰기 2
true,1799,비숍
true,1806,부분합
true,1890,점프
true,1891,사분면
true,1912,연속합
true,1915,가장 큰 정사각형
true,1922,네트워크 연결
true,1927,최소 힙
true,1929,소수 구하기
true,1931,회의실배정
true,1932,정수 삼각형
true,1933,스카이라인
true,1934,최소공배수
true,1937,욕심쟁이 판다
true,1939,중량제한
true,1946,신입 사원
true,1958,LCS 3
true,1963,소수 경로
true,1966,프린터 큐
true,1967,트리의 지름
true,1969,DNA
true,1970,건배
true,1978,소수 찾기
true,1981,배열에서 이동
true,1983,숫자 박스
true,1987,알파벳
true,1991,트리 순회
true,1992,쿼드트리
true,2003,수들의 합 2
true,2011,암호코드
true,2056,작업
true,2092,집합의 개수
true,2109,순회강연
true,2110,공유기 설치
true,2133,타일 채우기
true,2138,전구와 스위치
true,2143,두 배열의 합
true,2146,다리 만들기
true,2151,거울 설치
true,2156,포도주 시식
true,2163,초콜릿 자르기
true,2166,다각형의 면적
true,2167,2차원 배열의 합
true,2169,로봇 조종하기
true,2170,선 긋기
true,2178,미로 탐색
true,2193,이친수
true,2206,벽 부수고 이동하기
true,2210,숫자판 점프
true,2216,문자열과 점수
true,2217,로프
true,2225,합분해
true,2229,조 짜기
true,2234,성곽
true,2248,이진수 찾기
true,2250,트리의 높이와 너비
true,2251,물통
true,2252,줄 세우기
true,2261,가장 가까운 두 점
true,2263,트리의 순회
true,2281,데스노트
true,2290,LCD Test
true,2293,동전 1
true,2294,동전 2
true,2300,기지국
true,2302,극장 좌석
true,2309,일곱 난쟁이
true,2343,기타 레슨
true,2352,반도체 설계
true,2422,한윤정이 이탈리아에 가서 아이스크림을 사먹는데
true,2437,저울
true,2447,별 찍기 - 10
true,2448,별 찍기 - 11
true,2455,지능형 기차
true,2493,탑
true,2529,부등호
true,2557,Hello World
true,2579,계단 오르기
true,2580,스도쿠
true,2583,영역 구하기
true,2606,바이러스
true,2609,최대공약수와 최소공배수
true,2616,소형기관차
true,2661,좋은수열
true,2667,단지번호붙이기
true,2698,인접한 비트의 개수
true,2705,팰린드롬 파티션
true,2743,단어 길이 재기
true,2745,진법 변환
true,2747,피보나치 수
true,2748,피보나치 수 2
true,2749,피보나치 수 3
true,2751,수 정렬하기 2
true,2758,로또
true,2805,나무 자르기
true,2873,롤러코스터
true,2875,대회 or 인턴
true,2884,알람 시계
true,2933,미네랄
true,3015,오아시스 재결합
true,3019,테트리스
true,3055,탈출
true,3085,사탕 게임
true,3109,빵집
true,3184,양
true,3190,뱀
true,3197,백조의 호수
true,3568,iSharp
true,4574,스도미노쿠
true,4811,알약
true,4902,삼각형의 값
true,4963,섬의 개수
true,4991,로봇 청소기
true,5014,스타트링크
true,5052,전화번호 목록
true,5213,과외맨
true,5419,북서풍
true,5557,1학년
true,5582,공통 부분 문자열
true,5585,거스름돈
true,6064,카잉 달력
true,6087,레이저 통신
true,6549,히스토그램에서 가장 큰 직사각형
true,6603,로또
true,7287,등록
true,7453,합이 0인 네 정수
true,7562,나이트의 이동
true,7576,토마토
true,7785,회사에 있는 사람
true,8982,수족관 1
true,9012,괄호
true,9019,DSLR
true,9095,"1, 2, 3 더하기"
true,9184,신나는 함수 실행
true,9202,Boggle
true,9250,문자열 집합 판별
true,9251,LCS
true,9252,LCS 2
true,9328,열쇠
true,9376,탈옥
true,9461,파도반 수열
true,9465,스티커
true,9520,NP-hard
true,9613,GCD 합
true,9663,N-Queen
true,9935,문자열 폭발
true,9944,NxM 보드 완주하기
true,10026,적록색약
true,10256,돌연변이
true,10422,괄호
true,10564,팔굽혀펴기
true,10610,30
true,10718,We love kriii
true,10799,쇠막대기
true,10808,알파벳 개수
true,10809,알파벳 찾기
true,10814,나이순 정렬
true,10815,숫자 카드
true,10816,숫자 카드 2
true,10819,차이를 최대로
true,10820,문자열 분석
true,10824,네 수
true,10825,국영수
true,10830,행렬 제곱
true,10844,쉬운 계단 수
true,10942,팰린드롬?
true,10971,외판원 순회 2
true,10972,다음 순열
true,10973,이전 순열
true,10974,모든 순열
true,10986,나머지 합
true,10989,수 정렬하기 3
true,11005,진법 변환 2
true,11047,동전 0
true,11048,이동하기
true,11049,행렬 곱셈 순서
true,11052,카드 구매하기
true,11053,가장 긴 증가하는 부분 수열
true,11054,가장 긴 바이토닉 부분 수열
true,11055,가장 큰 증가 부분 수열
true,11057,오르막 수
true,11058,크리보드
true,11060,점프 점프
true,11066,파일 합치기
true,11279,최대 힙
true,11399,ATM
true,11403,경로 찾기
true,11444,피보나치 수 6
true,11650,좌표 정렬하기
true,11651,좌표 정렬하기 2
true,11652,카드
true,11655,ROT13
true,11656,접미사 배열
true,11722,가장 긴 감소하는 부분 수열
true,11723,집합
true,11724,연결 요소의 개수
true,11725,트리의 부모 찾기
true,11726,2×n 타일링
true,11727,2×n 타일링 2
true,11728,배열 합치기
true,11758,CCW
true,11873,최대 직사각형
true,12015,가장 긴 증가하는 부분 수열 2
true,12026,BOJ 거리
true,12100,2048 (Easy)
true,12104,순환 순열
true,12851,숨바꼭질 2
true,12865,평범한 배낭
true,12869,뮤탈리스크
true,12871,무한 문자열
true,12886,돌 그룹
true,12904,A와 B
true,12906,새로운 하노이 탑
true,12908,텔레포트 3
true,12919,A와 B 2
true,12931,두 배 더하기
true,12969,ABC
true,12970,AB
true,12996,Acka
true,13023,ABCDE
true,13397,구간 나누기 2
true,13445,부분 수열 XOR
true,13458,시험 감독
true,13460,구슬 탈출 2
true,13504,XOR 합
true,13505,두 수 XOR
true,13506,카멜레온 부분 문자열
true,13549,숨바꼭질 3
true,13913,숨바꼭질 4
true,14002,가장 긴 증가하는 부분 수열 4
true,14225,부분수열의 합
true,14226,이모티콘
true,14238,출근 기록
true,14395,4연산
true,14425,문자열 집합
true,14426,접두사 찾기
true,14442,벽 부수고 이동하기 2
true,14499,주사위 굴리기
true,14500,테트로미노
true,14501,퇴사
true,14502,연구소
true,14503,로봇 청소기
true,14888,연산자 끼워넣기
true,14889,스타트와 링크
true,14890,경사로
true,14891,톱니바퀴
true,15486,퇴사 2
true,15558,점프 게임
true,15649,N과 M (1)
true,15650,N과 M (2)
true,15651,N과 M (3)
true,15652,N과 M (4)
true,15653,구슬 탈출 4
true,15658,연산자 끼워넣기 (2)
true,15661,링크와 스타트
true,15662,톱니바퀴 (2)
true,15683,감시
true,15684,사다리 조작
true,15685,드래곤 커브
true,15686,치킨 배달
true,15989,"1, 2, 3 더하기 4"
true,16137,견우와 직녀
true,16194,카드 구매하기 2
true,16197,두 동전
true,16198,에너지 모으기
true,16234,인구 이동
true,16235,나무 재테크
true,16236,아기 상어
true,16637,괄호 추가하기
true,16638,괄호 추가하기 2
true,16909,카드 구매하기 3
true,16916,부분 문자열
true,16917,양념 반 후라이드 반
true,16918,봄버맨
true,16920,확장 게임
true,16922,로마 숫자 만들기
true,16923,다음 다양한 단어
true,16924,십자가 찾기
true,16926,배열 돌리기 1
true,16928,뱀과 사다리 게임
true,16929,Two Dots
true,16931,겉넓이 구하기
true,16932,모양 만들기
true,16933,벽 부수고 이동하기 3
true,16935,배열 돌리기 3
true,16936,나3곱2
true,16937,두 스티커
true,16938,캠프 준비
true,16940,BFS 스페셜 저지
true,16942,문자열 접기
true,16943,숫자 재배치
true,16945,매직 스퀘어로 변경하기
true,16947,서울 지하철 2호선
true,16948,데스 나이트
true,16951,블록 놀이
true,16953,A → B
true,16954,움직이는 미로 탈출
true,16956,늑대와 양
true,16957,체스판 위의 공
true,16958,텔레포트
true,16964,DFS 스페셜 저지
true,16967,배열 복원하기
true,16968,차량 번호판 1
true,16971,배열 B의 값
true,16985,Maaaaaaaaaze
true,16986,인싸들의 가위바위보
true,16987,계란으로 계란치기
true,16988,Baaaaaaaaaduk2 (Easy)
true,17069,파이프 옮기기 2
true,17070,파이프 옮기기 1
true,17085,십자가 2개 놓기
true,17086,아기 상어 2
true,17088,등차수열 변환
true,17089,세 친구
true,17090,미로 탈출하기
true,17127,벚꽃이 정보섬에 피어난 이유
true,17128,소가 정보섬에 올라온 이유
true,17129,윌리암슨수액빨이딱따구리가 정보섬에 올라온 이유
true,17135,캐슬 디펜스
true,17141,연구소 2
true,17142,연구소 3
true,17201,자석 체인
true,17202,핸드폰 번호 궁합
true,17203,∑|ΔEasyMAX|
true,17204,죽음의 게임
true,17206,준석이의 수학 숙제
true,17207,돌려막기
true,17210,문문문
true,17211,좋은 날 싫은 날
true,17212,달나라 토끼를 위한 구매대금 지불 도우미
true,17213,과일 서리
true,17214,다항 함수의 적분
true,17215,볼링 점수 계산
true,17386,선분 교차 1
true,17387,선분 교차 2
true,17404,RGB거리 2
true,17406,배열 돌리기 4
true,17436,소수의 배수
true,17944,퐁당퐁당 1
true,17949,Drop The Byte!
true,17952,과제는 끝나지 않아!
true,17954,투튜브
true,18127,모형결정
true,18128, 치삼이의 징검다리 건너기
true,18808,스티커 붙이기
true,18809,Gaaaaaaaaaarden
false,1688,지민이의 테러
false,3111,검열
false,9576,책 나눠주기
false,16930,달리기
