정답여부,문제번호,문제이름
true,1000,A+B
true,1001,A-B
true,1002,터렛
true,1003,피보나치 함수
true,1005,ACM Craft
true,1008,A/B
true,1010,다리 놓기
true,1011,Fly me to the Alpha Centauri
true,1012,유기농 배추
true,1017,소수 쌍
true,1018,체스판 다시 칠하기
true,1021,회전하는 큐
true,1022,소용돌이 예쁘게 출력하기
true,1024,수열의 합
true,1026,보물
true,1032,명령 프롬프트
true,1038,감소하는 수
true,1039,교환
true,1041,주사위
true,1049,기타줄
true,1057,토너먼트
true,1062,가르침
true,1065,한수
true,1068,트리
true,1072,게임
true,1074,Z
true,1080,행렬
true,1083,소트
true,1085,직사각형에서 탈출
true,1094,막대기
true,1100,하얀 칸
true,1107,리모컨
true,1110,더하기 사이클
true,1120,문자열
true,1138,한 줄로 서기
true,1149,RGB거리
true,1152,단어의 개수
true,1157,단어 공부
true,1158,요세푸스 문제
true,1159,농구 경기
true,1167,트리의 지름
true,1181,단어 정렬
true,1193,분수찾기
true,1194,"달이 차오른다, 가자."
true,1202,보석 도둑
true,1212,8진수 2진수
true,1238,파티
true,1260,DFS와 BFS
true,1269,대칭 차집합
true,1296,데이트
true,1298,노트북의 주인을 찾아서
true,1309,동물원
true,1316,그룹 단어 체커
true,1325,효율적인 해킹
true,1327,소트 게임
true,1330,두 수 비교하기
true,1339,단어 수학
true,1351,무한 수열
true,1354,무한 수열 2
true,1371,가장 많은 글자
true,1373,2진수 8진수
true,1377,버블 소트
true,1389,케빈 베이컨의 6단계 법칙
true,1405,미친 로봇
true,1406,에디터
true,1411,비슷한 단어
true,1427,소트인사이드
true,1431,시리얼 번호
true,1436,영화감독 숌
true,1439,뒤집기
true,1449,수리공 항승
true,1463,1로 만들기
true,1475,방 번호
true,1504,특정한 최단 경로
true,1506,경찰서
true,1507,궁금한 민호
true,1516,게임 개발
true,1520,내리막 길
true,1526,가장 큰 금민수
true,1541,잃어버린 괄호
true,1543,문서 검색
true,1546,평균
true,1547,공
true,1574,룩 어택
true,1599,민식어
true,1600,말이 되고픈 원숭이
true,1613,역사
true,1620,나는야 포켓몬 마스터 이다솜
true,1654,랜선 자르기
true,1671,상어의 저녁식사
true,1676,팩토리얼 0의 개수
true,1697,숨바꼭질
true,1699,제곱수의 합
true,1700,멀티탭 스케줄링
true,1707,이분 그래프
true,1712,손익분기점
true,1717,집합의 표현
true,1718,암호
true,1726,로봇
true,1748,수 이어 쓰기 1
true,1753,최단경로
true,1759,암호 만들기
true,1764,듣보잡
true,1766,문제집
true,1780,종이의 개수
true,1781,컵라면
true,1783,병든 나이트
true,1789,수들의 합
true,1850,최대공약수
true,1874,스택 수열
true,1890,점프
true,1904,01타일
true,1912,연속합
true,1915,가장 큰 정사각형
true,1916,최소비용 구하기
true,1919,애너그램 만들기
true,1920,수 찾기
true,1924,2007년
true,1929,소수 구하기
true,1931,회의실배정
true,1932,정수 삼각형
true,1934,최소공배수
true,1937,욕심쟁이 판다
true,1938,통나무 옮기기
true,1941,소문난 칠공주
true,1946,신입 사원
true,1948,임계경로
true,1956,운동
true,1963,소수 경로
true,1965,상자넣기
true,1966,프린터 큐
true,1967,트리의 지름
true,1969,DNA
true,1972,놀라운 문자열
true,1976,여행 가자
true,1978,소수 찾기
true,1981,배열에서 이동
true,1987,알파벳
true,1991,트리 순회
true,1992,쿼드트리
true,2002,추월
true,2004,조합 0의 개수
true,2011,암호코드
true,2023,신기한 소수
true,2056,작업
true,2089,-2진수
true,2108,통계학
true,2133,타일 채우기
true,2146,다리 만들기
true,2150,Strongly Connected Component
true,2151,거울 설치
true,2156,포도주 시식
true,2161,카드1
true,2163,초콜릿 자르기
true,2164,카드2
true,2167,2차원 배열의 합
true,2178,미로 탐색
true,2188,축사 배정
true,2191,들쥐의 탈출
true,2193,이친수
true,2206,벽 부수고 이동하기
true,2217,로프
true,2225,합분해
true,2231,분해합
true,2234,성곽
true,2239,스도쿠
true,2250,트리의 높이와 너비
true,2251,물통
true,2252,줄 세우기
true,2292,벌집
true,2293,동전 1
true,2294,동전 2
true,2309,일곱 난쟁이
true,2331,반복수열
true,2352,반도체 설계
true,2413,비슷한 순열
true,2437,저울
true,2438,별 찍기 - 1
true,2439,별 찍기 - 2
true,2440,별 찍기 - 3
true,2441,별 찍기 - 4
true,2442,별 찍기 - 5
true,2444,별 찍기 - 7
true,2445,별 찍기 - 8
true,2446,별 찍기 - 9
true,2447,별 찍기 - 10
true,2455,지능형 기차
true,2468,안전 영역
true,2490,윷놀이
true,2504,괄호의 값
true,2522,별 찍기 - 12
true,2523,별 찍기 - 13
true,2529,부등호
true,2557,Hello World
true,2558,A+B - 2
true,2562,최댓값
true,2563,색종이
true,2565,전깃줄
true,2573,빙산
true,2577,숫자의 개수
true,2579,계단 오르기
true,2580,스도쿠
true,2581,소수
true,2583,영역 구하기
true,2588,곱셈
true,2589,보물섬
true,2606,바이러스
true,2609,최대공약수와 최소공배수
true,2617,구슬 찾기
true,2623,음악프로그램
true,2637,장난감조립
true,2644,촌수계산
true,2655,가장높은탑쌓기
true,2661,좋은수열
true,2667,단지번호붙이기
true,2668,숫자고르기
true,2675,문자열 반복
true,2739,구구단
true,2740,행렬 곱셈
true,2741,N 찍기
true,2742,기찍 N
true,2743,단어 길이 재기
true,2745,진법 변환
true,2747,피보나치 수
true,2748,피보나치 수 2
true,2750,수 정렬하기
true,2751,수 정렬하기 2
true,2752,세수정렬
true,2753,윤년
true,2775,부녀회장이 될테야
true,2789,유학 금지
true,2798,블랙잭
true,2799,블라인드
true,2800,괄호 제거
true,2804,크로스워드 만들기
true,2805,나무 자르기
true,2810,컵홀더
true,2812,크게 만들기
true,2822,점수 계산
true,2839,설탕 배달
true,2851,슈퍼 마리오
true,2857,FBI
true,2864,5와 6의 차이
true,2866,문자열 잘라내기
true,2869,달팽이는 올라가고 싶다
true,2875,대회 or 인턴
true,2884,알람 시계
true,2890,카약
true,2897,몬스터 트럭
true,2902,KMP는 왜 KMP일까?
true,2908,상수
true,2910,빈도 정렬
true,2920,음계
true,2931,가스관
true,2933,미네랄
true,2935,소음
true,2941,크로아티아 알파벳
true,2979,트럭 주차
true,2981,검문
true,2998,8진수
true,3009,네 번째 점
true,3034,앵그리 창영
true,3036,링
true,3047,ABC
true,3052,나머지
true,3053,택시 기하학
true,3055,탈출
true,3108,로고
true,3109,빵집
true,3163,떨어지는 개미
true,3184,양
true,3187,양치기 꿍
true,3190,뱀
true,3197,백조의 호수
true,3665,최종 순위
true,3986,좋은 단어
true,4153,직각삼각형
true,4179,불!
true,4195,친구 네트워크
true,4307,개미
true,4344,평균은 넘겠지
true,4673,셀프 넘버
true,4848,집합 숫자 표기법
true,4889,안정적인 문자열
true,4948,베르트랑 공준
true,4949,균형잡힌 세상
true,4963,섬의 개수
true,4991,로봇 청소기
true,5014,스타트링크
true,5032,탄산 음료
true,5063,TGN
true,5086,배수와 약수
true,5214,환승
true,5218,알파벳 거리
true,5397,키로거
true,5427,불
true,5430,AC
true,5525,IOIOI
true,5532,방학 숙제
true,5543,상근날드
true,5554,심부름 가는 길
true,5555,반지
true,5565,영수증
true,5567,결혼식
true,5576,콘테스트
true,5585,거스름돈
true,5586,JOI와 IOI
true,5596,시험 점수
true,5597,과제 안 내신 분..?
true,5598,카이사르 암호
true,5618,공약수
true,5622,다이얼
true,5639,이진 검색 트리
true,6064,카잉 달력
true,6087,레이저 통신
true,6359,만취한 상범
true,6549,히스토그램에서 가장 큰 직사각형
true,6581,HTML
true,6588,골드바흐의 추측
true,6593,상범 빌딩
true,6603,로또
true,7287,등록
true,7453,합이 0인 네 정수
true,7562,나이트의 이동
true,7568,덩치
true,7569,토마토
true,7576,토마토
true,7785,회사에 있는 사람
true,8320,직사각형을 만드는 방법
true,8393,합
true,8958,OX퀴즈
true,8979,올림픽
true,8980,택배
true,9012,괄호
true,9019,DSLR
true,9020,골드바흐의 추측
true,9095,"1, 2, 3 더하기"
true,9205,맥주 마시면서 걸어가기
true,9251,LCS
true,9252,LCS 2
true,9322,철벽 보안 알고리즘
true,9328,열쇠
true,9370,미확인 도착지
true,9372,상근이의 여행
true,9375,패션왕 신해빈
true,9376,탈옥
true,9461,파도반 수열
true,9465,스티커
true,9466,텀 프로젝트
true,9470,Strahler 순서
true,9498,시험 성적
true,9536,여우는 어떻게 울지?
true,9576,책 나눠주기
true,9613,GCD 합
true,9663,N-Queen
true,9933,민균이의 비밀번호
true,9935,문자열 폭발
true,9996,한국이 그리울 땐 서버에 접속하지
true,10026,적록색약
true,10039,평균 점수
true,10172,개
true,10216,Count Circle Groups
true,10219,Meats On The Grill
true,10250,ACM 호텔
true,10253,헨리
true,10430,나머지
true,10451,순열 사이클
true,10546,배부른 마라토너
true,10610,30
true,10703,유성
true,10707,수도요금
true,10718,We love kriii
true,10769,행복한지 슬픈지
true,10773,제로
true,10797,10부제
true,10798,세로읽기
true,10799,쇠막대기
true,10808,알파벳 개수
true,10809,알파벳 찾기
true,10814,나이순 정렬
true,10816,숫자 카드 2
true,10817,세 수
true,10818,"최소, 최대"
true,10825,국영수
true,10828,스택
true,10844,쉬운 계단 수
true,10845,큐
true,10866,덱
true,10869,사칙연산
true,10870,피보나치 수 5
true,10871,X보다 작은 수
true,10872,팩토리얼
true,10886,0 = not cute / 1 = cute
true,10950,A+B - 3
true,10951,A+B - 4
true,10952,A+B - 5
true,10953,A+B - 6
true,10984,내 학점을 구해줘
true,10987,모음의 개수
true,10988,팰린드롬인지 확인하기
true,10989,수 정렬하기 3
true,10991,별 찍기 - 16
true,10992,별 찍기 - 17
true,10996,별 찍기 - 21
true,10998,A×B
true,11004,K번째 수
true,11005,진법 변환 2
true,11021,A+B - 7
true,11022,A+B - 8
true,11047,동전 0
true,11048,이동하기
true,11050,이항 계수 1
true,11051,이항 계수 2
true,11052,카드 구매하기
true,11053,가장 긴 증가하는 부분 수열
true,11054,가장 긴 바이토닉 부분 수열
true,11055,가장 큰 증가 부분 수열
true,11057,오르막 수
true,11066,파일 합치기
true,11375,열혈강호
true,11376,열혈강호 2
true,11377,열혈강호 3
true,11378,열혈강호 4
true,11399,ATM
true,11403,경로 찾기
true,11404,플로이드
true,11559,Puyo Puyo
true,11576,Base Conversion
true,11586,지영 공주님의 마법 거울
true,11650,좌표 정렬하기
true,11651,좌표 정렬하기 2
true,11652,카드
true,11653,소인수분해
true,11654,아스키 코드
true,11656,접미사 배열
true,11718,그대로 출력하기
true,11719,그대로 출력하기 2
true,11720,숫자의 합
true,11721,열 개씩 끊어 출력하기
true,11722,가장 긴 감소하는 부분 수열
true,11724,연결 요소의 개수
true,11725,트리의 부모 찾기
true,11726,2×n 타일링
true,11727,2×n 타일링 2
true,11729,하노이 탑 이동 순서
true,11812,K진 트리
true,11866,요세푸스 문제 0
true,12100,2048 (Easy)
true,12757,전설의 JBNU
true,12761,돌다리
true,12790,Mini Fantasy War
true,12865,평범한 배낭
true,13241,최소공배수
true,13414,수강신청
true,13458,시험 감독
true,13460,구슬 탈출 2
true,14433,한조 대기 중
true,14499,주사위 굴리기
true,14500,테트로미노
true,14501,퇴사
true,14502,연구소
true,14503,로봇 청소기
true,14567,선수과목 (Prerequisite)
true,14592,2017 아주대학교 프로그래밍 경시대회 (Small)
true,14593,2017 아주대학교 프로그래밍 경시대회 (Large)
true,14594,동방 프로젝트 (Small)
true,14595,동방 프로젝트 (Large)
true,14606,피자 (Small)
true,14607,피자 (Large)
true,14681,사분면 고르기
true,14852,타일 채우기 3
true,14888,연산자 끼워넣기
true,14889,스타트와 링크
true,14890,경사로
true,14891,톱니바퀴
true,15552,빠른 A+B
true,15649,N과 M (1)
true,15650,N과 M (2)
true,15651,N과 M (3)
true,15652,N과 M (4)
true,15683,감시
true,15684,사다리 조작
true,15685,드래곤 커브
true,15686,치킨 배달
true,15792,A/B - 2
true,15905,스텔라(STELLA)가 치킨을 선물했어요
true,16165,걸그룹 마스터 준석이
true,16212,정열적인 정렬
true,16234,인구 이동
true,16235,나무 재테크
true,16236,아기 상어
true,17140,이차원 배열과 연산
true,17142,연구소 3
true,17143,낚시왕
true,17144,미세먼지 안녕!
true,17219,비밀번호 찾기
true,17264,I AM IRONMAN
true,17479,정식당
true,17481,최애 정하기
true,18258,큐 2
true,19237,어른 상어
false,16210,DSHS Bank
