정답여부,문제번호,문제이름
true,1000,A+B
true,1001,A-B
true,1002,터렛
true,1003,피보나치 함수
true,1004,어린 왕자
true,1005,ACM Craft
true,1008,A/B
true,1010,다리 놓기
true,1011,Fly me to the Alpha Centauri
true,1012,유기농 배추
true,1016,제곱 ㄴㄴ 수
true,1018,체스판 다시 칠하기
true,1019,책 페이지
true,1024,수열의 합
true,1026,보물
true,1027,고층 건물
true,1037,약수
true,1038,감소하는 수
true,1041,주사위
true,1057,토너먼트
true,1059,수2
true,1065,한수
true,1072,게임
true,1074,Z
true,1075,나누기
true,1076,저항
true,1085,직사각형에서 탈출
true,1094,막대기
true,1106,호텔
true,1107,리모컨
true,1110,더하기 사이클
true,1111,IQ Test
true,1120,문자열
true,1124,언더프라임
true,1138,한 줄로 서기
true,1145,적어도 대부분의 배수
true,1149,RGB거리
true,1152,단어의 개수
true,1157,단어 공부
true,1158,요세푸스 문제
true,1159,농구 경기
true,1181,단어 정렬
true,1188,음식 평론가
true,1193,분수찾기
true,1212,8진수 2진수
true,1256,사전
true,1259,팰린드롬수
true,1260,DFS와 BFS
true,1267,핸드폰 요금
true,1271,엄청난 부자2
true,1297,TV 크기
true,1298,노트북의 주인을 찾아서
true,1309,동물원
true,1316,그룹 단어 체커
true,1330,두 수 비교하기
true,1331,나이트 투어
true,1339,단어 수학
true,1350,진짜 공간
true,1356,유진수
true,1357,뒤집힌 덧셈
true,1427,소트인사이드
true,1436,영화감독 숌
true,1463,1로 만들기
true,1475,방 번호
true,1476,날짜 계산
true,1495,기타리스트
true,1500,최대 곱
true,1520,내리막 길
true,1535,안녕
true,1541,잃어버린 괄호
true,1546,평균
true,1550,16진수
true,1629,곱셈
true,1652,누울 자리를 찾아라
true,1654,랜선 자르기
true,1670,정상 회담 2
true,1671,상어의 저녁식사
true,1676,팩토리얼 0의 개수
true,1699,제곱수의 합
true,1707,이분 그래프
true,1712,손익분기점
true,1717,집합의 표현
true,1722,순열의 순서
true,1740,거듭제곱
true,1748,수 이어 쓰기 1
true,1753,최단경로
true,1759,암호 만들기
true,1764,듣보잡
true,1780,종이의 개수
true,1788,피보나치 수의 확장
true,1789,수들의 합
true,1834,나머지와 몫이 같은 수
true,1837,암호제작
true,1874,스택 수열
true,1890,점프
true,1904,01타일
true,1912,연속합
true,1915,가장 큰 정사각형
true,1919,애너그램 만들기
true,1920,수 찾기
true,1924,2007년
true,1927,최소 힙
true,1929,소수 구하기
true,1931,회의실배정
true,1932,정수 삼각형
true,1937,욕심쟁이 판다
true,1940,주몽
true,1964,"오각형, 오각형, 오각형…"
true,1965,상자넣기
true,1976,여행 가자
true,1977,완전제곱수
true,1978,소수 찾기
true,1987,알파벳
true,1991,트리 순회
true,1992,쿼드트리
true,2003,수들의 합 2
true,2004,조합 0의 개수
true,2010,플러그
true,2011,암호코드
true,2018,수들의 합 5
true,2042,구간 합 구하기
true,2096,내려가기
true,2108,통계학
true,2133,타일 채우기
true,2153,소수 단어
true,2156,포도주 시식
true,2163,초콜릿 자르기
true,2164,카드2
true,2167,2차원 배열의 합
true,2169,로봇 조종하기
true,2188,축사 배정
true,2193,이친수
true,2217,로프
true,2225,합분해
true,2231,분해합
true,2240,자두나무
true,2252,줄 세우기
true,2292,벌집
true,2293,동전 1
true,2294,동전 2
true,2302,극장 좌석
true,2305,자리 배치
true,2309,일곱 난쟁이
true,2338,긴자리 계산
true,2352,반도체 설계
true,2355,시그마
true,2357,최솟값과 최댓값
true,2407,조합
true,2436,공약수
true,2437,저울
true,2438,별 찍기 - 1
true,2439,별 찍기 - 2
true,2440,별 찍기 - 3
true,2441,별 찍기 - 4
true,2447,별 찍기 - 10
true,2448,별 찍기 - 11
true,2449,전구
true,2455,지능형 기차
true,2467,용액
true,2468,안전 영역
true,2469,사다리 타기
true,2470,두 용액
true,2475,검증수
true,2482,색상환
true,2487,섞기 수열
true,2490,윷놀이
true,2504,괄호의 값
true,2512,예산
true,2525,오븐 시계
true,2548,대표 자연수
true,2549,루빅의 사각형
true,2550,전구
true,2557,Hello World
true,2558,A+B - 2
true,2562,최댓값
true,2563,색종이
true,2565,전깃줄
true,2577,숫자의 개수
true,2579,계단 오르기
true,2581,소수
true,2583,영역 구하기
true,2588,곱셈
true,2606,바이러스
true,2609,최대공약수와 최소공배수
true,2630,색종이 만들기
true,2631,줄세우기
true,2667,단지번호붙이기
true,2670,연속부분최대곱
true,2675,문자열 반복
true,2739,구구단
true,2741,N 찍기
true,2742,기찍 N
true,2747,피보나치 수
true,2748,피보나치 수 2
true,2750,수 정렬하기
true,2751,수 정렬하기 2
true,2752,세수정렬
true,2753,윤년
true,2775,부녀회장이 될테야
true,2798,블랙잭
true,2810,컵홀더
true,2812,크게 만들기
true,2822,점수 계산
true,2839,설탕 배달
true,2845,파티가 끝나고 난 뒤
true,2858,기숙사 바닥
true,2863,이게 분수?
true,2864,5와 6의 차이
true,2869,달팽이는 올라가고 싶다
true,2875,대회 or 인턴
true,2876,그래픽스 퀴즈
true,2884,알람 시계
true,2903,중앙 이동 알고리즘
true,2908,상수
true,2914,저작권
true,2920,음계
true,2921,도미노
true,2941,크로아티아 알파벳
true,2960,에라토스테네스의 체
true,2965,캥거루 세마리
true,2981,검문
true,2997,네 번째 수
true,3003,"킹, 퀸, 룩, 비숍, 나이트, 폰"
true,3009,네 번째 점
true,3015,오아시스 재결합
true,3036,링
true,3041,N-퍼즐
true,3046,R2
true,3049,다각형의 대각선
true,3052,나머지
true,3053,택시 기하학
true,3076,상근이의 체스판
true,3474,교수가 된 현우
true,3653,영화 수집
true,4150,피보나치 수
true,4153,직각삼각형
true,4344,평균은 넘겠지
true,4504,배수 찾기
true,4673,셀프 넘버
true,4948,베르트랑 공준
true,4949,균형잡힌 세상
true,5063,TGN
true,5086,배수와 약수
true,5337,웰컴
true,5338,마이크로소프트 로고
true,5339,콜센터
true,5522,카드 게임
true,5532,방학 숙제
true,5543,상근날드
true,5554,심부름 가는 길
true,5557,1학년
true,5565,영수증
true,5582,공통 부분 문자열
true,5585,거스름돈
true,5597,과제 안 내신 분..?
true,5622,다이얼
true,5676,음주 코딩
true,6064,카잉 달력
true,6086,최대 유량
true,6359,만취한 상범
true,6603,로또
true,6987,월드컵
true,7287,등록
true,7568,덩치
true,7576,토마토
true,7579,앱
true,8393,합
true,8394,악수
true,8958,OX퀴즈
true,8983,사냥꾼
true,8984,막대기
true,9012,괄호
true,9020,골드바흐의 추측
true,9084,동전
true,9095,"1, 2, 3 더하기"
true,9251,LCS
true,9252,LCS 2
true,9322,철벽 보안 알고리즘
true,9375,패션왕 신해빈
true,9461,파도반 수열
true,9465,스티커
true,9466,텀 프로젝트
true,9498,시험 성적
true,9506,약수들의 합
true,9507,Generations of Tribbles
true,9546,3000번 버스
true,9550,아이들은 사탕을 좋아해
true,9625,BABBA
true,9653,스타워즈 로고
true,9654,나부 함대 데이터
true,9655,돌 게임
true,9656,돌 게임 2
true,9657,돌 게임 3
true,9935,문자열 폭발
true,9999,구구
true,10039,평균 점수
true,10156,과자
true,10164,격자상의 경로
true,10165,버스 노선
true,10166,관중석
true,10167,금광
true,10170,NFC West vs North
true,10171,고양이
true,10172,개
true,10250,ACM 호텔
true,10422,괄호
true,10430,나머지
true,10569,다면체
true,10610,30
true,10699,오늘 날짜
true,10707,수도요금
true,10718,We love kriii
true,10757,큰 수 A+B
true,10773,제로
true,10775,공항
true,10797,10부제
true,10798,세로읽기
true,10799,쇠막대기
true,10809,알파벳 찾기
true,10814,나이순 정렬
true,10816,숫자 카드 2
true,10817,세 수
true,10818,"최소, 최대"
true,10826,피보나치 수 4
true,10828,스택
true,10835,카드게임
true,10836,여왕벌
true,10837,동전 게임
true,10838,트리
true,10839,미술관
true,10840,구간 성분
true,10844,쉬운 계단 수
true,10845,큐
true,10866,덱
true,10868,최솟값
true,10869,사칙연산
true,10870,피보나치 수 5
true,10871,X보다 작은 수
true,10872,팩토리얼
true,10886,0 = not cute / 1 = cute
true,10889,Ancient symbol
true,10926,??!
true,10942,팰린드롬?
true,10950,A+B - 3
true,10951,A+B - 4
true,10952,A+B - 5
true,10989,수 정렬하기 3
true,10994,별 찍기 - 19
true,10998,A×B
true,11004,K번째 수
true,11006,남욱이의 닭장
true,11021,A+B - 7
true,11022,A+B - 8
true,11034,캥거루 세마리2
true,11047,동전 0
true,11048,이동하기
true,11049,행렬 곱셈 순서
true,11050,이항 계수 1
true,11051,이항 계수 2
true,11052,카드 구매하기
true,11053,가장 긴 증가하는 부분 수열
true,11054,가장 긴 바이토닉 부분 수열
true,11055,가장 큰 증가 부분 수열
true,11057,오르막 수
true,11060,점프 점프
true,11066,파일 합치기
true,11375,열혈강호
true,11376,열혈강호 2
true,11377,열혈강호 3
true,11378,열혈강호 4
true,11382,꼬마 정민
true,11399,ATM
true,11403,경로 찾기
true,11404,플로이드
true,11650,좌표 정렬하기
true,11651,좌표 정렬하기 2
true,11653,소인수분해
true,11654,아스키 코드
true,11718,그대로 출력하기
true,11719,그대로 출력하기 2
true,11720,숫자의 합
true,11721,열 개씩 끊어 출력하기
true,11722,가장 긴 감소하는 부분 수열
true,11724,연결 요소의 개수
true,11726,2×n 타일링
true,11727,2×n 타일링 2
true,11729,하노이 탑 이동 순서
true,11866,요세푸스 문제 0
true,11942,고려대는 사랑입니다
true,12605,단어순서 뒤집기
true,12852,1로 만들기 2
true,12865,평범한 배낭
true,13277,큰 수 곱셈
true,13301,타일 장식물
true,13302,리조트
true,13303,장애물 경기
true,13304,방 배정
true,13305,주유소
true,13306,트리
true,13308,주유소
true,13699,점화식
true,13904,과제
true,14002,가장 긴 증가하는 부분 수열 4
true,14003,가장 긴 증가하는 부분 수열 5
true,14495,피보나치 비스무리한 수열
true,14500,테트로미노
true,14501,퇴사
true,14502,연구소
true,14606,피자 (Small)
true,14645,와이버스 부릉부릉
true,14652,나는 행복합니다~
true,14659,한조서열정리하고옴ㅋㅋ
true,14697,방 배정하기
true,14720,우유 축제
true,14864,줄서기
true,14865,곡선 자르기
true,14866,산만한 고양이
true,14916,거스름돈
true,14918,더하기
true,15439,Vera and Outfits
true,15552,빠른 A+B
true,15596,정수 N개의 합
true,15624,피보나치 수 7
true,15641,"SUPER SUPER BINARY SEARCH DELUXE 2.5: THE LEGEND OF THE GOLDEN MAZASSUMNIDA, EPISODE 2: THE MAZWAETL UNIVERSE, PART 2: THE PARALLEL UNIVERSE AND THE LOST MAZASSUMNIDA: GAME OF THE YEAR EDITION"
true,15727,조별과제를 하려는데 조장이 사라졌다
true,15733,나는 누구인가
true,15740,A+B - 9
true,15829,Hashing
true,15890,전국 대학생 프로그래밍 대회 동아리 연합 여름 대회 2018
true,15894,수학은 체육과목 입니다
true,15962,새로운 시작
true,15964,이상한 기호
true,15970,화살표 그리기
true,15971,두 로봇
true,15972,물탱크
true,15973,두 박스
true,15990,"1, 2, 3 더하기 5"
true,16170,오늘의 날짜는?
true,16394,홍익대학교
true,16395,파스칼의 삼각형
true,16430,제리와 톰
true,16647,"Happy Birthday, kipa00!"
true,17070,파이프 옮기기 1
true,17175,피보나치는 지겨웡~
true,17212,달나라 토끼를 위한 구매대금 지불 도우미
true,17256,달달함이 넘쳐흘러
true,17295,엔드게임 스포일러
true,17298,오큰수
true,17496,스타후르츠
true,17608,막대기
true,17609,회문
true,17610,양팔저울
true,17611,직각다각형
true,17612,쇼핑몰
true,17613,점프
true,17626,Four Squares
true,17952,과제는 끝나지 않아!
true,18108,1998년생인 내가 태국에서는 2541년생?!
true,18111,마인크래프트
true,18238,ZOAC 2
false,1006,습격자 초라기
false,1406,에디터
false,1614,영식이의 손가락
false,2261,가장 가까운 두 점
false,2472,체인점
false,2644,촌수계산
false,2805,나무 자르기
false,7569,토마토
false,11286,절댓값 힙
false,11657,타임머신
false,13309,트리
