정답여부,문제번호,문제이름
true,1002,터렛
true,1003,피보나치 함수
true,1005,ACM Craft
true,1010,다리 놓기
true,1012,유기농 배추
true,1014,컨닝
true,1015,수열 정렬
true,1018,체스판 다시 칠하기
true,1019,책 페이지
true,1038,감소하는 수
true,1039,교환
true,1043,거짓말
true,1051,숫자 정사각형
true,1062,가르침
true,1065,한수
true,1072,게임
true,1086,박성원
true,1102,발전소
true,1103,게임
true,1107,리모컨
true,1120,문자열
true,1126,같은 탑
true,1149,RGB거리
true,1152,단어의 개수
true,1157,단어 공부
true,1158,요세푸스 문제
true,1182,부분수열의 합
true,1194,"달이 차오른다, 가자."
true,1197,최소 스패닝 트리
true,1213,팰린드롬 만들기
true,1238,파티
true,1244,스위치 켜고 끄기
true,1248,맞춰봐
true,1251,단어 나누기
true,1254,팰린드롬 만들기
true,1256,사전
true,1260,DFS와 BFS
true,1268,임시 반장 정하기
true,1300,K번째 수
true,1305,광고
true,1309,동물원
true,1316,그룹 단어 체커
true,1325,효율적인 해킹
true,1328,고층 빌딩
true,1339,단어 수학
true,1342,행운의 문자열
true,1351,무한 수열
true,1389,케빈 베이컨의 6단계 법칙
true,1405,미친 로봇
true,1427,소트인사이드
true,1436,영화감독 숌
true,1451,직사각형으로 나누기
true,1463,1로 만들기
true,1495,기타리스트
true,1504,특정한 최단 경로
true,1507,궁금한 민호
true,1509,팰린드롬 분할
true,1520,내리막 길
true,1525,퍼즐
true,1527,금민수의 개수
true,1541,잃어버린 괄호
true,1562,계단 수
true,1563,개근상
true,1587,이분 매칭
true,1592,영식이와 친구들
true,1600,말이 되고픈 원숭이
true,1613,역사
true,1614,영식이의 손가락
true,1629,곱셈
true,1654,랜선 자르기
true,1660,캡틴 이다솜
true,1695,팰린드롬 만들기
true,1697,숨바꼭질
true,1699,제곱수의 합
true,1701,Cubeditor
true,1707,이분 그래프
true,1713,후보 추천하기
true,1717,집합의 표현
true,1720,타일 코드
true,1725,히스토그램
true,1726,로봇
true,1748,수 이어 쓰기 1
true,1753,최단경로
true,1759,암호 만들기
true,1766,문제집
true,1774,우주신과의 교감
true,1780,종이의 개수
true,1786,찾기
true,1793,타일링
true,1799,비숍
true,1865,웜홀
true,1890,점프
true,1904,01타일
true,1912,연속합
true,1914,하노이 탑
true,1915,가장 큰 정사각형
true,1920,수 찾기
true,1929,소수 구하기
true,1931,회의실배정
true,1932,정수 삼각형
true,1937,욕심쟁이 판다
true,1938,통나무 옮기기
true,1939,중량제한
true,1941,소문난 칠공주
true,1953,팀배분
true,1956,운동
true,1958,LCS 3
true,1963,소수 경로
true,1965,상자넣기
true,1966,프린터 큐
true,1967,트리의 지름
true,1976,여행 가자
true,1978,소수 찾기
true,1981,배열에서 이동
true,1987,알파벳
true,1992,쿼드트리
true,2011,암호코드
true,2023,신기한 소수
true,2026,소풍
true,2096,내려가기
true,2098,외판원 순회
true,2110,공유기 설치
true,2116,주사위 쌓기
true,2133,타일 채우기
true,2146,다리 만들기
true,2151,거울 설치
true,2156,포도주 시식
true,2157,여행
true,2163,초콜릿 자르기
true,2167,2차원 배열의 합
true,2169,로봇 조종하기
true,2174,로봇 시뮬레이션
true,2178,미로 탐색
true,2186,문자판
true,2188,축사 배정
true,2193,이친수
true,2206,벽 부수고 이동하기
true,2210,숫자판 점프
true,2225,합분해
true,2228,구간 나누기
true,2229,조 짜기
true,2231,분해합
true,2234,성곽
true,2239,스도쿠
true,2240,자두나무
true,2250,트리의 높이와 너비
true,2251,물통
true,2252,줄 세우기
true,2261,가장 가까운 두 점
true,2292,벌집
true,2293,동전 1
true,2294,동전 2
true,2302,극장 좌석
true,2303,숫자 게임
true,2304,창고 다각형
true,2309,일곱 난쟁이
true,2342,Dance Dance Revolution
true,2352,반도체 설계
true,2410,2의 멱수의 합
true,2436,공약수
true,2437,저울
true,2449,전구
true,2458,키 순서
true,2467,용액
true,2468,안전 영역
true,2469,사다리 타기
true,2477,참외밭
true,2482,색상환
true,2491,수열
true,2503,숫자 야구
true,2505,두 번 뒤집기
true,2511,카드놀이
true,2512,예산
true,2513,통학버스
true,2527,직사각형
true,2533,사회망 서비스(SNS)
true,2539,모자이크
true,2548,대표 자연수
true,2559,수열
true,2563,색종이
true,2564,경비원
true,2565,전깃줄
true,2567,색종이 - 2
true,2568,전깃줄 - 2
true,2573,빙산
true,2578,빙고
true,2579,계단 오르기
true,2580,스도쿠
true,2583,영역 구하기
true,2589,보물섬
true,2596,비밀편지
true,2597,줄자접기
true,2602,돌다리 건너기
true,2605,줄 세우기
true,2606,바이러스
true,2613,숫자구슬
true,2615,오목
true,2616,소형기관차
true,2617,구슬 찾기
true,2618,경찰차
true,2621,카드게임
true,2622,삼각형만들기
true,2623,음악프로그램
true,2624,동전 바꿔주기
true,2628,종이자르기
true,2629,양팔저울
true,2630,색종이 만들기
true,2631,줄세우기
true,2635,수 이어가기
true,2636,치즈
true,2641,다각형그리기
true,2644,촌수계산
true,2659,십자카드 문제
true,2660,회장뽑기
true,2661,좋은수열
true,2662,기업투자
true,2666,벽장문의 이동
true,2667,단지번호붙이기
true,2668,숫자고르기
true,2669,직사각형 네개의 합집합의 면적 구하기
true,2675,문자열 반복
true,2688,줄어들지 않아
true,2698,인접한 비트의 개수
true,2718,타일 채우기
true,2733,Brainf*ck
true,2740,행렬 곱셈
true,2748,피보나치 수 2
true,2749,피보나치 수 3
true,2750,수 정렬하기
true,2751,수 정렬하기 2
true,2798,블랙잭
true,2804,크로스워드 만들기
true,2805,나무 자르기
true,2839,설탕 배달
true,2842,집배원 한상덕
true,2858,기숙사 바닥
true,2887,행성 터널
true,2908,상수
true,2931,가스관
true,2933,미네랄
true,2941,크로아티아 알파벳
true,2966,찍기
true,2981,검문
true,2991,사나운 개
true,2999,비밀 이메일
true,3052,나머지
true,3055,탈출
true,3085,사탕 게임
true,3108,로고
true,3109,빵집
true,3184,양
true,3187,양치기 꿍
true,3190,뱀
true,3197,백조의 호수
true,3665,최종 순위
true,3671,산업 스파이의 편지
true,3943,헤일스톤 수열
true,3954,Brainf**k 인터프리터
true,3967,매직 스타
true,3980,선발 명단
true,3985,롤 케이크
true,4179,불!
true,4195,친구 네트워크
true,4354,문자열 제곱
true,4386,별자리 만들기
true,4485,녹색 옷 입은 애가 젤다지?
true,4641,Doubles
true,4673,셀프 넘버
true,4883,삼각 그래프
true,4963,섬의 개수
true,4991,로봇 청소기
true,5014,스타트링크
true,5022,연결
true,5213,과외맨
true,5214,환승
true,5373,큐빙
true,5427,불
true,5557,1학년
true,5567,결혼식
true,5582,공통 부분 문자열
true,5622,다이얼
true,5670,휴대폰 자판
true,5719,거의 최단 경로
true,6087,레이저 통신
true,6118,숨바꼭질
