정답여부,문제번호,문제이름
true,1000,A+B
true,1001,A-B
true,1003,피보나치 함수
true,1005,ACM Craft
true,1008,A/B
true,1009,분산처리
true,1010,다리 놓기
true,1012,유기농 배추
true,1014,컨닝
true,1021,회전하는 큐
true,1026,보물
true,1032,명령 프롬프트
true,1037,약수
true,1038,감소하는 수
true,1049,기타줄
true,1051,숫자 정사각형
true,1065,한수
true,1068,트리
true,1074,Z
true,1102,발전소
true,1107,리모컨
true,1149,RGB거리
true,1152,단어의 개수
true,1158,요세푸스 문제
true,1167,트리의 지름
true,1181,단어 정렬
true,1182,부분수열의 합
true,1197,최소 스패닝 트리
true,1208,부분수열의 합 2
true,1237,정ㅋ벅ㅋ
true,1238,파티
true,1260,DFS와 BFS
true,1261,알고스팟
true,1275,커피숍2
true,1289,트리의 가중치
true,1298,노트북의 주인을 찾아서
true,1300,K번째 수
true,1309,동물원
true,1312,소수
true,1321,군인
true,1327,소트 게임
true,1330,두 수 비교하기
true,1343,폴리오미노
true,1365,꼬인 전깃줄
true,1377,버블 소트
true,1389,케빈 베이컨의 6단계 법칙
true,1395,스위치
true,1406,에디터
true,1463,1로 만들기
true,1469,숌 사이 수열
true,1475,방 번호
true,1493,박스 채우기
true,1504,특정한 최단 경로
true,1516,게임 개발
true,1517,버블 소트
true,1520,내리막 길
true,1572,중앙값
true,1574,룩 어택
true,1620,나는야 포켓몬 마스터 이다솜
true,1629,곱셈
true,1647,도시 분할 계획
true,1648,격자판 채우기
true,1654,랜선 자르기
true,1693,트리 색칠하기
true,1695,팰린드롬 만들기
true,1699,제곱수의 합
true,1700,멀티탭 스케줄링
true,1717,집합의 표현
true,1719,택배
true,1725,히스토그램
true,1727,커플 만들기
true,1753,최단경로
true,1760,N-Rook
true,1761,정점들의 거리
true,1766,문제집
true,1777,순열복원
true,1780,종이의 개수
true,1786,찾기
true,1838,버블 정렬
true,1849,순열
true,1850,최대공약수
true,1865,웜홀
true,1866,택배
true,1867,돌멩이 제거
true,1890,점프
true,1912,연속합
true,1914,하노이 탑
true,1915,가장 큰 정사각형
true,1916,최소비용 구하기
true,1920,수 찾기
true,1922,네트워크 연결
true,1927,최소 힙
true,1931,회의실배정
true,1932,정수 삼각형
true,1934,최소공배수
true,1937,욕심쟁이 판다
true,1939,중량제한
true,1941,소문난 칠공주
true,1946,신입 사원
true,1958,LCS 3
true,1965,상자넣기
true,1967,트리의 지름
true,1969,DNA
true,1976,여행 가자
true,1991,트리 순회
true,1992,쿼드트리
true,2003,수들의 합 2
true,2011,암호코드
true,2012,등수 매기기
true,2042,구간 합 구하기
true,2075,N번째 큰 수
true,2096,내려가기
true,2098,외판원 순회
true,2110,공유기 설치
true,2116,주사위 쌓기
true,2133,타일 채우기
true,2146,다리 만들기
true,2150,Strongly Connected Component
true,2156,포도주 시식
true,2161,카드1
true,2163,초콜릿 자르기
true,2167,2차원 배열의 합
true,2170,선 긋기
true,2178,미로 탐색
true,2188,축사 배정
true,2193,이친수
true,2210,숫자판 점프
true,2213,트리의 독립집합
true,2217,로프
true,2225,합분해
true,2243,사탕상자
true,2252,줄 세우기
true,2261,가장 가까운 두 점
true,2268,수들의 합
true,2291,Sequence
true,2293,동전 1
true,2294,동전 2
true,2309,일곱 난쟁이
true,2315,가로등 끄기
true,2336,굉장한 학생
true,2352,반도체 설계
true,2357,최솟값과 최댓값
true,2414,게시판 구멍 막기
true,2419,사수아탕
true,2422,한윤정이 이탈리아에 가서 아이스크림을 사먹는데
true,2438,별 찍기 - 1
true,2439,별 찍기 - 2
true,2440,별 찍기 - 3
true,2458,키 순서
true,2467,용액
true,2470,두 용액
true,2507,공주 구하기
true,2512,예산
true,2533,사회망 서비스(SNS)
true,2557,Hello World
true,2558,A+B - 2
true,2562,최댓값
true,2563,색종이
true,2565,전깃줄
true,2568,전깃줄 - 2
true,2579,계단 오르기
true,2580,스도쿠
true,2583,영역 구하기
true,2606,바이러스
true,2609,최대공약수와 최소공배수
true,2618,경찰차
true,2623,음악프로그램
true,2631,줄세우기
true,2667,단지번호붙이기
true,2702,초6 수학
true,2741,N 찍기
true,2743,단어 길이 재기
true,2747,피보나치 수
true,2748,피보나치 수 2
true,2749,피보나치 수 3
true,2750,수 정렬하기
true,2751,수 정렬하기 2
true,2792,보석 상자
true,2805,나무 자르기
true,2825,수업시간에 교수님 몰래 교실을 나간 상근이
true,2839,설탕 배달
true,2869,달팽이는 올라가고 싶다
true,2879,코딩은 예쁘게
true,2884,알람 시계
true,2887,행성 터널
true,2902,KMP는 왜 KMP일까?
true,2934,LRH 식물
true,2960,에라토스테네스의 체
true,2961,도영이가 만든 맛있는 음식
true,2965,캥거루 세마리
true,3006,터보소트
true,3020,개똥벌레
true,3176,도로 네트워크
true,3392,화성 지도
true,3653,영화 수집
true,3663,고득점
true,3665,최종 순위
true,3745,오름세
true,3793,Common Subsequence
true,3967,매직 스타
true,4195,친구 네트워크
true,4243,보안 업체
true,4343,Arctic Network
true,4344,평균은 넘겠지
true,4386,별자리 만들기
true,4485,녹색 옷 입은 애가 젤다지?
true,4673,셀프 넘버
true,5012,불만 정렬
true,5052,전화번호 목록
true,5338,마이크로소프트 로고
true,5347,LCM
true,5373,큐빙
true,5386,금화 게임
true,5419,북서풍
true,5582,공통 부분 문자열
true,5639,이진 검색 트리
true,5676,음주 코딩
true,5719,거의 최단 경로
true,6086,최대 유량
true,6236,용돈 관리
true,6359,만취한 상범
true,6497,전력난
true,6549,히스토그램에서 가장 큰 직사각형
true,6588,골드바흐의 추측
true,6593,상범 빌딩
true,6603,로또
true,7287,등록
true,7469,K번째 수
true,7562,나이트의 이동
true,7567,그릇
true,7568,덩치
true,7578,공장
true,7626,직사각형
true,8012,한동이는 영업사원!
true,8595,히든 넘버
true,8980,택배
true,8983,사냥꾼
true,9012,괄호
true,9020,골드바흐의 추측
true,9023,연습시즌
true,9095,"1, 2, 3 더하기"
true,9251,LCS
true,9252,LCS 2
true,9345,디지털 비디오 디스크(DVDs)
true,9426,중앙값 측정
true,9461,파도반 수열
true,9465,스티커
true,9466,텀 프로젝트
true,9507,Generations of Tribbles
true,9525,룩 배치하기
true,9576,책 나눠주기
true,9613,GCD 합
true,9655,돌 게임
true,9656,돌 게임 2
true,9663,N-Queen
true,10039,평균 점수
true,10171,고양이
true,10172,개
true,10211,Maximum Subarray
true,10214,Baseball
true,10216,Count Circle Groups
true,10272,현상금 사냥꾼 김정은
true,10430,나머지
true,10451,순열 사이클
true,10610,30
true,10655,마라톤 1
true,10718,We love kriii
true,10775,공항
true,10799,쇠막대기
true,10808,알파벳 개수
true,10809,알파벳 찾기
true,10815,숫자 카드
true,10816,숫자 카드 2
true,10820,문자열 분석
true,10821,정수의 개수
true,10824,네 수
true,10827,a^b
true,10828,스택
true,10844,쉬운 계단 수
true,10845,큐
true,10866,덱
true,10868,최솟값
true,10869,사칙연산
true,10870,피보나치 수 5
true,10927,MD5
true,10928,SHA-1
true,10929,SHA-224
true,10930,SHA-256
true,10931,SHA-384
true,10932,SHA-512
true,10950,A+B - 3
true,10951,A+B - 4
true,10952,A+B - 5
true,10953,A+B - 6
true,10971,외판원 순회 2
true,10988,팰린드롬인지 확인하기
true,10989,수 정렬하기 3
true,10998,A×B
true,10999,구간 합 구하기 2
true,11003,최솟값 찾기
true,11021,A+B - 7
true,11022,A+B - 8
true,11047,동전 0
true,11048,이동하기
true,11050,이항 계수 1
true,11051,이항 계수 2
true,11052,카드 구매하기
true,11053,가장 긴 증가하는 부분 수열
true,11054,가장 긴 바이토닉 부분 수열
true,11055,가장 큰 증가 부분 수열
true,11057,오르막 수
true,11060,점프 점프
true,11066,파일 합치기
true,11279,최대 힙
true,11286,절댓값 힙
true,11339,There is no place like 127.0.0.1
true,11375,열혈강호
true,11376,열혈강호 2
true,11401,이항 계수 3
true,11403,경로 찾기
true,11405,책 구매하기
true,11406,책 구매하기 2
true,11407,책 구매하기 3
true,11408,열혈강호 5
true,11437,LCA
true,11438,LCA 2
true,11505,구간 곱 구하기
true,11568,민균이의 계략
true,11655,ROT13
true,11656,접미사 배열
true,11658,구간 합 구하기 3
true,11659,구간 합 구하기 4
true,11660,구간 합 구하기 5
true,11718,그대로 출력하기
true,11719,그대로 출력하기 2
true,11720,숫자의 합
true,11721,열 개씩 끊어 출력하기
true,11722,가장 긴 감소하는 부분 수열
true,11725,트리의 부모 찾기
true,11726,2×n 타일링
true,11727,2×n 타일링 2
true,11728,배열 합치기
true,11729,하노이 탑 이동 순서
true,11758,CCW
true,11942,고려대는 사랑입니다
true,12015,가장 긴 증가하는 부분 수열 2
true,12016,라운드 로빈 스케줄러
true,12738,가장 긴 증가하는 부분 수열 3
true,12792,주작 주 주작
true,12844,XOR
true,12865,평범한 배낭
true,13275,가장 긴 팰린드롬 부분 문자열
true,13560,축구 게임
true,13711,LCS 4
true,14002,가장 긴 증가하는 부분 수열 4
true,14003,가장 긴 증가하는 부분 수열 5
true,14467,소가 길을 건너간 이유 1
true,14468,소가 길을 건너간 이유 2
true,14469,소가 길을 건너간 이유 3
true,14494,다이나믹이 뭐예요?
true,14501,퇴사
true,14502,연구소
true,14569,시간표 짜기
true,14570,나무 위의 구슬
true,14572,스터디 그룹
true,14575,뒤풀이
true,14579,덧셈과 곱셈
true,14581,팬들에게 둘러싸인 홍준
true,14588,Line Friends (Small)
true,14696,딱지놀이
true,14863,서울에서 경산까지
true,14864,줄서기
true,14889,스타트와 링크
true,14891,톱니바퀴
true,15482,한글 LCS
true,15486,퇴사 2
true,15552,빠른 A+B
true,15646,농부 후안은 바리스타입니다
true,15647,로스팅하는 엠마도 바리스타입니다
true,15649,N과 M (1)
true,15650,N과 M (2)
true,15651,N과 M (3)
true,15652,N과 M (4)
true,15654,N과 M (5)
true,15655,N과 M (6)
true,15656,N과 M (7)
true,15657,N과 M (8)
true,15663,N과 M (9)
true,15664,N과 M (10)
true,15665,N과 M (11)
true,15666,N과 M (12)
true,15667,2018 연세대학교 프로그래밍 경진대회
true,15668,방 번호
true,15671,오델로
true,15673,헤븐스 키친 2
true,15678,연세워터파크
true,15680,연세대학교
true,15681,트리와 쿼리
true,15683,감시
true,15684,사다리 조작
true,15686,치킨 배달
true,15712,등비수열
true,15727,조별과제를 하려는데 조장이 사라졌다
true,15953,상금 헌터
true,15954,인형들
true,15955,부스터
true,15971,두 로봇
true,16234,인구 이동
true,16235,나무 재테크
true,16236,아기 상어
true,16394,홍익대학교
true,16673,고려대학교에는 공식 와인이 있다
true,16676,근우의 다이어리 꾸미기
true,16680,안수빈수
true,16681,등산
true,16987,계란으로 계란치기
true,17103,골드바흐 파티션
true,17135,캐슬 디펜스
true,17140,이차원 배열과 연산
true,17141,연구소 2
true,17142,연구소 3
true,17143,낚시왕
true,17256,달달함이 넘쳐흘러
false,1904,01타일
false,2493,탑
false,3079,입국심사
false,11404,플로이드
false,11657,타임머신
