정답여부,문제번호,문제이름
true,1000,A+B
true,1001,A-B
true,1002,터렛
true,1003,피보나치 함수
true,1008,A/B
true,1011,Fly me to the Alpha Centauri
true,1012,유기농 배추
true,1018,체스판 다시 칠하기
true,1022,소용돌이 예쁘게 출력하기
true,1026,보물
true,1043,거짓말
true,1060,구간
true,1062,가르침
true,1063,킹
true,1065,한수
true,1074,Z
true,1079,마피아
true,1085,직사각형에서 탈출
true,1089,엘리베이터
true,1091,카드 섞기
true,1092,배
true,1100,하얀 칸
true,1103,게임
true,1107,리모컨
true,1110,더하기 사이클
true,1113,수영장 만들기
true,1149,RGB거리
true,1152,단어의 개수
true,1157,단어 공부
true,1158,요세푸스 문제
true,1159,농구 경기
true,1167,트리의 지름
true,1181,단어 정렬
true,1182,부분수열의 합
true,1193,분수찾기
true,1194,"달이 차오른다, 가자."
true,1205,등수 구하기
true,1225,이상한 곱셈
true,1233,주사위
true,1237,정ㅋ벅ㅋ
true,1251,단어 나누기
true,1259,팰린드롬수
true,1260,DFS와 BFS
true,1261,알고스팟
true,1271,엄청난 부자2
true,1292,쉽게 푸는 문제
true,1316,그룹 단어 체커
true,1330,두 수 비교하기
true,1331,나이트 투어
true,1339,단어 수학
true,1347,미로 만들기
true,1389,케빈 베이컨의 6단계 법칙
true,1400,화물차
true,1405,미친 로봇
true,1406,에디터
true,1427,소트인사이드
true,1436,영화감독 숌
true,1445,일요일 아침의 데이트
true,1449,수리공 항승
true,1463,1로 만들기
true,1495,기타리스트
true,1504,특정한 최단 경로
true,1516,게임 개발
true,1520,내리막 길
true,1525,퍼즐
true,1527,금민수의 개수
true,1541,잃어버린 괄호
true,1546,평균
true,1600,말이 되고픈 원숭이
true,1620,나는야 포켓몬 마스터 이다솜
true,1629,곱셈
true,1644,소수의 연속합
true,1647,도시 분할 계획
true,1652,누울 자리를 찾아라
true,1654,랜선 자르기
true,1676,팩토리얼 0의 개수
true,1697,숨바꼭질
true,1700,멀티탭 스케줄링
true,1707,이분 그래프
true,1712,손익분기점
true,1715,카드 정렬하기
true,1717,집합의 표현
true,1726,로봇
true,1747,소수&팰린드롬
true,1753,최단경로
true,1759,암호 만들기
true,1764,듣보잡
true,1780,종이의 개수
true,1786,찾기
true,1806,부분합
true,1826,연료 채우기
true,1865,웜홀
true,1874,스택 수열
true,1890,점프
true,1916,최소비용 구하기
true,1918,후위 표기식
true,1920,수 찾기
true,1924,2007년
true,1927,최소 힙
true,1929,소수 구하기
true,1931,회의실배정
true,1932,정수 삼각형
true,1937,욕심쟁이 판다
true,1938,통나무 옮기기
true,1939,중량제한
true,1941,소문난 칠공주
true,1946,신입 사원
true,1963,소수 경로
true,1966,프린터 큐
true,1967,트리의 지름
true,1976,여행 가자
true,1978,소수 찾기
true,1986,체스
true,1987,알파벳
true,1991,트리 순회
true,1992,쿼드트리
true,2075,N번째 큰 수
true,2096,내려가기
true,2108,통계학
true,2116,주사위 쌓기
true,2146,다리 만들기
true,2156,포도주 시식
true,2164,카드2
true,2166,다각형의 면적
true,2167,2차원 배열의 합
true,2169,로봇 조종하기
true,2174,로봇 시뮬레이션
true,2178,미로 탐색
true,2186,문자판
true,2206,벽 부수고 이동하기
true,2210,숫자판 점프
true,2231,분해합
true,2234,성곽
true,2251,물통
true,2263,트리의 순회
true,2290,LCD Test
true,2292,벌집
true,2309,일곱 난쟁이
true,2346,풍선 터뜨리기
true,2352,반도체 설계
true,2407,조합
true,2438,별 찍기 - 1
true,2439,별 찍기 - 2
true,2440,별 찍기 - 3
true,2441,별 찍기 - 4
true,2446,별 찍기 - 9
true,2467,용액
true,2468,안전 영역
true,2470,두 용액
true,2475,검증수
true,2485,가로수
true,2490,윷놀이
true,2493,탑
true,2523,별 찍기 - 13
true,2529,부등호
true,2531,회전 초밥
true,2536,버스 갈아타기
true,2551,두 대표 자연수
true,2555,생일 출력하기
true,2557,Hello World
true,2558,A+B - 2
true,2562,최댓값
true,2563,색종이
true,2573,빙산
true,2577,숫자의 개수
true,2579,계단 오르기
true,2580,스도쿠
true,2581,소수
true,2583,영역 구하기
true,2588,곱셈
true,2589,보물섬
true,2606,바이러스
true,2609,최대공약수와 최소공배수
true,2621,카드게임
true,2630,색종이 만들기
true,2636,치즈
true,2638,치즈
true,2661,좋은수열
true,2665,미로만들기
true,2667,단지번호붙이기
true,2668,숫자고르기
true,2671,잠수함식별
true,2675,문자열 반복
true,2739,구구단
true,2741,N 찍기
true,2742,기찍 N
true,2747,피보나치 수
true,2750,수 정렬하기
true,2751,수 정렬하기 2
true,2753,윤년
true,2775,부녀회장이 될테야
true,2784,가로 세로 퍼즐
true,2798,블랙잭
true,2805,나무 자르기
true,2816,디지털 티비
true,2839,설탕 배달
true,2842,집배원 한상덕
true,2869,달팽이는 올라가고 싶다
true,2884,알람 시계
true,2908,상수
true,2920,음계
true,2931,가스관
true,2933,미네랄
true,2941,크로아티아 알파벳
true,2960,에라토스테네스의 체
true,2965,캥거루 세마리
true,3009,네 번째 점
true,3020,개똥벌레
true,3048,개미
true,3052,나머지
true,3053,택시 기하학
true,3055,탈출
true,3085,사탕 게임
true,3109,빵집
true,3184,양
true,3190,뱀
true,3197,백조의 호수
true,3372,보드 점프
true,3568,iSharp
true,3649,로봇 프로젝트
true,3678,카탄의 개척자
true,3954,Brainf**k 인터프리터
true,3967,매직 스타
true,4153,직각삼각형
true,4179,불!
true,4195,친구 네트워크
true,4307,개미
true,4344,평균은 넘겠지
true,4673,셀프 넘버
true,4902,삼각형의 값
true,4948,베르트랑 공준
true,4949,균형잡힌 세상
true,4991,로봇 청소기
true,4999,아!
true,5014,스타트링크
true,5022,연결
true,5052,전화번호 목록
true,5213,과외맨
true,5214,환승
true,5338,마이크로소프트 로고
true,5373,큐빙
true,5397,키로거
true,5427,불
true,5430,AC
true,5525,IOIOI
true,5543,상근날드
true,5565,영수증
true,5585,거스름돈
true,5622,다이얼
true,5639,이진 검색 트리
true,6064,카잉 달력
true,6087,레이저 통신
true,6593,상범 빌딩
true,6603,로또
true,7287,등록
true,7562,나이트의 이동
true,7568,덩치
true,7569,토마토
true,7576,토마토
true,7662,이중 우선순위 큐
true,8393,합
true,8911,거북이
true,8958,OX퀴즈
true,8979,올림픽
true,9012,괄호
true,9019,DSLR
true,9020,골드바흐의 추측
true,9095,"1, 2, 3 더하기"
true,9205,맥주 마시면서 걸어가기
true,9251,LCS
true,9375,패션왕 신해빈
true,9376,탈옥
true,9461,파도반 수열
true,9465,스티커
true,9466,텀 프로젝트
true,9498,시험 성적
true,9518,로마 카톨릭 미사
true,9659,돌 게임 5
true,9663,N-Queen
true,9935,문자열 폭발
true,9944,NxM 보드 완주하기
true,10026,적록색약
true,10039,평균 점수
true,10171,고양이
true,10172,개
true,10216,Count Circle Groups
true,10250,ACM 호텔
true,10430,나머지
true,10451,순열 사이클
true,10718,We love kriii
true,10773,제로
true,10797,10부제
true,10798,세로읽기
true,10809,알파벳 찾기
true,10814,나이순 정렬
true,10815,숫자 카드
true,10816,숫자 카드 2
true,10817,세 수
true,10818,"최소, 최대"
true,10819,차이를 최대로
true,10828,스택
true,10845,큐
true,10866,덱
true,10867,중복 빼고 정렬하기
true,10869,사칙연산
true,10870,피보나치 수 5
true,10871,X보다 작은 수
true,10872,팩토리얼
true,10886,0 = not cute / 1 = cute
true,10942,팰린드롬?
true,10949,숫자야구
true,10950,A+B - 3
true,10951,A+B - 4
true,10952,A+B - 5
true,10984,내 학점을 구해줘
true,10988,팰린드롬인지 확인하기
true,10989,수 정렬하기 3
true,10996,별 찍기 - 21
true,10998,A×B
true,11004,K번째 수
true,11021,A+B - 7
true,11022,A+B - 8
true,11047,동전 0
true,11050,이항 계수 1
true,11053,가장 긴 증가하는 부분 수열
true,11279,최대 힙
true,11286,절댓값 힙
true,11399,ATM
true,11403,경로 찾기
true,11404,플로이드
true,11559,Puyo Puyo
true,11650,좌표 정렬하기
true,11651,좌표 정렬하기 2
true,11654,아스키 코드
true,11656,접미사 배열
true,11657,타임머신
true,11660,구간 합 구하기 5
true,11718,그대로 출력하기
true,11719,그대로 출력하기 2
true,11720,숫자의 합
true,11721,열 개씩 끊어 출력하기
true,11723,집합
true,11724,연결 요소의 개수
true,11725,트리의 부모 찾기
true,11726,2×n 타일링
true,11727,2×n 타일링 2
true,11866,요세푸스 문제 0
true,12100,2048 (Easy)
true,12851,숨바꼭질 2
true,12865,평범한 배낭
true,13163,닉네임에 갓 붙이기
true,13164,행복 유치원
true,13458,시험 감독
true,13459,구슬 탈출
true,13460,구슬 탈출 2
true,13549,숨바꼭질 3
true,13908,비밀번호
true,13911,집 구하기
true,13913,숨바꼭질 4
true,14226,이모티콘
true,14442,벽 부수고 이동하기 2
true,14466,소가 길을 건너간 이유 6
true,14469,소가 길을 건너간 이유 3
true,14499,주사위 굴리기
true,14500,테트로미노
true,14501,퇴사
true,14502,연구소
true,14503,로봇 청소기
true,14681,사분면 고르기
true,14888,연산자 끼워넣기
true,14889,스타트와 링크
true,14890,경사로
true,14891,톱니바퀴
true,14906,스러피
true,14938,서강그라운드
true,15552,빠른 A+B
true,15596,정수 N개의 합
true,15649,N과 M (1)
true,15650,N과 M (2)
true,15651,N과 M (3)
true,15652,N과 M (4)
true,15654,N과 M (5)
true,15655,N과 M (6)
true,15656,N과 M (7)
true,15657,N과 M (8)
true,15663,N과 M (9)
true,15664,N과 M (10)
true,15665,N과 M (11)
true,15666,N과 M (12)
true,15683,감시
true,15684,사다리 조작
true,15685,드래곤 커브
true,15686,치킨 배달
true,15778,Yut Nori
true,15829,Hashing
true,15898,피아의 아틀리에 ~신비한 대회의 연금술사~
true,15903,카드 합체 놀이
true,16113,시그널
true,16234,인구 이동
true,16235,나무 재테크
true,16236,아기 상어
true,16506,CPU
true,16637,괄호 추가하기
true,16918,봄버맨
true,16929,Two Dots
true,16937,두 스티커
true,16953,A → B
true,16985,Maaaaaaaaaze
true,16986,인싸들의 가위바위보
true,16987,계란으로 계란치기
true,16988,Baaaaaaaaaduk2 (Easy)
true,17070,파이프 옮기기 1
true,17135,캐슬 디펜스
true,17136,색종이 붙이기
true,17140,이차원 배열과 연산
true,17141,연구소 2
true,17142,연구소 3
true,17143,낚시왕
true,17144,미세먼지 안녕!
true,17173,배수들의 합
true,17219,비밀번호 찾기
true,17244,아맞다우산
true,17281,⚾
true,17406,배열 돌리기 4
true,17433,신비로운 수
true,17471,게리맨더링
true,17472,다리 만들기 2
true,17626,Four Squares
true,17779,게리맨더링 2
true,17780,새로운 게임
true,17822,원판 돌리기
true,17836,공주님을 구해라!
true,17837,새로운 게임 2
true,18111,마인크래프트
true,18258,큐 2
true,18500,미네랄 2
true,18825,눈치게임 A+B! A-B! A+B! 터렛! A+B! 피보나치 함수! A+B! A-B! A+B! 어린 왕자! A+B! ACM Craft! A+B! A-B! A+B! 습격자 초라기! A+B! 벡터 매칭! A+B! A-B! A+B! A/B! A+B! 터렛! A+B! A-B! A+B! 분산처리! A+B! A+B! 마셔라! 마셔라 마셔라! 마셔라 틀이 들어간다!
true,18870,좌표 압축
false,6987,월드컵
false,7570,줄 세우기
false,9426,중앙값 측정
false,11506,占쏙옙
false,13170,떨어진 수정
