정답여부,문제번호,문제이름
true,1000,A+B
true,1003,피보나치 함수
true,1005,ACM Craft
true,1009,분산처리
true,1010,다리 놓기
true,1013,Contact
true,1018,체스판 다시 칠하기
true,1019,책 페이지
true,1021,회전하는 큐
true,1027,고층 건물
true,1032,명령 프롬프트
true,1034,램프
true,1039,교환
true,1041,주사위
true,1043,거짓말
true,1051,숫자 정사각형
true,1058,친구
true,1062,가르침
true,1063,킹
true,1065,한수
true,1068,트리
true,1074,Z
true,1076,저항
true,1089,엘리베이터
true,1094,막대기
true,1100,하얀 칸
true,1107,리모컨
true,1110,더하기 사이클
true,1120,문자열
true,1149,RGB거리
true,1158,요세푸스 문제
true,1167,트리의 지름
true,1168,요세푸스 문제 2
true,1173,운동
true,1174,줄어드는 숫자
true,1182,부분수열의 합
true,1189,컴백홈
true,1193,분수찾기
true,1194,"달이 차오른다, 가자."
true,1197,최소 스패닝 트리
true,1208,부분수열의 합 2
true,1212,8진수 2진수
true,1213,팰린드롬 만들기
true,1235,학생 번호
true,1238,파티
true,1244,스위치 켜고 끄기
true,1254,팰린드롬 만들기
true,1259,팰린드롬수
true,1260,DFS와 BFS
true,1261,알고스팟
true,1268,임시 반장 정하기
true,1275,커피숍2
true,1284,집 주소
true,1296,데이트
true,1303,전쟁 - 전투
true,1309,동물원
true,1316,그룹 단어 체커
true,1322,X와 K
true,1325,효율적인 해킹
true,1331,나이트 투어
true,1339,단어 수학
true,1347,미로 만들기
true,1373,2진수 8진수
true,1400,화물차
true,1406,에디터
true,1421,나무꾼 이다솜
true,1451,직사각형으로 나누기
true,1463,1로 만들기
true,1475,방 번호
true,1476,날짜 계산
true,1504,특정한 최단 경로
true,1516,게임 개발
true,1517,버블 소트
true,1520,내리막 길
true,1525,퍼즐
true,1526,가장 큰 금민수
true,1547,공
true,1551,수열의 변화
true,1592,영식이와 친구들
true,1600,말이 되고픈 원숭이
true,1613,역사
true,1644,소수의 연속합
true,1654,랜선 자르기
true,1655,가운데를 말해요
true,1673,치킨 쿠폰
true,1676,팩토리얼 0의 개수
true,1697,숨바꼭질
true,1699,제곱수의 합
true,1707,이분 그래프
true,1717,집합의 표현
true,1725,히스토그램
true,1744,수 묶기
true,1753,최단경로
true,1759,암호 만들기
true,1764,듣보잡
true,1766,문제집
true,1774,우주신과의 교감
true,1780,종이의 개수
true,1783,병든 나이트
true,1786,찾기
true,1806,부분합
true,1850,최대공약수
true,1865,웜홀
true,1874,스택 수열
true,1890,점프
true,1904,01타일
true,1912,연속합
true,1915,가장 큰 정사각형
true,1916,최소비용 구하기
true,1918,후위 표기식
