정답여부,문제번호,문제이름
true,1003,피보나치 함수
true,1004,어린 왕자
true,1005,ACM Craft
true,1010,다리 놓기
true,1012,유기농 배추
true,1018,체스판 다시 칠하기
true,1021,회전하는 큐
true,1038,감소하는 수
true,1049,기타줄
true,1076,저항
true,1085,직사각형에서 탈출
true,1124,언더프라임
true,1145,적어도 대부분의 배수
true,1149,RGB거리
true,1152,단어의 개수
true,1157,단어 공부
true,1158,요세푸스 문제
true,1159,농구 경기
true,1167,트리의 지름
true,1182,부분수열의 합
true,1193,분수찾기
true,1197,최소 스패닝 트리
true,1219,오민식의 고민
true,1225,이상한 곱셈
true,1236,성 지키기
true,1238,파티
true,1246,온라인 판매
true,1259,팰린드롬수
true,1261,알고스팟
true,1264,모음의 개수
true,1267,핸드폰 요금
true,1270,전쟁 - 땅따먹기
true,1271,엄청난 부자2
true,1292,쉽게 푸는 문제
true,1300,K번째 수
true,1316,그룹 단어 체커
true,1325,효율적인 해킹
true,1333,부재중 전화
true,1350,진짜 공간
true,1351,무한 수열
true,1356,유진수
true,1357,뒤집힌 덧셈
true,1365,꼬인 전깃줄
true,1374,강의실
true,1389,케빈 베이컨의 6단계 법칙
true,1408,24
true,1427,소트인사이드
true,1436,영화감독 숌
true,1453,피시방 알바
true,1476,날짜 계산
true,1504,특정한 최단 경로
true,1507,궁금한 민호
true,1520,내리막 길
true,1526,가장 큰 금민수
true,1541,잃어버린 괄호
true,1598,꼬리를 무는 숫자 나열
true,1613,역사
true,1629,곱셈
true,1647,도시 분할 계획
true,1652,누울 자리를 찾아라
true,1654,랜선 자르기
true,1673,치킨 쿠폰
true,1676,팩토리얼 0의 개수
true,1707,이분 그래프
true,1713,후보 추천하기
true,1717,집합의 표현
true,1731,추론
true,1735,분수 합
true,1738,골목길
true,1743,음식물 피하기
true,1744,수 묶기
true,1748,수 이어 쓰기 1
true,1753,최단경로
true,1764,듣보잡
true,1769,3의 배수
true,1789,수들의 합
true,1850,최대공약수
true,1871,좋은 자동차 번호판
true,1890,점프
true,1912,연속합
true,1915,가장 큰 정사각형
true,1916,최소비용 구하기
true,1919,애너그램 만들기
true,1920,수 찾기
true,1922,네트워크 연결
true,1929,소수 구하기
true,1931,회의실배정
true,1932,정수 삼각형
true,1934,최소공배수
true,1940,주몽
true,1952,달팽이2
true,1956,운동
true,1964,"오각형, 오각형, 오각형…"
true,1965,상자넣기
true,1967,트리의 지름
true,1976,여행 가자
true,1978,소수 찾기
true,1990,소수인팰린드롬
true,1991,트리 순회
true,1992,쿼드트리
true,2028,자기복제수
true,2033,반올림
true,2036,수열의 점수
true,2096,내려가기
true,2108,통계학
true,2133,타일 채우기
true,2156,포도주 시식
true,2167,2차원 배열의 합
true,2168,타일 위의 대각선
true,2170,선 긋기
true,2193,이친수
true,2206,벽 부수고 이동하기
true,2210,숫자판 점프
true,2217,로프
true,2225,합분해
true,2250,트리의 높이와 너비
true,2292,벌집
true,2294,동전 2
true,2312,수 복원하기
true,2343,기타 레슨
true,2352,반도체 설계
true,2355,시그마
true,2420,사파리월드
true,2435,기상청 인턴 신현수
true,2442,별 찍기 - 5
true,2445,별 찍기 - 8
true,2446,별 찍기 - 9
true,2456,나는 학급회장이다
true,2457,공주님의 정원
true,2461,대표 선수
true,2467,용액
true,2470,두 용액
true,2484,주사위 네개
true,2492,보석
true,2526,싸이클
true,2535,아시아 정보올림피아드
true,2547,사탕 선생 고창영
true,2556,별 찍기 - 14
true,2557,Hello World
true,2573,빙산
true,2579,계단 오르기
true,2589,보물섬
true,2606,바이러스
true,2630,색종이 만들기
true,2635,수 이어가기
true,2636,치즈
true,2637,장난감조립
true,2638,치즈
true,2660,회장뽑기
true,2667,단지번호붙이기
true,2668,숫자고르기
true,2693,N번째 큰 수
true,2703,Cryptoquote
true,2745,진법 변환
true,2747,피보나치 수
true,2755,이번학기 평점은 몇점?
true,2774,아름다운 수
true,2775,부녀회장이 될테야
true,2776,암기왕
true,2789,유학 금지
true,2798,블랙잭
true,2810,컵홀더
true,2822,점수 계산
true,2823,유턴 싫어
true,2847,게임을 만든 동준이
true,2858,기숙사 바닥
true,2875,대회 or 인턴
true,2884,알람 시계
true,2902,KMP는 왜 KMP일까?
true,2935,소음
true,2941,크로아티아 알파벳
true,2942,퍼거슨과 사과
true,2947,나무 조각
true,2948,2009년
true,2954,창영이의 일기장
true,2959,거북이
true,2965,캥거루 세마리
true,2986,파스칼
true,2997,네 번째 수
true,3036,링
true,3046,R2
true,3047,ABC
true,3055,탈출
true,3058,짝수를 찾아라
true,3076,상근이의 체스판
true,3933,라그랑주의 네 제곱수 정리
true,4097,수익
true,4344,평균은 넘겠지
true,4375,1
true,4383,점프는 즐거워
true,4447,좋은놈 나쁜놈
true,4458,첫 글자를 대문자로
true,4485,녹색 옷 입은 애가 젤다지?
true,4493,가위 바위 보?
true,4564,숫자 카드놀이
true,4613,Quicksum
true,4659,비밀번호 발음하기
true,4673,셀프 넘버
true,4766,일반 화학 실험
true,4892,숫자 맞추기 게임
true,4921,나무 블록
true,4948,베르트랑 공준
true,4998,저금
true,5014,스타트링크
true,5074,When Do We Finish?
true,5217,쌍의 합
true,5355,화성 수학
true,5525,IOIOI
true,5532,방학 숙제
true,5554,심부름 가는 길
true,5557,1학년
true,5567,결혼식
true,5598,카이사르 암호
true,5613,계산기 프로그램
true,5618,공약수
true,5622,다이얼
true,5656,비교 연산자
true,5704,팬그램
true,5766,할아버지는 유명해!
true,6118,숨바꼭질
true,6593,상범 빌딩
true,6603,로또
true,6986,절사평균
true,6996,애너그램
true,7489,팩토리얼
true,7510,고급 수학
true,7567,그릇
true,7568,덩치
true,7569,토마토
true,7571,점 모으기
true,7576,토마토
true,7600,문자가 몇갤까
true,7795,먹을 것인가 먹힐 것인가
true,8320,직사각형을 만드는 방법
true,8595,히든 넘버
true,8949,대충 더해
true,9012,괄호
true,9020,골드바흐의 추측
true,9084,동전
true,9093,단어 뒤집기
true,9095,"1, 2, 3 더하기"
true,9205,맥주 마시면서 걸어가기
true,9237,이장님 초대
true,9243,파일 완전 삭제
true,9366,삼각형 분류
true,9372,상근이의 여행
true,9455,박스
true,9461,파도반 수열
true,9465,스티커
true,9494,Text Roll
true,9550,아이들은 사탕을 좋아해
true,9610,사분면
true,9613,GCD 합
true,9625,BABBA
true,9659,돌 게임 5
true,9954,Cedric's Cypher
true,10093,숫자
true,10156,과자
true,10157,자리배정
true,10158,개미
true,10164,격자상의 경로
true,10174,팰린드롬
true,10211,Maximum Subarray
true,10212,Mystery
true,10214,Baseball
true,10219,Meats On The Grill
true,10250,ACM 호텔
true,10282,해킹
true,10384,팬그램
true,10409,서버
true,10434,행복한 소수
true,10448,유레카 이론
true,10474,분수좋아해?
true,10539,수빈이와 수열
true,10570,Favorite Number
true,10610,30
true,10698,Ahmed Aly
true,10707,수도요금
true,10757,큰 수 A+B
true,10768,특별한 날
true,10798,세로읽기
true,10812,바구니 순서 바꾸기
true,10814,나이순 정렬
true,10816,숫자 카드 2
true,10820,문자열 분석
true,10821,정수의 개수
true,10822,더하기
true,10823,더하기 2
true,10824,네 수
true,10825,국영수
true,10835,카드게임
true,10836,여왕벌
true,10844,쉬운 계단 수
true,10864,친구
true,10872,팩토리얼
true,10932,SHA-512
true,10949,숫자야구
true,10951,A+B - 4
true,10974,모든 순열
true,10989,수 정렬하기 3
true,10990,별 찍기 - 15
true,11004,K번째 수
true,11006,남욱이의 닭장
true,11008,복붙의 달인
true,11023,더하기 3
true,11053,가장 긴 증가하는 부분 수열
true,11054,가장 긴 바이토닉 부분 수열
true,11055,가장 큰 증가 부분 수열
true,11057,오르막 수
true,11060,점프 점프
true,11098,첼시를 도와줘!
true,11279,최대 힙
true,11286,절댓값 힙
true,11312,삼각 무늬 - 2
true,11319,Count Me In
true,11320,삼각 무늬 - 1
true,11328,Strfry
true,11383,뚊
true,11441,합 구하기
true,11504,돌려 돌려 돌림판!
true,11506,占쏙옙
true,11557,Yangjojang of The Year
true,11562,백양로 브레이크
true,11586,지영 공주님의 마법 거울
true,11651,좌표 정렬하기 2
true,11652,카드
true,11653,소인수분해
true,11727,2×n 타일링 2
true,11779,최소비용 구하기 2
true,11800,Tawla
true,12015,가장 긴 증가하는 부분 수열 2
true,12095,가장 오래 걸리는 스도쿠
true,12174,#include <Google I/O.h>
true,12400,Speaking in Tongues (Small)
true,12738,가장 긴 증가하는 부분 수열 3
true,12761,돌다리
true,12788,제 2회 IUPC는 잘 개최될 수 있을까?
true,12865,평범한 배낭
true,13023,ABCDE
true,13118,뉴턴과 사과
true,13119,Mountains Beyond Mountains
true,13136,Do Not Touch Anything
true,13163,닉네임에 갓 붙이기
true,13238,Bitcoin investment
true,13241,최소공배수
true,13302,리조트
true,13304,방 배정
true,13410,거꾸로 구구단
true,13420,사칙연산
true,13458,시험 감독
true,13909,창문 닫기
true,14215,세 막대
true,14381,숫자세는 양 (Small)
true,14430,자원 캐기
true,14491,9진수
true,14502,연구소
true,14568,2017 연세대학교 프로그래밍 경시대회
true,14582,오늘도 졌다
true,14592,2017 아주대학교 프로그래밍 경시대회 (Small)
true,14593,2017 아주대학교 프로그래밍 경시대회 (Large)
true,14625,냉동식품
true,14647,준오는 조류혐오야!!
true,14648,쿼리 맛보기
true,14652,나는 행복합니다~
true,14659,한조서열정리하고옴ㅋㅋ
true,14670,병약한 영정
true,14709,여우 사인
true,14716,현수막
true,14720,우유 축제
true,14722,우유 도시
true,14729,칠무해
true,14888,연산자 끼워넣기
true,14909,양수 개수 세기
true,14910,오르막
true,14920,3n+1 수열
true,14924,폰 노이만과 파리
true,14935,FA
true,14954,Happy Number
true,15000,CAPS
true,15059,Hard choice
true,15272,Hissing Microphone
true,15549,if
true,15596,정수 N개의 합
true,15633,Fan Death
true,15649,N과 M (1)
true,15664,N과 M (10)
true,15665,N과 M (11)
true,15667,2018 연세대학교 프로그래밍 경진대회
true,15686,치킨 배달
true,15726,이칙연산
true,15734,명장 남정훈
true,15739,매직스퀘어
true,15780,멀티탭 충분하니?
true,15784,질투진서
true,15786,Send me the money
true,15792,A/B - 2
true,15888,정답은 이수근이야!!
true,15894,수학은 체육과목 입니다
true,15904,UCPC는 무엇의 약자일까?
true,15905,스텔라(STELLA)가 치킨을 선물했어요
true,15953,상금 헌터
true,15964,이상한 기호
true,15970,화살표 그리기
true,15971,두 로봇
true,16208,귀찮음
true,16431,베시와 데이지
true,16948,데스 나이트
true,17010,Time to Decompress
true,17011,Cold Compress
true,17201,자석 체인
true,17256,달달함이 넘쳐흘러
true,17362,수학은 체육과목 입니다 2
true,17496,스타후르츠
true,17609,회문
true,17618,신기한 수
true,17838,커맨드
true,18108,1998년생인 내가 태국에서는 2541년생?!
true,18228,펭귄추락대책위원회
true,18258,큐 2
true,18408,3 つの整数
true,18883,N M 찍기
true,19532,수학은 비대면강의입니다
false,18827,연속합 2147483647
