정답여부,문제번호,문제이름
true,1003,피보나치 함수
true,1009,분산처리
true,1010,다리 놓기
true,1012,유기농 배추
true,1018,체스판 다시 칠하기
true,1021,회전하는 큐
true,1022,소용돌이 예쁘게 출력하기
true,1026,보물
true,1027,고층 건물
true,1032,명령 프롬프트
true,1041,주사위
true,1051,숫자 정사각형
true,1057,토너먼트
true,1062,가르침
true,1063,킹
true,1065,한수
true,1072,게임
true,1074,Z
true,1075,나누기
true,1085,직사각형에서 탈출
true,1094,막대기
true,1100,하얀 칸
true,1107,리모컨
true,1110,더하기 사이클
true,1111,IQ Test
true,1120,문자열
true,1149,RGB거리
true,1157,단어 공부
true,1158,요세푸스 문제
true,1167,트리의 지름
true,1173,운동
true,1182,부분수열의 합
true,1188,음식 평론가
true,1189,컴백홈
true,1193,분수찾기
true,1202,보석 도둑
true,1237,정ㅋ벅ㅋ
true,1238,파티
true,1256,사전
true,1260,DFS와 BFS
true,1261,알고스팟
true,1269,대칭 차집합
true,1297,TV 크기
true,1309,동물원
true,1316,그룹 단어 체커
true,1325,효율적인 해킹
true,1331,나이트 투어
true,1334,다음 팰린드롬 수
true,1339,단어 수학
true,1342,행운의 문자열
true,1347,미로 만들기
true,1357,뒤집힌 덧셈
true,1389,케빈 베이컨의 6단계 법칙
true,1405,미친 로봇
true,1406,에디터
true,1463,1로 만들기
true,1475,방 번호
true,1476,날짜 계산
true,1500,최대 곱
true,1520,내리막 길
true,1526,가장 큰 금민수
true,1535,안녕
true,1543,문서 검색
true,1547,공
true,1551,수열의 변화
true,1568,새
true,1600,말이 되고픈 원숭이
true,1613,역사
true,1614,영식이의 손가락
true,1620,나는야 포켓몬 마스터 이다솜
true,1629,곱셈
true,1644,소수의 연속합
true,1647,도시 분할 계획
true,1654,랜선 자르기
true,1655,가운데를 말해요
true,1673,치킨 쿠폰
true,1676,팩토리얼 0의 개수
true,1697,숨바꼭질
true,1699,제곱수의 합
true,1712,손익분기점
true,1715,카드 정렬하기
true,1717,집합의 표현
true,1726,로봇
true,1735,분수 합
true,1743,음식물 피하기
true,1753,최단경로
true,1759,암호 만들기
true,1764,듣보잡
true,1766,문제집
true,1773,폭죽쇼
true,1780,종이의 개수
true,1789,수들의 합
true,1799,비숍
true,1837,암호제작
true,1890,점프
true,1904,01타일
